"","1","3","2"
"eff.mon.initial",0.2,1,0.97
"eff.mon.final",0.2,1,0.9
"fut.mon.initial",0.6,0,0.03
"fut.mon.final",0.4,0,0.01
"ss.initial",299,56.9,88.9
"ss.final",309.3,73.2,104.48
"post.mean.initial.IP",0.199193846237394,0.182645128256036,0.11372164590885
"post.mean.final.IP",0.199822681273863,0.179374649575319,0.111974171964984
"post.mean.initial.PC",0.191910829833554,0.0492568180841542,0.0262015297287927
"post.mean.final.PC",0.187579365550677,0.0368393839204014,0.0219134926007958
"cov.initial",0.9,1,1
"cov.final",0.9,1,1
