"","1","2","3","4","5","6","7"
"eff.mon.initial",0.004,0.01,0.012,0.0193333333333333,0.0316666666666667,0.0533333333333333,0.0713333333333333
"eff.mon.final",0.00366666666666667,0.00833333333333333,0.00933333333333333,0.0166666666666667,0.029,0.042,0.062
"fut.mon.initial",0.019,0.00866666666666667,0.00566666666666667,0.00366666666666667,0.00133333333333333,0.001,0
"fut.mon.final",0.016,0.00766666666666667,0.00533333333333333,0.003,0.001,0.000666666666666667,0
"ss.initial",99.7266666666667,99.7466666666667,99.7466666666667,99.6833333333333,99.5933333333333,99.13,98.9233333333333
"ss.final",99.7686666666667,99.7846666666667,99.7806666666667,99.7263333333333,99.6583333333333,99.247,99.0783333333333
"post.mean.initial.IP",0.405187257478602,0.419612080099295,0.434186543691946,0.451589371851888,0.466100477099471,0.482393679239853,0.498081373062662
"post.mean.final.IP",0.405164120266042,0.41960980210672,0.434173427273155,0.451600504939359,0.466092152555282,0.482379540988343,0.498076651665416
"post.mean.initial.PC",0.375221610469984,0.38144809435123,0.38687961849091,0.393496083266428,0.397455795330972,0.40451879832149,0.41014117727492
"post.mean.final.PC",0.375174008578906,0.381485713914723,0.386917955598126,0.393505028486034,0.397467284886361,0.404560485834096,0.410196580974065
"cov.initial",0.966333333333333,0.971666666666667,0.977666666666667,0.974333333333333,0.975,0.971333333333333,0.963333333333333
"cov.final",0.965333333333333,0.971,0.978,0.973666666666667,0.975,0.970666666666667,0.963
"inference0",0.00366666666666667,0.00833333333333333,0.00933333333333333,0.0166666666666667,0.029,0.042,0.062
"inference25",0.0166666666666667,0.0283333333333333,0.0453333333333333,0.0616666666666667,0.0943333333333333,0.129666666666667,0.173
"inference50",0.039,0.0596666666666667,0.087,0.126666666666667,0.178666666666667,0.219,0.283666666666667
"inference75",0.101333333333333,0.134333333333333,0.187,0.24,0.314666666666667,0.371333333333333,0.459666666666667
"inference100",0.328666666666667,0.367666666666667,0.458333333333333,0.545333333333333,0.634,0.709666666666667,0.769666666666667
