"","model","p.range","skpt_spike","enth_flat","freq.mntr","enr.shape","out.mean"
"1",1,0.4,0,0,10,1,4
"2",1,0.41125,0,0,10,1,4
"3",1,0.4225,0,0,10,1,4
"4",1,0.43375,0,0,10,1,4
"5",1,0.445,0,0,10,1,4
"6",1,0.45625,0,0,10,1,4
"7",1,0.4675,0,0,10,1,4
"8",1,0.47875,0,0,10,1,4
"9",1,0.49,0,0,10,1,4
"10",1,0.50125,0,0,10,1,4
"11",1,0.5125,0,0,10,1,4
"12",1,0.52375,0,0,10,1,4
"13",1,0.535,0,0,10,1,4
"14",1,0.54625,0,0,10,1,4
"15",1,0.5575,0,0,10,1,4
"16",1,0.56875,0,0,10,1,4
"17",1,0.58,0,0,10,1,4
"18",1,0.59125,0,0,10,1,4
"19",1,0.6025,0,0,10,1,4
"20",1,0.61375,0,0,10,1,4
"21",1,0.625,0,0,10,1,4
"22",1,0.63625,0,0,10,1,4
"23",1,0.6475,0,0,10,1,4
"24",1,0.65875,0,0,10,1,4
"25",1,0.67,0,0,10,1,4
"26",1,0.4,1,0,10,1,4
"27",1,0.41125,1,0,10,1,4
"28",1,0.4225,1,0,10,1,4
"29",1,0.43375,1,0,10,1,4
"30",1,0.445,1,0,10,1,4
"31",1,0.45625,1,0,10,1,4
"32",1,0.4675,1,0,10,1,4
"33",1,0.47875,1,0,10,1,4
"34",1,0.49,1,0,10,1,4
"35",1,0.50125,1,0,10,1,4
"36",1,0.5125,1,0,10,1,4
"37",1,0.52375,1,0,10,1,4
"38",1,0.535,1,0,10,1,4
"39",1,0.54625,1,0,10,1,4
"40",1,0.5575,1,0,10,1,4
"41",1,0.56875,1,0,10,1,4
"42",1,0.58,1,0,10,1,4
"43",1,0.59125,1,0,10,1,4
"44",1,0.6025,1,0,10,1,4
"45",1,0.61375,1,0,10,1,4
"46",1,0.625,1,0,10,1,4
"47",1,0.63625,1,0,10,1,4
"48",1,0.6475,1,0,10,1,4
"49",1,0.65875,1,0,10,1,4
"50",1,0.67,1,0,10,1,4
"51",1,0.4,0,1,10,1,4
"52",1,0.41125,0,1,10,1,4
"53",1,0.4225,0,1,10,1,4
"54",1,0.43375,0,1,10,1,4
"55",1,0.445,0,1,10,1,4
"56",1,0.45625,0,1,10,1,4
"57",1,0.4675,0,1,10,1,4
"58",1,0.47875,0,1,10,1,4
"59",1,0.49,0,1,10,1,4
"60",1,0.50125,0,1,10,1,4
"61",1,0.5125,0,1,10,1,4
"62",1,0.52375,0,1,10,1,4
"63",1,0.535,0,1,10,1,4
"64",1,0.54625,0,1,10,1,4
"65",1,0.5575,0,1,10,1,4
"66",1,0.56875,0,1,10,1,4
"67",1,0.58,0,1,10,1,4
"68",1,0.59125,0,1,10,1,4
"69",1,0.6025,0,1,10,1,4
"70",1,0.61375,0,1,10,1,4
"71",1,0.625,0,1,10,1,4
"72",1,0.63625,0,1,10,1,4
"73",1,0.6475,0,1,10,1,4
"74",1,0.65875,0,1,10,1,4
"75",1,0.67,0,1,10,1,4
"76",1,0.4,1,1,10,1,4
"77",1,0.41125,1,1,10,1,4
"78",1,0.4225,1,1,10,1,4
"79",1,0.43375,1,1,10,1,4
"80",1,0.445,1,1,10,1,4
"81",1,0.45625,1,1,10,1,4
"82",1,0.4675,1,1,10,1,4
"83",1,0.47875,1,1,10,1,4
"84",1,0.49,1,1,10,1,4
"85",1,0.50125,1,1,10,1,4
"86",1,0.5125,1,1,10,1,4
"87",1,0.52375,1,1,10,1,4
"88",1,0.535,1,1,10,1,4
"89",1,0.54625,1,1,10,1,4
"90",1,0.5575,1,1,10,1,4
"91",1,0.56875,1,1,10,1,4
"92",1,0.58,1,1,10,1,4
"93",1,0.59125,1,1,10,1,4
"94",1,0.6025,1,1,10,1,4
"95",1,0.61375,1,1,10,1,4
"96",1,0.625,1,1,10,1,4
"97",1,0.63625,1,1,10,1,4
"98",1,0.6475,1,1,10,1,4
"99",1,0.65875,1,1,10,1,4
"100",1,0.67,1,1,10,1,4
