"","model","p.range","skpt_spike","enth_flat","freq.mntr","enr.shape","out.mean"
"1",1,0.4,1,0,2,1,4
"2",1,0.41,1,0,2,1,4
"3",1,0.42,1,0,2,1,4
"4",1,0.43,1,0,2,1,4
"5",1,0.44,1,0,2,1,4
"6",1,0.45,1,0,2,1,4
"7",1,0.46,1,0,2,1,4
"8",1,0.47,1,0,2,1,4
"9",1,0.48,1,0,2,1,4
"10",1,0.49,1,0,2,1,4
"11",1,0.5,1,0,2,1,4
"12",1,0.51,1,0,2,1,4
"13",1,0.52,1,0,2,1,4
"14",1,0.53,1,0,2,1,4
"15",1,0.54,1,0,2,1,4
"16",1,0.55,1,0,2,1,4
"17",1,0.56,1,0,2,1,4
"18",1,0.57,1,0,2,1,4
"19",1,0.58,1,0,2,1,4
"20",1,0.59,1,0,2,1,4
"21",1,0.6,1,0,2,1,4
"22",1,0.61,1,0,2,1,4
"23",1,0.62,1,0,2,1,4
"24",1,0.63,1,0,2,1,4
"25",1,0.64,1,0,2,1,4
"26",1,0.65,1,0,2,1,4
"27",1,0.66,1,0,2,1,4
"28",1,0.67,1,0,2,1,4
"29",2,0.4,1,0,1,1,4
"30",2,0.4,1,0,2,1,4
"31",2,0.4,1,0,3,1,4
"32",2,0.4,1,0,4,1,4
"33",2,0.4,1,0,5,1,4
"34",2,0.4,1,0,6,1,4
"35",2,0.4,1,0,7,1,4
"36",2,0.4,1,0,8,1,4
"37",2,0.4,1,0,9,1,4
"38",2,0.4,1,0,10,1,4
"39",2,0.4,1,0,11,1,4
"40",2,0.4,1,0,12,1,4
"41",2,0.4,1,0,13,1,4
"42",2,0.4,1,0,14,1,4
"43",2,0.4,1,0,15,1,4
"44",2,0.4,1,0,16,1,4
"45",2,0.4,1,0,17,1,4
"46",2,0.4,1,0,18,1,4
"47",2,0.4,1,0,19,1,4
"48",2,0.4,1,0,20,1,4
"49",2,0.4,1,0,21,1,4
"50",2,0.4,1,0,22,1,4
"51",2,0.4,1,0,23,1,4
"52",2,0.4,1,0,24,1,4
"53",2,0.4,1,0,25,1,4
"54",2,0.4,1,0,26,1,4
"55",2,0.4,1,0,27,1,4
"56",2,0.4,1,0,28,1,4
"57",2,0.4,1,0,29,1,4
"58",2,0.4,1,0,30,1,4
"59",2,0.4,1,0,31,1,4
"60",2,0.4,1,0,32,1,4
"61",2,0.4,1,0,33,1,4
"62",2,0.4,1,0,34,1,4
"63",2,0.4,1,0,35,1,4
"64",2,0.4,1,0,36,1,4
"65",2,0.4,1,0,37,1,4
"66",2,0.4,1,0,38,1,4
"67",2,0.4,1,0,39,1,4
"68",2,0.4,1,0,40,1,4
"69",2,0.4,1,0,41,1,4
"70",2,0.4,1,0,42,1,4
"71",2,0.4,1,0,43,1,4
"72",2,0.4,1,0,44,1,4
"73",2,0.4,1,0,45,1,4
"74",2,0.4,1,0,46,1,4
"75",2,0.4,1,0,47,1,4
"76",2,0.4,1,0,48,1,4
"77",2,0.4,1,0,49,1,4
"78",2,0.4,1,0,50,1,4
"79",2,0.4,1,0,51,1,4
"80",2,0.4,1,0,52,1,4
"81",2,0.4,1,0,53,1,4
"82",2,0.4,1,0,54,1,4
"83",2,0.4,1,0,55,1,4
"84",2,0.4,1,0,56,1,4
"85",2,0.4,1,0,57,1,4
"86",2,0.4,1,0,58,1,4
"87",2,0.4,1,0,59,1,4
"88",2,0.4,1,0,60,1,4
"89",2,0.4,1,0,61,1,4
"90",2,0.4,1,0,62,1,4
"91",2,0.4,1,0,63,1,4
"92",2,0.4,1,0,64,1,4
"93",2,0.4,1,0,65,1,4
"94",2,0.4,1,0,66,1,4
"95",2,0.4,1,0,67,1,4
