"","X","eff.mon.initial","eff.mon.final","eff.inf.initial","eff.inf.final","fut.mon.initial","fut.mon.final","fut.inf.initial","fut.inf.final","phat.initial","phat.final","ss.initial","ss.final","post.mean.initial","post.mean.final","cov.initial","cov.final","idx"
"1",1,0.0182,0.01436,0.0248,0.02396,0.71252,0.69828,NA,NA,0.392767063492063,0.394798841606925,96.4176,99.53008,0.406759963501748,0.406463862792442,0.96916,0.96896,100
"2",1,0.01548,0.01384,0.02172,0.02144,0.71848,0.69148,NA,NA,0.392105557729941,0.394330537649808,94.66996,98.23212,0.405009828247677,0.406110792133816,0.96844,0.9712,101
"3",1,0.01812,0.01512,0.02508,0.02452,0.71488,0.69964,NA,NA,0.393028861003861,0.394968730259384,96.44128,99.72416,0.40558341259785,0.406464630706484,0.968,0.96836,102
"4",1,0.01596,0.01416,0.02252,0.02236,0.71868,0.69016,NA,NA,0.392643242857143,0.394638596530257,94.76096,98.50436,0.405385346682712,0.406234081038346,0.97168,0.96948,103
"5",1,0.01896,0.01592,0.02528,0.0248,0.71352,0.69412,NA,NA,0.393515526315789,0.395401798759978,96.49264,99.93136,0.405882213290478,0.4067245825804,0.965,0.96772,104
"6",1,0.01504,0.01316,0.02296,0.02284,0.71992,0.687,NA,NA,0.39355987012987,0.395437050752933,95.2434,99.0646,0.407216963266555,0.406765037842375,0.97064,0.96976,105
"7",1,0.01788,0.01492,0.02524,0.02472,0.71524,0.69556,NA,NA,0.394128992673993,0.396033935504222,96.90128,100.44384,0.406259494866019,0.407147641526209,0.96892,0.96696,106
"8",1,0.0166,0.0148,0.02368,0.02348,0.71812,0.68016,NA,NA,0.394535587703436,0.396482938011791,95.62672,99.56648,0.406614298641159,0.407582076900197,0.96844,0.9692,107
"9",1,0.01704,0.015,0.02376,0.0234,0.71352,0.69176,NA,NA,0.394433071428571,0.396250189123878,97.17248,100.89424,0.406357417308258,0.407293486171658,0.9698,0.96828,108
"10",1,0.01736,0.01296,0.02396,0.02296,0.71816,0.6742,NA,NA,0.394727473544974,0.396566267775233,95.92464,100.05428,0.406612108922567,0.407586484979425,0.97048,0.96932,109
"11",1,0.4864,0.33996,0.51612,0.49832,0.13572,0.08172,NA,NA,0.509979015190866,0.503650767931388,83.4764,88.07884,0.510488335542971,0.5054375714122,0.89272,0.91088,10
"12",1,0.01596,0.01344,0.02224,0.02188,0.71816,0.69076,NA,NA,0.394067665505226,0.395992975794242,97.2868,101.20668,0.405925522431113,0.407032715426281,0.969,0.96976,110
"13",1,0.0186,0.01428,0.02468,0.0238,0.7248,0.6804,NA,NA,0.394641071428571,0.396352267154495,96.26576,100.62632,0.406446862796212,0.407412609402874,0.9678,0.96708,111
"14",1,0.01532,0.01368,0.02184,0.02148,0.71628,0.68768,NA,NA,0.394987261904762,0.396780687002762,97.9384,101.95484,0.406520459279703,0.407596127183449,0.97256,0.96936,112
"15",1,0.01804,0.01492,0.0234,0.02268,0.72128,0.673,NA,NA,0.395429235294118,0.397157392443031,97.01716,101.46244,0.406933454785921,0.407925451764721,0.96804,0.96812,113
