"","X","eff.mon.initial","eff.mon.final","eff.inf.initial","eff.inf.final","fut.mon.initial","fut.mon.final","fut.inf.initial","fut.inf.final","phat.initial","phat.final","ss.initial","ss.final","post.mean.initial","post.mean.final","cov.initial","cov.final","idx"
"1",1,0.04564,0.01848,0.049,0.04316,0.76508,0.56028,NA,NA,0.376211047991313,0.382852117950831,70.82976,77.05452,0.401516972160177,0.40344911826005,0.94948,0.95332,141
"2",1,0.81844,0.57932,0.83928,0.816,0.0274,0.01276,NA,NA,0.576638248700897,0.562122591917808,63.84996,70.40864,0.5693082144065,0.559810831290323,0.9202,0.93236,142
"3",1,0.99988,0.87768,0.99988,0.99524,0,0,NA,NA,0.718326184831442,0.69583087680274,25.6868,33.6884,0.676824487947069,0.671846991122112,0.9874,0.97884,143
"4",1,0.03888,0.01808,0.04216,0.03784,0.76124,0.589,NA,NA,0.375664006691624,0.382148244113917,73.02936,79.16244,0.400337936138196,0.402327947743288,0.95708,0.95824,144
"5",1,0.80564,0.61896,0.82948,0.81236,0.02652,0.01344,NA,NA,0.571267613380701,0.559046104322437,67.25376,73.6468,0.565425831305055,0.557253729679979,0.92032,0.929,145
"6",1,0.99992,0.9222,0.99992,0.99796,4e-05,0,NA,NA,0.717462498038355,0.695694677285704,27.73792,35.72504,0.678100954317969,0.672707174575483,0.98836,0.98032,146
"7",1,0.03744,0.01932,0.04064,0.03664,0.75744,0.6006,NA,NA,0.376575558304993,0.382935107582465,73.8552,79.87844,0.400507150938398,0.402636464982315,0.9588,0.95916,147
"8",1,0.8056,0.62352,0.8334,0.81712,0.02276,0.01284,NA,NA,0.572437518431463,0.560616262526389,66.90724,73.25032,0.56694909435222,0.558767525474041,0.91468,0.93328,148
"9",1,0.99988,0.91904,0.99996,0.99764,0,0,NA,NA,0.711172536771193,0.693311055019624,27.71472,35.71368,0.676052663446684,0.671600734257421,0.9876,0.97816,149
"10",1,0.03412,0.0174,0.03744,0.03456,0.75704,0.62668,NA,NA,0.378929964489621,0.384598043466306,76.28328,82.19128,0.400925367712255,0.403099317409946,0.96208,0.96148,150
"11",1,0.79744,0.64504,0.82416,0.8108,0.02212,0.01236,NA,NA,0.570580750773135,0.558730045570962,69.83996,76.07652,0.564823594920243,0.556890670444011,0.92048,0.9328,151
"12",1,0.99984,0.92264,0.99984,0.99672,0,0,NA,NA,0.715099116707304,0.694594875842629,28.57108,36.58316,0.678099677550171,0.672540482848441,0.98588,0.97828,152
"13",1,0.0304,0.01896,0.03536,0.03352,0.74672,0.65592,NA,NA,0.379990828715729,0.385088213183153,79.60048,85.28052,0.400820135963869,0.402653919352911,0.96396,0.96056,153
"14",1,0.79348,0.67568,0.82312,0.81424,0.01788,0.01176,NA,NA,0.567015584126984,0.557097441256069,73.31608,79.29036,0.562658887631415,0.555773028960549,0.93588,0.93252,154
"15",1,0.9998,0.95576,0.99992,0.99816,0,0,NA,NA,0.710850295238095,0.69303313530634,32.4292,40.42052,0.677956963836539,0.672903930430644,0.98032,0.9768,155
"16",1,0.02404,0.01732,0.029,0.02796,0.72876,0.66428,NA,NA,0.383049295238095,0.387809150834022,85.31424,90.62036,0.401773714528559,0.403526495112946,0.96708,0.966,156
"17",1,0.7752,0.71324,0.81536,0.81152,0.01628,0.01204,NA,NA,0.558568185714286,0.552113173718902,79.75728,85.42844,0.556801945039933,0.551773285585691,0.94188,0.93372,157
"18",1,0.99988,0.98528,0.99988,0.99948,4e-05,4e-05,NA,NA,0.696404819047619,0.687159929680907,38.8688,46.87636,0.674119115767701,0.671459848085627,0.9798,0.97316,158
"19",1,0.01928,0.0152,0.02508,0.02408,0.71032,0.68372,NA,NA,0.390860971896956,0.393174837091917,95.71672,98.26508,0.404665959591744,0.405738738921362,0.96564,0.96812,159
"20",1,0.7616,0.72192,0.80924,0.806,0.01204,0.01028,NA,NA,0.545679830210773,0.543015396570155,90.81868,94.15084,0.546605393691049,0.544093893373617,0.93776,0.9464,160
"21",1,0.99988,0.99708,0.99996,0.99972,0,0,NA,NA,0.672257412177986,0.671832706430002,62.173,69.98104,0.664440230841712,0.664979058086636,0.97408,0.9664,161
"22",1,0.01248,0.01248,0.0212,0.0212,0.69852,0.69852,NA,NA,0.400045714285714,0.400045714285714,112,112,0.408905181369629,0.408905181369629,0.97048,0.97048,162
"23",1,0.74404,0.74404,0.80092,0.80092,0.00956,0.00956,NA,NA,0.535343571428571,0.535343571428571,112,112,0.536617201863906,0.536617201863906,0.9396,0.9396,163
"24",1,0.9998,0.9998,0.99984,0.99984,0,0,NA,NA,0.670154642857143,0.670154642857143,112,112,0.666113311811361,0.666113311811361,0.95572,0.95572,164
"25",1,0.04516,0.01412,0.04852,0.02696,0.76684,0.64232,NA,NA,0.376201985673895,0.393164270217996,70.89488,94.04008,0.401481030355284,0.406384906971162,0.95032,0.96484,165
"26",1,0.81164,0.66836,0.83516,0.78616,0.02844,0.00992,NA,NA,0.575532265130931,0.545330720041735,64.25764,88.90808,0.568346626200752,0.545927772303053,0.9196,0.93704,166
"27",1,0.99992,0.98492,0.99992,0.99808,0,0,NA,NA,0.718785339318695,0.678658154407451,25.59536,59.18972,0.677135544650515,0.668262225436599,0.9882,0.96716,167
"28",1,0.03876,0.01424,0.04224,0.02596,0.76284,0.65148,NA,NA,0.37640512789939,0.393188635119225,73.0984,95.42168,0.400760285351711,0.406174975087155,0.95736,0.96648,168
"29",1,0.81108,0.68848,0.83416,0.79668,0.02184,0.00836,NA,NA,0.571710295940084,0.544810479640708,67.19848,91.22732,0.566016833981825,0.545535133992558,0.92768,0.94224,169
