"","X","p.agree","efficacy","conditional","idx"
"1",1,0.92231,0.92221,0.922302230223022,100
"2",1,0.96752,0.01216,0.272890484739677,101
"3",1,0.97389,0.01224,0.319415448851775,102
"4",1,0.97859,0.01281,0.374670956420006,103
"5",1,0.98285,0.01247,0.421283783783784,104
"6",1,0.98738,0.01221,0.492537313432836,105
"7",1,0.99542,0.01294,0.7390062821245,106
"8",1,1,0.01252,1,107
"9",1,0.96982,0.01419,0.319882777276826,108
"10",1,0.97537,0.01345,0.353203781512605,109
"11",1,0.79961,0.47411,0.70290585618977,10
"12",1,0.97985,0.01411,0.411850554582604,110
"13",1,0.98419,0.01381,0.466396487673083,111
"14",1,0.98742,0.01346,0.517095658855167,112
"15",1,0.99606,0.01333,0.771858714533874,113
"16",1,1,0.01231,1,114
"17",1,0.79274,0.54292,0.723719640619585,11
"18",1,0.79167,0.60747,0.744631037018877,12
"19",1,0.79486,0.66242,0.763543731845636,13
"20",1,0.80296,0.71377,0.783665089316103,14
"21",1,0.80987,0.75193,0.798176336963675,15
"22",1,0.82064,0.78426,0.813868537390258,16
"23",1,0.83342,0.81266,0.82988848494751,17
"24",1,0.84457,0.83276,0.842712433843694,18
"25",1,0.85654,0.8507,0.855697272068882,19
"26",1,0.96181,0.03423,0.472659486329743,1
"27",1,0.86953,0.86655,0.869140037311187,20
"28",1,0.88198,0.88034,0.881786129251973,21
"29",1,0.89242,0.8918,0.892353259020593,22
"30",1,0.90266,0.90237,0.902631763211331,23
"31",1,0.9133,0.91319,0.913290461950815,24
"32",1,0.91908,0.919,0.919073525882071,25
"33",1,0.97965,0.0189,0.481528662420382,26
"34",1,0.97137,0.03149,0.523785761809714,27
"35",1,0.95995,0.04958,0.553163003458663,28
"36",1,0.94454,0.07375,0.570776255707763,29
"37",1,0.94817,0.05345,0.507693768996961,2
"38",1,0.92805,0.10718,0.598336403729135,30
"39",1,0.91043,0.15102,0.627706887235546,31
"40",1,0.89042,0.2054,0.652104895548924,32
"41",1,0.87086,0.26624,0.67337751024331,33
"42",1,0.84944,0.33376,0.689131152956723,34
"43",1,0.83425,0.40914,0.711683974325523,35
"44",1,0.82364,0.48147,0.731906419591688,36
"45",1,0.81647,0.55491,0.751462542657494,37
"46",1,0.81172,0.61978,0.76699750018563,38
"47",1,0.81392,0.67748,0.784519894390662,39
"48",1,0.93223,0.07952,0.539887297168851,3
"49",1,0.8168,0.72562,0.798419929138883,40
"50",1,0.82709,0.76702,0.816039492302618,41
"51",1,0.83203,0.79641,0.825825919243452,42
"52",1,0.84686,0.82565,0.843541515544703,43
"53",1,0.85855,0.84655,0.856831983805668,44
"54",1,0.86944,0.86347,0.868655875577196,45
"55",1,0.88108,0.87784,0.880693446767527,46
"56",1,0.8911,0.88983,0.890961521131837,47
"57",1,0.90392,0.90343,0.903872897719883,48
"58",1,0.9117,0.91141,0.911674385571816,49
"59",1,0.91301,0.11157,0.561895648670427,4
"60",1,0.92035,0.92026,0.920342830854777,50
"61",1,0.96205,0.03534,0.482194023741302,51
"62",1,0.94766,0.05299,0.503085540681667,52
"63",1,0.93189,0.07854,0.535560859188544,53
"64",1,0.91381,0.11107,0.563063976477745,54
"65",1,0.89138,0.1539,0.586241048301082,55
"66",1,0.86906,0.2067,0.612190498756072,56
"67",1,0.84798,0.26749,0.637624848036996,57
"68",1,0.827,0.3341,0.658844409386709,58
"69",1,0.81149,0.39917,0.679230193302478,59
"70",1,0.89188,0.15512,0.589272147090108,5
"71",1,0.79941,0.47346,0.702410800385728,60
"72",1,0.79431,0.54177,0.724814705803655,61
"73",1,0.78952,0.6037,0.741482227517257,62
"74",1,0.79375,0.66228,0.762529791717039,63
"75",1,0.79969,0.71082,0.780152118797537,64
"76",1,0.80726,0.7494,0.79542318551383,65
"77",1,0.82056,0.78453,0.813853128209384,66
"78",1,0.83343,0.81226,0.829827447054136,67
"79",1,0.84721,0.83547,0.845394936555158,68
"80",1,0.85884,0.85287,0.857992213514683,69
"81",1,0.86955,0.20623,0.612540097421884,6
"82",1,0.86992,0.86661,0.869488005297535,70
"83",1,0.88183,0.8804,0.881660774908119,71
"84",1,0.89367,0.89298,0.893596581641332,72
"85",1,0.90332,0.90305,0.903293889350125,73
"86",1,0.91136,0.91112,0.91133872129311,74
"87",1,0.92145,0.92138,0.921444501115078,75
"88",1,0.98007,0.01916,0.490150933742645,76
"89",1,0.97167,0.03145,0.526095684175309,77
"90",1,0.96033,0.04848,0.549971639251276,78
"91",1,0.94751,0.07236,0.579575490588706,79
"92",1,0.8472,0.26549,0.634703196347032,7
"93",1,0.92826,0.1066,0.597734664124706,80
"94",1,0.90995,0.14993,0.624760396699725,81
"95",1,0.89029,0.20411,0.650404690586961,82
"96",1,0.8718,0.26644,0.675146969389824,83
"97",1,0.85104,0.33672,0.69329599736452,84
"98",1,0.83713,0.40733,0.71436338126973,85
"99",1,0.82291,0.48237,0.73146210535893,86
"100",1,0.81411,0.55258,0.748276842661178,87
"101",1,0.81186,0.62042,0.767314732363708,88
"102",1,0.81359,0.67548,0.783719500168235,89
"103",1,0.82706,0.33198,0.657490295492355,8
"104",1,0.81752,0.72491,0.798895733918161,90
"105",1,0.8272,0.76678,0.816088039336725,91
"106",1,0.83599,0.79723,0.829376638508593,92
"107",1,0.84591,0.82492,0.842606306370721,93
"108",1,0.85963,0.84792,0.857966791124063,94
"109",1,0.87066,0.86431,0.86983344235898,95
"110",1,0.88249,0.87938,0.882123403785774,96
"111",1,0.89581,0.89449,0.895672287419394,97
"112",1,0.90284,0.90217,0.902774859155634,98
"113",1,0.91174,0.9115,0.911718812515004,99
"114",1,0.81159,0.40477,0.682372972790721,9
