"","X","eff.mon.initial","eff.mon.final","eff.inf.initial","eff.inf.final","fut.mon.initial","fut.mon.final","fut.inf.initial","fut.inf.final","phat.initial","phat.final","ss.initial","ss.final","post.mean.initial","post.mean.final","cov.initial","cov.final","p.range"
"1",1,0.5,0.3,0.5,0.5,0,0,NA,NA,0.533596196463843,0.517791973152175,78.8,82.2,0.523088526508225,0.512389995743621,0.9,0.9,0.49
"2",1,0.6,0.5,0.6,0.6,0,0,NA,NA,0.533950216450216,0.531158863066758,77.4,81.9,0.527218185670305,0.526771373480489,1,1,0.5
"3",1,0.7,0.3,0.7,0.4,0.1,0,NA,NA,0.553109668109668,0.526041778859871,71,76.4,0.540449757213033,0.520724209584708,0.8,0.9,0.51
"4",1,0.5,0.3,0.5,0.5,0.2,0.2,NA,NA,0.522648378191856,0.512095710802607,69.8,75.3,0.518475452309509,0.510801681661238,0.8,0.8,0.52
"5",1,0.9,0.8,0.9,0.9,0,0,NA,NA,0.655782081902772,0.622099969857273,43.8,50.6,0.618986924159067,0.601462670390104,0.9,0.9,0.53
"6",1,1,0.8,1,0.9,0,0,NA,NA,0.646014392599145,0.60910062449701,38,45.9,0.618828528672013,0.594902674852009,1,1,0.54
"7",1,1,0.6,1,1,0,0,NA,NA,0.589282828282828,0.564258911261026,52,58.9,0.57711745503105,0.558117917174309,1,1,0.55
"8",1,0.9,0.9,0.9,0.9,0,0,NA,NA,0.594200937950938,0.591510450189407,49.8,56.8,0.578055365068934,0.579899553135772,0.9,0.9,0.56
"9",1,1,0.9,1,1,0,0,NA,NA,0.587119585463394,0.58507328469386,51.2,59.3,0.575456015068331,0.577370938667121,1,1,0.57
"10",1,1,0.8,1,1,0,0,NA,NA,0.700192906508696,0.646265559226071,26.2,34.9,0.654980659075498,0.625979558212032,1,1,0.58
"11",1,0,0,0.1,0.1,0.9,0.7,NA,NA,0.381590543465543,0.38821198036787,81.2,86.4,0.395991781245512,0.400269347212326,0.9,0.9,0.4
"12",1,1,0.6,1,0.9,0,0,NA,NA,0.63429759782701,0.616041450370546,34.2,42.3,0.612077555363782,0.601548594535076,1,1,0.59
"13",1,1,1,1,1,0,0,NA,NA,0.614286213979519,0.595344792160486,37.6,47.8,0.600345640622353,0.587419683966692,1,1,0.6
"14",1,1,0.9,1,1,0,0,NA,NA,0.62551296720061,0.620147149455044,36,43.8,0.607362374576332,0.606868703626158,1,1,0.61
"15",1,1,0.8,1,1,0,0,NA,NA,0.670170651420651,0.647383121688814,30.8,38,0.634818423073169,0.624261746319959,1,0.9,0.62
"16",1,1,1,1,1,0,0,NA,NA,0.639206349206349,0.657617372974421,34,42.6,0.616590492065197,0.637893978732177,0.9,0.9,0.63
"17",1,1,1,1,1,0,0,NA,NA,0.715217086834734,0.718674527934744,23.6,30,0.662217463249311,0.680476272683606,1,1,0.64
"18",1,1,0.8,1,1,0,0,NA,NA,0.732867114021613,0.69458402937666,29.6,37.4,0.665902918307554,0.656411720488772,0.9,0.8,0.65
"19",1,1,0.9,1,1,0,0,NA,NA,0.682844932844933,0.679030028557892,25.8,33.2,0.645697364450137,0.650192012550064,1,1,0.66
"20",1,1,0.8,1,0.9,0,0,NA,NA,0.66421059332824,0.650804217304313,30.4,37.9,0.629443389000683,0.63011361634249,1,0.9,0.67
"21",1,0,0,0,0,0.7,0.5,NA,NA,0.37209762079093,0.382937706041132,78.8,83.9,0.390550690999458,0.396707024803853,1,0.9,0.41
"22",1,0,0,0,0,0.7,0.4,NA,NA,0.373950107383905,0.391804857120714,81.8,86.7,0.393049216277444,0.404403343799387,1,1,0.42
"23",1,0.1,0.1,0.1,0.1,0.5,0.3,NA,NA,0.42413332038332,0.43535329717648,93.8,98.2,0.43071737718421,0.440019273229894,1,1,0.43
"24",1,0.3,0.3,0.3,0.3,0.6,0.4,NA,NA,0.418269806477635,0.427271680827937,60.6,68.7,0.433295287514986,0.438404415185082,0.8,0.9,0.44
"25",1,0.2,0.1,0.2,0.2,0.3,0.1,NA,NA,0.423064574314574,0.433534751485691,89,92.2,0.436665663607288,0.443747990010582,0.9,0.9,0.45
"26",1,0.2,0.1,0.3,0.3,0.7,0.6,NA,NA,0.419675327592443,0.417442997465513,68.4,74.6,0.431714548961573,0.428038659517661,0.7,0.8,0.46
"27",1,0.3,0.1,0.3,0.2,0.5,0.4,NA,NA,0.447021265771266,0.439160866182662,85.4,90.1,0.452084439762544,0.444575498865442,1,0.9,0.47
"28",1,0.5,0.4,0.5,0.4,0.3,0.2,NA,NA,0.481995397098593,0.476718556164792,91.8,96.5,0.483192025026267,0.478450334239639,1,1,0.48
