"","X","p.IP","p.PC","freq.mntr","enr.shape","out.mean","fut.mix.prob","eff.mix.prob","inf.mix.prob","cred.tail","max.ss","min.ss","reps","y1.IP.initial","y0.IP.initial","y1.PC.initial","y0.PC.initial","eff.prob.initial","fut.prob.initial","eff.mix.prob.initial","box.skpt.initial","box.enth.initial","box.ni.initial","y1.IP.final","y0.IP.final","y1.PC.final","y0.PC.final","eff.prob.final","fut.prob.final","eff.mix.prob.final","box.skpt.final","box.enth.final","box.ni.final"
"1",1,0.27,0.39,2,1,4,0,1,0.5,0.05,100,70,100,14,44,19,23,0.129923926573204,0.977494871700325,1,NA,NA,NA,14,44,19,23,0.129923926573204,0.977494871700325,1,NA,NA,NA
"2",1,0.27,0.39,2,1,4,0,1,0.5,0.05,100,70,100,8,37,15,18,0.0951920893108748,0.979806908112171,1,NA,NA,NA,8,39,15,19,0.0874006296700311,0.983181244902636,1,NA,NA,NA
"3",1,0.27,0.39,2,1,4,0,1,0.5,0.05,100,70,100,13,45,12,30,0.31727492035946,0.916272143736503,1,NA,NA,NA,13,45,12,30,0.31727492035946,0.916272143736503,1,NA,NA,NA
"4",1,0.27,0.39,2,1,4,0,1,0.5,0.05,100,70,100,19,39,14,28,0.464091891382633,0.805546592185287,1,NA,NA,NA,19,39,14,28,0.464091891382633,0.805546592185287,1,NA,NA,NA
"5",1,0.27,0.39,2,1,4,0,1,0.5,0.05,100,70,100,10,42,14,18,0.110722578121363,0.978848667028083,1,NA,NA,NA,11,43,14,19,0.129900487468052,0.974786833464675,1,NA,NA,NA
"6",1,0.27,0.39,2,1,4,0,1,0.5,0.05,100,70,100,16,42,20,22,0.158263692943082,0.968668932961259,1,NA,NA,NA,16,42,20,22,0.158263692943082,0.968668932961259,1,NA,NA,NA
"7",1,0.27,0.39,2,1,4,0,1,0.5,0.05,100,70,100,5,38,11,16,0.0710442469175964,0.985710406240684,1,NA,NA,NA,5,38,14,16,0.041780912831635,0.991864346184231,1,NA,NA,NA
"8",1,0.27,0.39,2,1,4,0,1,0.5,0.05,100,70,100,15,43,16,26,0.243120791502692,0.941308497263478,1,NA,NA,NA,15,43,16,26,0.243120791502692,0.941308497263478,1,NA,NA,NA
"9",1,0.27,0.39,2,1,4,0,1,0.5,0.05,100,70,100,14,41,18,17,0.118390722473935,0.976679375385005,1,NA,NA,NA,14,43,19,17,0.0913823478968967,0.984399044832194,1,NA,NA,NA
"10",1,0.27,0.39,2,1,4,0,1,0.5,0.05,100,70,100,18,40,16,26,0.348402234145378,0.885481203178823,1,NA,NA,NA,18,40,16,26,0.348402234145378,0.885481203178823,1,NA,NA,NA
"11",1,0.27,0.39,2,1,4,0,1,0.5,0.05,100,70,100,18,38,22,14,0.117655921871961,0.975943452547904,1,NA,NA,NA,19,39,23,14,0.109330711273334,0.979031671843177,1,NA,NA,NA
"12",1,0.27,0.39,2,1,4,0,1,0.5,0.05,100,70,100,6,34,13,17,0.0968826652927076,0.97654307181656,1,NA,NA,NA,6,37,13,17,0.0766675778409252,0.983966966802493,1,NA,NA,NA
"13",1,0.27,0.39,2,1,4,0,1,0.5,0.05,100,70,100,14,44,16,26,0.209793938275303,0.954814512836745,1,NA,NA,NA,14,44,16,26,0.209793938275303,0.954814512836745,1,NA,NA,NA
"14",1,0.27,0.39,2,1,4,0,1,0.5,0.05,100,70,100,7,36,12,15,0.104836792499971,0.975187520074364,1,NA,NA,NA,7,37,14,15,0.0725123100921487,0.984613753668477,1,NA,NA,NA
"15",1,0.27,0.39,2,1,4,0,1,0.5,0.05,100,70,100,14,44,15,27,0.242112582712628,0.943583613588127,1,NA,NA,NA,14,44,15,27,0.242112582712628,0.943583613588127,1,NA,NA,NA
"16",1,0.27,0.39,2,1,4,0,1,0.5,0.05,100,70,100,18,40,17,25,0.311982142674306,0.905205777784111,1,NA,NA,NA,18,40,17,25,0.311982142674306,0.905205777784111,1,NA,NA,NA
"17",1,0.27,0.39,2,1,4,0,1,0.5,0.05,100,70,100,11,39,17,19,0.11473216195914,0.976713546855498,1,NA,NA,NA,11,41,17,20,0.106742694789175,0.980219018303517,1,NA,NA,NA
"18",1,0.27,0.39,2,1,4,0,1,0.5,0.05,100,70,100,11,45,14,22,0.13890892504202,0.975026984766639,1,NA,NA,NA,11,45,16,23,0.11304817841243,0.981673594897804,1,NA,NA,NA
"19",1,0.27,0.39,2,1,4,0,1,0.5,0.05,100,70,100,14,44,12,30,0.357127196116833,0.893317031381071,1,NA,NA,NA,14,44,12,30,0.357127196116833,0.893317031381071,1,NA,NA,NA
"20",1,0.27,0.39,2,1,4,0,1,0.5,0.05,100,70,100,18,40,19,23,0.245213727983866,0.936314033622626,1,NA,NA,NA,18,40,19,23,0.245213727983866,0.936314033622626,1,NA,NA,NA
"21",1,0.27,0.39,2,1,4,0,1,0.5,0.05,100,70,100,18,40,20,22,0.214993982519859,0.94833469347955,1,NA,NA,NA,18,40,20,22,0.214993982519859,0.94833469347955,1,NA,NA,NA
"22",1,0.27,0.39,2,1,4,0,1,0.5,0.05,100,70,100,12,42,18,24,0.132166556468765,0.975804729976421,1,NA,NA,NA,12,45,18,24,0.109198425304255,0.982900399417167,1,NA,NA,NA
"23",1,0.27,0.39,2,1,4,0,1,0.5,0.05,100,70,100,16,42,19,23,0.18439310466601,0.960700721105973,1,NA,NA,NA,16,42,19,23,0.18439310466601,0.960700721105973,1,NA,NA,NA
"24",1,0.27,0.39,2,1,4,0,1,0.5,0.05,100,70,100,16,42,12,30,0.436065237123143,0.837771824399092,1,NA,NA,NA,16,42,12,30,0.436065237123143,0.837771824399092,1,NA,NA,NA
"25",1,0.27,0.39,2,1,4,0,1,0.5,0.05,100,70,100,14,44,15,27,0.242112582712628,0.943583613588127,1,NA,NA,NA,14,44,15,27,0.242112582712628,0.943583613588127,1,NA,NA,NA
"26",1,0.27,0.39,2,1,4,0,1,0.5,0.05,100,70,100,16,42,16,26,0.277520442652363,0.925315897889925,1,NA,NA,NA,16,42,16,26,0.277520442652363,0.925315897889925,1,NA,NA,NA
"27",1,0.27,0.39,2,1,4,0,1,0.5,0.05,100,70,100,14,44,15,27,0.242112582712628,0.943583613588127,1,NA,NA,NA,14,44,15,27,0.242112582712628,0.943583613588127,1,NA,NA,NA
"28",1,0.27,0.39,2,1,4,0,1,0.5,0.05,100,70,100,15,43,19,23,0.156225520809516,0.969955991299706,1,NA,NA,NA,15,43,19,23,0.156225520809516,0.969955991299706,1,NA,NA,NA
"29",1,0.27,0.39,2,1,4,0,1,0.5,0.05,100,70,100,12,46,14,28,0.205609024445066,0.959719555266969,1,NA,NA,NA,12,46,14,28,0.205609024445066,0.959719555266969,1,NA,NA,NA
"30",1,0.27,0.39,2,1,4,0,1,0.5,0.05,100,70,100,18,40,20,22,0.214993982519859,0.94833469347955,1,NA,NA,NA,18,40,20,22,0.214993982519859,0.94833469347955,1,NA,NA,NA
"31",1,0.27,0.39,2,1,4,0,1,0.5,0.05,100,70,100,14,44,18,24,0.153791732946652,0.971452475908626,1,NA,NA,NA,14,44,18,24,0.153791732946652,0.971452475908626,1,NA,NA,NA
"32",1,0.27,0.39,2,1,4,0,1,0.5,0.05,100,70,100,15,43,15,27,0.277446957485355,0.927438838242,1,NA,NA,NA,15,43,15,27,0.277446957485355,0.927438838242,1,NA,NA,NA
"33",1,0.27,0.39,2,1,4,0,1,0.5,0.05,100,70,100,16,42,16,26,0.277520442652363,0.925315897889925,1,NA,NA,NA,16,42,16,26,0.277520442652363,0.925315897889925,1,NA,NA,NA
"34",1,0.27,0.39,2,1,4,0,1,0.5,0.05,100,70,100,20,38,19,23,0.31046613429414,0.903107583670498,1,NA,NA,NA,20,38,19,23,0.31046613429414,0.903107583670498,1,NA,NA,NA
"35",1,0.27,0.39,2,1,4,0,1,0.5,0.05,100,70,100,18,40,16,26,0.348402234145378,0.885481203178823,1,NA,NA,NA,18,40,16,26,0.348402234145378,0.885481203178823,1,NA,NA,NA
"36",1,0.27,0.39,2,1,4,0,1,0.5,0.05,100,70,100,15,43,15,27,0.277446957485355,0.927438838242,1,NA,NA,NA,15,43,15,27,0.277446957485355,0.927438838242,1,NA,NA,NA
"37",1,0.27,0.39,2,1,4,0,1,0.5,0.05,100,70,100,20,38,21,21,0.245172586900733,0.934477622602927,1,NA,NA,NA,20,38,21,21,0.245172586900733,0.934477622602927,1,NA,NA,NA
"38",1,0.27,0.39,2,1,4,0,1,0.5,0.05,100,70,100,15,43,18,24,0.182560738549723,0.962223551803028,1,NA,NA,NA,15,43,18,24,0.182560738549723,0.962223551803028,1,NA,NA,NA
"39",1,0.27,0.39,2,1,4,0,1,0.5,0.05,100,70,100,14,44,17,25,0.180381962705693,0.96398896464368,1,NA,NA,NA,14,44,17,25,0.180381962705693,0.96398896464368,1,NA,NA,NA
"40",1,0.27,0.39,2,1,4,0,1,0.5,0.05,100,70,100,11,45,14,20,0.123317164369304,0.978159373859004,1,NA,NA,NA,11,45,17,20,0.0806417127020567,0.987745027848022,1,NA,NA,NA
"41",1,0.27,0.39,2,1,4,0,1,0.5,0.05,100,70,100,14,44,16,26,0.209793938275303,0.954814512836745,1,NA,NA,NA,14,44,16,26,0.209793938275303,0.954814512836745,1,NA,NA,NA
"42",1,0.27,0.39,2,1,4,0,1,0.5,0.05,100,70,100,13,45,16,26,0.177859528535469,0.965993062001484,1,NA,NA,NA,13,45,16,26,0.177859528535469,0.965993062001484,1,NA,NA,NA
"43",1,0.27,0.39,2,1,4,0,1,0.5,0.05,100,70,100,16,42,15,27,0.313516170988583,0.908579335856748,1,NA,NA,NA,16,42,15,27,0.313516170988583,0.908579335856748,1,NA,NA,NA
"44",1,0.27,0.39,2,1,4,0,1,0.5,0.05,100,70,100,16,42,17,25,0.244002981832633,0.939339509833606,1,NA,NA,NA,16,42,17,25,0.244002981832633,0.939339509833606,1,NA,NA,NA
"45",1,0.27,0.39,2,1,4,0,1,0.5,0.05,100,70,100,20,38,13,29,0.542525766945601,0.73575989449651,1,NA,NA,NA,20,38,13,29,0.542525766945601,0.73575989449651,1,NA,NA,NA
"46",1,0.27,0.39,2,1,4,0,1,0.5,0.05,100,70,100,13,45,13,29,0.277442126268568,0.93274170689871,1,NA,NA,NA,13,45,13,29,0.277442126268568,0.93274170689871,1,NA,NA,NA
"47",1,0.27,0.39,2,1,4,0,1,0.5,0.05,100,70,100,9,36,17,18,0.0962924200477438,0.979278336083396,1,NA,NA,NA,10,37,17,19,0.112872377824736,0.975827431347563,1,NA,NA,NA
"48",1,0.27,0.39,2,1,4,0,1,0.5,0.05,100,70,100,19,39,18,24,0.31126106577349,0.903997254028525,1,NA,NA,NA,19,39,18,24,0.31126106577349,0.903997254028525,1,NA,NA,NA
"49",1,0.27,0.39,2,1,4,0,1,0.5,0.05,100,70,100,15,43,16,26,0.243120791502692,0.941308497263478,1,NA,NA,NA,15,43,16,26,0.243120791502692,0.941308497263478,1,NA,NA,NA
"50",1,0.27,0.39,2,1,4,0,1,0.5,0.05,100,70,100,17,41,15,27,0.350038290564188,0.886934894400922,1,NA,NA,NA,17,41,15,27,0.350038290564188,0.886934894400922,1,NA,NA,NA
"51",1,0.27,0.39,2,1,4,0,1,0.5,0.05,100,70,100,14,44,17,25,0.180381962705693,0.96398896464368,1,NA,NA,NA,14,44,17,25,0.180381962705693,0.96398896464368,1,NA,NA,NA
"52",1,0.27,0.39,2,1,4,0,1,0.5,0.05,100,70,100,13,45,11,31,0.36056487964534,0.896213942391059,1,NA,NA,NA,13,45,11,31,0.36056487964534,0.896213942391059,1,NA,NA,NA
"53",1,0.27,0.39,2,1,4,0,1,0.5,0.05,100,70,100,17,41,16,26,0.312701581349687,0.906723314324327,1,NA,NA,NA,17,41,16,26,0.312701581349687,0.906723314324327,1,NA,NA,NA
"54",1,0.27,0.39,2,1,4,0,1,0.5,0.05,100,70,100,16,42,18,24,0.212958346856705,0.951022828729875,1,NA,NA,NA,16,42,18,24,0.212958346856705,0.951022828729875,1,NA,NA,NA
"55",1,0.27,0.39,2,1,4,0,1,0.5,0.05,100,70,100,18,40,13,29,0.468944057024586,0.805502029971348,1,NA,NA,NA,18,40,13,29,0.468944057024586,0.805502029971348,1,NA,NA,NA
"56",1,0.27,0.39,2,1,4,0,1,0.5,0.05,100,70,100,3,39,14,14,0.0137874742651886,0.997034982026235,1,NA,NA,NA,3,40,15,15,0.0105552496433134,0.997790710068094,1,NA,NA,NA
"57",1,0.27,0.39,2,1,4,0,1,0.5,0.05,100,70,100,17,41,14,28,0.38954155152138,0.863748720145139,1,NA,NA,NA,17,41,14,28,0.38954155152138,0.863748720145139,1,NA,NA,NA
"58",1,0.27,0.39,2,1,4,0,1,0.5,0.05,100,70,100,22,36,19,23,0.37825818756088,0.860350353978182,1,NA,NA,NA,22,36,19,23,0.37825818756088,0.860350353978182,1,NA,NA,NA
"59",1,0.27,0.39,2,1,4,0,1,0.5,0.05,100,70,100,14,44,13,29,0.315743737634004,0.913328142899922,1,NA,NA,NA,14,44,13,29,0.315743737634004,0.913328142899922,1,NA,NA,NA
"60",1,0.27,0.39,2,1,4,0,1,0.5,0.05,100,70,100,20,38,13,29,0.542525766945601,0.73575989449651,1,NA,NA,NA,20,38,13,29,0.542525766945601,0.73575989449651,1,NA,NA,NA
"61",1,0.27,0.39,2,1,4,0,1,0.5,0.05,100,70,100,11,37,18,16,0.095901485011711,0.979915154308131,1,NA,NA,NA,11,38,20,16,0.0689106355187255,0.987210291068543,1,NA,NA,NA
"62",1,0.27,0.39,2,1,4,0,1,0.5,0.05,100,70,100,16,42,17,25,0.244002981832633,0.939339509833606,1,NA,NA,NA,16,42,17,25,0.244002981832633,0.939339509833606,1,NA,NA,NA
"63",1,0.27,0.39,2,1,4,0,1,0.5,0.05,100,70,100,16,42,12,30,0.436065237123143,0.837771824399092,1,NA,NA,NA,16,42,12,30,0.436065237123143,0.837771824399092,1,NA,NA,NA
"64",1,0.27,0.39,2,1,4,0,1,0.5,0.05,100,70,100,14,44,13,29,0.315743737634004,0.913328142899922,1,NA,NA,NA,14,44,13,29,0.315743737634004,0.913328142899922,1,NA,NA,NA
"65",1,0.27,0.39,2,1,4,0,1,0.5,0.05,100,70,100,13,45,14,28,0.240996604104127,0.946183342508257,1,NA,NA,NA,13,45,14,28,0.240996604104127,0.946183342508257,1,NA,NA,NA
"66",1,0.27,0.39,2,1,4,0,1,0.5,0.05,100,70,100,17,41,15,27,0.350038290564188,0.886934894400922,1,NA,NA,NA,17,41,15,27,0.350038290564188,0.886934894400922,1,NA,NA,NA
"67",1,0.27,0.39,2,1,4,0,1,0.5,0.05,100,70,100,19,39,13,29,0.506129180649108,0.771733230165493,1,NA,NA,NA,19,39,13,29,0.506129180649108,0.771733230165493,1,NA,NA,NA
"68",1,0.27,0.39,2,1,4,0,1,0.5,0.05,100,70,100,16,42,18,24,0.212958346856705,0.951022828729875,1,NA,NA,NA,16,42,18,24,0.212958346856705,0.951022828729875,1,NA,NA,NA
"69",1,0.27,0.39,2,1,4,0,1,0.5,0.05,100,70,100,13,45,12,30,0.31727492035946,0.916272143736503,1,NA,NA,NA,13,45,12,30,0.31727492035946,0.916272143736503,1,NA,NA,NA
"70",1,0.27,0.39,2,1,4,0,1,0.5,0.05,100,70,100,22,36,13,29,0.612477647696067,0.658621800321737,1,NA,NA,NA,22,36,13,29,0.612477647696067,0.658621800321737,1,NA,NA,NA
"71",1,0.27,0.39,2,1,4,0,1,0.5,0.05,100,70,100,19,39,16,26,0.384390796828698,0.861561452002791,1,NA,NA,NA,19,39,16,26,0.384390796828698,0.861561452002791,1,NA,NA,NA
"72",1,0.27,0.39,2,1,4,0,1,0.5,0.05,100,70,100,16,42,19,23,0.18439310466601,0.960700721105973,1,NA,NA,NA,16,42,19,23,0.18439310466601,0.960700721105973,1,NA,NA,NA
"73",1,0.27,0.39,2,1,4,0,1,0.5,0.05,100,70,100,16,42,12,30,0.436065237123143,0.837771824399092,1,NA,NA,NA,16,42,12,30,0.436065237123143,0.837771824399092,1,NA,NA,NA
"74",1,0.27,0.39,2,1,4,0,1,0.5,0.05,100,70,100,15,43,14,28,0.314505493071322,0.91076721854744,1,NA,NA,NA,15,43,14,28,0.314505493071322,0.91076721854744,1,NA,NA,NA
"75",1,0.27,0.39,2,1,4,0,1,0.5,0.05,100,70,100,15,43,13,29,0.354311611085348,0.890827295057894,1,NA,NA,NA,15,43,13,29,0.354311611085348,0.890827295057894,1,NA,NA,NA
