"","p.IP","p.PC","freq.mntr","enr.shape","out.mean","fut.mix.prob","eff.mix.prob","inf.mix.prob","cred.tail","max.ss","min.ss","reps"
"1",0.39,0.39,2,1,4,0,1,0.5,0.05,100,100,15
"2",0.39,0.39,2,1,4,0,1,0.5,0.05,100,100,15
"3",0.39,0.39,2,1,4,0,1,0.5,0.05,100,100,15
"4",0.39,0.39,2,1,4,0,1,0.5,0.05,100,100,15
"5",0.39,0.39,2,1,4,0,1,0.5,0.05,100,100,15
"6",0.39,0.39,2,1,4,0,1,0.5,0.05,100,100,15
"7",0.39,0.39,2,1,4,0,1,0.5,0.05,100,100,15
"8",0.39,0.39,2,1,4,0,1,0.5,0.05,100,100,15
"9",0.39,0.39,2,1,4,0,1,0.5,0.05,100,100,15
"10",0.39,0.39,2,1,4,0,1,0.5,0.05,100,100,15
"11",0.39,0.39,2,1,4,0,1,0.5,0.05,100,100,15
"12",0.39,0.39,2,1,4,0,1,0.5,0.05,100,100,15
"13",0.39,0.39,2,1,4,0,1,0.5,0.05,100,100,15
"14",0.39,0.39,2,1,4,0,1,0.5,0.05,100,100,15
"15",0.39,0.39,2,1,4,0,1,0.5,0.05,100,100,15
"16",0.39,0.39,2,1,4,0,1,0.5,0.05,100,100,15
"17",0.39,0.39,2,1,4,0,1,0.5,0.05,100,100,15
"18",0.39,0.39,2,1,4,0,1,0.5,0.05,100,100,15
"19",0.39,0.39,2,1,4,0,1,0.5,0.05,100,100,15
"20",0.39,0.39,2,1,4,0,1,0.5,0.05,100,100,15
"21",0.39,0.39,2,1,4,0,1,0.5,0.05,100,100,15
"22",0.39,0.39,2,1,4,0,1,0.5,0.05,100,100,15
"23",0.39,0.39,2,1,4,0,1,0.5,0.05,100,100,15
"24",0.39,0.39,2,1,4,0,1,0.5,0.05,100,100,15
"25",0.39,0.39,2,1,4,0,1,0.5,0.05,100,100,15
"26",0.39,0.39,2,1,4,0,1,0.5,0.05,100,100,15
"27",0.39,0.39,2,1,4,0,1,0.5,0.05,100,100,15
"28",0.39,0.39,2,1,4,0,1,0.5,0.05,100,100,15
"29",0.39,0.39,2,1,4,0,1,0.5,0.05,100,100,15
"30",0.39,0.39,2,1,4,0,1,0.5,0.05,100,100,15
"31",0.39,0.39,2,1,4,0,1,0.5,0.05,100,100,15
"32",0.39,0.39,2,1,4,0,1,0.5,0.05,100,100,15
"33",0.39,0.39,2,1,4,0,1,0.5,0.05,100,100,15
"34",0.39,0.39,2,1,4,0,1,0.5,0.05,100,100,15
"35",0.39,0.39,2,1,4,0,1,0.5,0.05,100,100,15
"36",0.39,0.39,2,1,4,0,1,0.5,0.05,100,100,15
"37",0.39,0.39,2,1,4,0,1,0.5,0.05,100,100,15
"38",0.39,0.39,2,1,4,0,1,0.5,0.05,100,100,15
"39",0.39,0.39,2,1,4,0,1,0.5,0.05,100,100,15
"40",0.39,0.39,2,1,4,0,1,0.5,0.05,100,100,15
"41",0.39,0.39,2,1,4,0,1,0.5,0.05,100,100,15
"42",0.39,0.39,2,1,4,0,1,0.5,0.05,100,100,15
"43",0.39,0.39,2,1,4,0,1,0.5,0.05,100,100,15
"44",0.39,0.39,2,1,4,0,1,0.5,0.05,100,100,15
"45",0.39,0.39,2,1,4,0,1,0.5,0.05,100,100,15
"46",0.39,0.39,2,1,4,0,1,0.5,0.05,100,100,15
"47",0.39,0.39,2,1,4,0,1,0.5,0.05,100,100,15
"48",0.39,0.39,2,1,4,0,1,0.5,0.05,100,100,15
"49",0.39,0.39,2,1,4,0,1,0.5,0.05,100,100,15
"50",0.39,0.39,2,1,4,0,1,0.5,0.05,100,100,15
"51",0.39,0.39,2,1,4,0,1,0.5,0.05,100,100,15
"52",0.39,0.39,2,1,4,0,1,0.5,0.05,100,100,15
"53",0.39,0.39,2,1,4,0,1,0.5,0.05,100,100,15
"54",0.39,0.39,2,1,4,0,1,0.5,0.05,100,100,15
"55",0.39,0.39,2,1,4,0,1,0.5,0.05,100,100,15
"56",0.39,0.39,2,1,4,0,1,0.5,0.05,100,100,15
"57",0.39,0.39,2,1,4,0,1,0.5,0.05,100,100,15
"58",0.39,0.39,2,1,4,0,1,0.5,0.05,100,100,15
"59",0.39,0.39,2,1,4,0,1,0.5,0.05,100,100,15
"60",0.39,0.39,2,1,4,0,1,0.5,0.05,100,100,15
"61",0.39,0.39,2,1,4,0,1,0.5,0.05,100,100,15
"62",0.39,0.39,2,1,4,0,1,0.5,0.05,100,100,15
"63",0.39,0.39,2,1,4,0,1,0.5,0.05,100,100,15
