"","p.IP","p.PC","freq.mntr","enr.shape","out.mean","fut.mix.prob","eff.mix.prob","inf.mix.prob","cred.tail","max.ss","min.ss","reps"
"1",0.51,0.39,2,1,4,0,1,0.5,0.05,322,322,130
"2",0.51,0.39,2,1,4,0,1,0.5,0.05,322,322,130
"3",0.51,0.39,2,1,4,0,1,0.5,0.05,322,322,130
"4",0.51,0.39,2,1,4,0,1,0.5,0.05,322,322,130
"5",0.51,0.39,2,1,4,0,1,0.5,0.05,322,322,130
"6",0.51,0.39,2,1,4,0,1,0.5,0.05,322,322,130
"7",0.51,0.39,2,1,4,0,1,0.5,0.05,322,322,130
"8",0.51,0.39,2,1,4,0,1,0.5,0.05,322,322,130
"9",0.51,0.39,2,1,4,0,1,0.5,0.05,322,322,130
"10",0.51,0.39,2,1,4,0,1,0.5,0.05,322,322,130
"11",0.51,0.39,2,1,4,0,1,0.5,0.05,322,322,130
"12",0.51,0.39,2,1,4,0,1,0.5,0.05,322,322,130
"13",0.51,0.39,2,1,4,0,1,0.5,0.05,322,322,130
"14",0.51,0.39,2,1,4,0,1,0.5,0.05,322,322,130
"15",0.51,0.39,2,1,4,0,1,0.5,0.05,322,322,130
"16",0.51,0.39,2,1,4,0,1,0.5,0.05,322,322,130
"17",0.51,0.39,2,1,4,0,1,0.5,0.05,322,322,130
"18",0.51,0.39,2,1,4,0,1,0.5,0.05,322,322,130
"19",0.51,0.39,2,1,4,0,1,0.5,0.05,322,322,130
"20",0.51,0.39,2,1,4,0,1,0.5,0.05,322,322,130
"21",0.51,0.39,2,1,4,0,1,0.5,0.05,322,322,130
"22",0.51,0.39,2,1,4,0,1,0.5,0.05,322,322,130
"23",0.51,0.39,2,1,4,0,1,0.5,0.05,322,322,130
"24",0.51,0.39,2,1,4,0,1,0.5,0.05,322,322,130
"25",0.51,0.39,2,1,4,0,1,0.5,0.05,322,322,130
"26",0.51,0.39,2,1,4,0,1,0.5,0.05,322,322,130
"27",0.51,0.39,2,1,4,0,1,0.5,0.05,322,322,130
"28",0.51,0.39,2,1,4,0,1,0.5,0.05,322,322,130
"29",0.51,0.39,2,1,4,0,1,0.5,0.05,322,322,130
"30",0.51,0.39,2,1,4,0,1,0.5,0.05,322,322,130
"31",0.51,0.39,2,1,4,0,1,0.5,0.05,322,322,130
"32",0.51,0.39,2,1,4,0,1,0.5,0.05,322,322,130
"33",0.51,0.39,2,1,4,0,1,0.5,0.05,322,322,130
"34",0.51,0.39,2,1,4,0,1,0.5,0.05,322,322,130
"35",0.51,0.39,2,1,4,0,1,0.5,0.05,322,322,130
"36",0.51,0.39,2,1,4,0,1,0.5,0.05,322,322,130
"37",0.51,0.39,2,1,4,0,1,0.5,0.05,322,322,130
"38",0.51,0.39,2,1,4,0,1,0.5,0.05,322,322,130
"39",0.51,0.39,2,1,4,0,1,0.5,0.05,322,322,130
"40",0.51,0.39,2,1,4,0,1,0.5,0.05,322,322,130
"41",0.51,0.39,2,1,4,0,1,0.5,0.05,322,322,130
"42",0.51,0.39,2,1,4,0,1,0.5,0.05,322,322,130
"43",0.51,0.39,2,1,4,0,1,0.5,0.05,322,322,130
"44",0.51,0.39,2,1,4,0,1,0.5,0.05,322,322,130
"45",0.51,0.39,2,1,4,0,1,0.5,0.05,322,322,130
"46",0.51,0.39,2,1,4,0,1,0.5,0.05,322,322,130
"47",0.51,0.39,2,1,4,0,1,0.5,0.05,322,322,130
"48",0.51,0.39,2,1,4,0,1,0.5,0.05,322,322,130
"49",0.51,0.39,2,1,4,0,1,0.5,0.05,322,322,130
"50",0.51,0.39,2,1,4,0,1,0.5,0.05,322,322,130
"51",0.51,0.39,2,1,4,0,1,0.5,0.05,322,322,130
"52",0.51,0.39,2,1,4,0,1,0.5,0.05,322,322,130
"53",0.51,0.39,2,1,4,0,1,0.5,0.05,322,322,130
"54",0.51,0.39,2,1,4,0,1,0.5,0.05,322,322,130
"55",0.51,0.39,2,1,4,0,1,0.5,0.05,322,322,130
"56",0.51,0.39,2,1,4,0,1,0.5,0.05,322,322,130
"57",0.51,0.39,2,1,4,0,1,0.5,0.05,322,322,130
"58",0.51,0.39,2,1,4,0,1,0.5,0.05,322,322,130
"59",0.51,0.39,2,1,4,0,1,0.5,0.05,322,322,130
"60",0.51,0.39,2,1,4,0,1,0.5,0.05,322,322,130
"61",0.51,0.39,2,1,4,0,1,0.5,0.05,322,322,130
"62",0.51,0.39,2,1,4,0,1,0.5,0.05,322,322,130
"63",0.51,0.39,2,1,4,0,1,0.5,0.05,322,322,130
"64",0.51,0.39,2,1,4,0,1,0.5,0.05,322,322,130
"65",0.51,0.39,2,1,4,0,1,0.5,0.05,322,322,130
"66",0.51,0.39,2,1,4,0,1,0.5,0.05,322,322,130
"67",0.51,0.39,2,1,4,0,1,0.5,0.05,322,322,130
"68",0.51,0.39,2,1,4,0,1,0.5,0.05,322,322,130
"69",0.51,0.39,2,1,4,0,1,0.5,0.05,322,322,130
"70",0.51,0.39,2,1,4,0,1,0.5,0.05,322,322,130
"71",0.51,0.39,2,1,4,0,1,0.5,0.05,322,322,130
"72",0.51,0.39,2,1,4,0,1,0.5,0.05,322,322,130
"73",0.51,0.39,2,1,4,0,1,0.5,0.05,322,322,130
"74",0.51,0.39,2,1,4,0,1,0.5,0.05,322,322,130
"75",0.51,0.39,2,1,4,0,1,0.5,0.05,322,322,130
"76",0.51,0.39,2,1,4,0,1,0.5,0.05,322,322,130
"77",0.51,0.39,2,1,4,0,1,0.5,0.05,322,322,130
"78",0.51,0.39,2,1,4,0,1,0.5,0.05,322,322,130
"79",0.51,0.39,2,1,4,0,1,0.5,0.05,322,322,130
"80",0.51,0.39,2,1,4,0,1,0.5,0.05,322,322,130
"81",0.51,0.39,2,1,4,0,1,0.5,0.05,322,322,130
"82",0.51,0.39,2,1,4,0,1,0.5,0.05,322,322,130
"83",0.51,0.39,2,1,4,0,1,0.5,0.05,322,322,130
"84",0.51,0.39,2,1,4,0,1,0.5,0.05,322,322,130
"85",0.51,0.39,2,1,4,0,1,0.5,0.05,322,322,130
"86",0.51,0.39,2,1,4,0,1,0.5,0.05,322,322,130
"87",0.51,0.39,2,1,4,0,1,0.5,0.05,322,322,130
"88",0.51,0.39,2,1,4,0,1,0.5,0.05,322,322,130
"89",0.51,0.39,2,1,4,0,1,0.5,0.05,322,322,130
"90",0.51,0.39,2,1,4,0,1,0.5,0.05,322,322,130
"91",0.51,0.39,2,1,4,0,1,0.5,0.05,322,322,130
"92",0.51,0.39,2,1,4,0,1,0.5,0.05,322,322,130
"93",0.51,0.39,2,1,4,0,1,0.5,0.05,322,322,130
"94",0.51,0.39,2,1,4,0,1,0.5,0.05,322,322,130
"95",0.51,0.39,2,1,4,0,1,0.5,0.05,322,322,130
"96",0.51,0.39,2,1,4,0,1,0.5,0.05,322,322,130
"97",0.51,0.39,2,1,4,0,1,0.5,0.05,322,322,130
"98",0.51,0.39,2,1,4,0,1,0.5,0.05,322,322,130
"99",0.51,0.39,2,1,4,0,1,0.5,0.05,322,322,130
"100",0.51,0.39,2,1,4,0,1,0.5,0.05,322,322,130
"101",0.51,0.39,2,1,4,0,1,0.5,0.05,322,322,130
"102",0.51,0.39,2,1,4,0,1,0.5,0.05,322,322,130
"103",0.51,0.39,2,1,4,0,1,0.5,0.05,322,322,130
"104",0.51,0.39,2,1,4,0,1,0.5,0.05,322,322,130
"105",0.51,0.39,2,1,4,0,1,0.5,0.05,322,322,130
"106",0.51,0.39,2,1,4,0,1,0.5,0.05,322,322,130
"107",0.51,0.39,2,1,4,0,1,0.5,0.05,322,322,130
"108",0.51,0.39,2,1,4,0,1,0.5,0.05,322,322,130
"109",0.51,0.39,2,1,4,0,1,0.5,0.05,322,322,130
"110",0.51,0.39,2,1,4,0,1,0.5,0.05,322,322,130
