"","p.IP","p.PC","freq.mntr","enr.shape","out.mean","fut.mix.prob","eff.mix.prob","inf.mix.prob","cred.tail","max.ss","min.ss","reps"
"1",0.39,0.39,2,1,4,0,1,0.5,0.05,100,70,3
"2",0.45,0.39,2,1,4,0,1,0.5,0.05,100,70,3
"3",0.51,0.39,2,1,4,0,1,0.5,0.05,100,70,3
"4",0.57,0.39,2,1,4,0,1,0.5,0.05,100,70,3
"5",0.63,0.39,2,1,4,0,1,0.5,0.05,100,70,3
"6",0.39,0.39,2,1,4,0,0.75,0.5,0.05,100,70,3
"7",0.45,0.39,2,1,4,0,0.75,0.5,0.05,100,70,3
"8",0.51,0.39,2,1,4,0,0.75,0.5,0.05,100,70,3
"9",0.57,0.39,2,1,4,0,0.75,0.5,0.05,100,70,3
"10",0.63,0.39,2,1,4,0,0.75,0.5,0.05,100,70,3
"11",0.39,0.39,2,1,4,0,0.5,0.5,0.05,100,70,3
"12",0.45,0.39,2,1,4,0,0.5,0.5,0.05,100,70,3
"13",0.51,0.39,2,1,4,0,0.5,0.5,0.05,100,70,3
"14",0.57,0.39,2,1,4,0,0.5,0.5,0.05,100,70,3
"15",0.63,0.39,2,1,4,0,0.5,0.5,0.05,100,70,3
"16",0.39,0.39,2,1,4,0,0.25,0.5,0.05,100,70,3
"17",0.45,0.39,2,1,4,0,0.25,0.5,0.05,100,70,3
"18",0.51,0.39,2,1,4,0,0.25,0.5,0.05,100,70,3
"19",0.57,0.39,2,1,4,0,0.25,0.5,0.05,100,70,3
"20",0.63,0.39,2,1,4,0,0.25,0.5,0.05,100,70,3
"21",0.39,0.39,2,1,4,0,NA,0.5,0.05,100,70,3
"22",0.45,0.39,2,1,4,0,NA,0.5,0.05,100,70,3
"23",0.51,0.39,2,1,4,0,NA,0.5,0.05,100,70,3
"24",0.57,0.39,2,1,4,0,NA,0.5,0.05,100,70,3
"25",0.63,0.39,2,1,4,0,NA,0.5,0.05,100,70,3
"26",0.39,0.39,2,1,4,0,10,0.5,0.05,100,70,3
"27",0.45,0.39,2,1,4,0,10,0.5,0.05,100,70,3
"28",0.51,0.39,2,1,4,0,10,0.5,0.05,100,70,3
"29",0.57,0.39,2,1,4,0,10,0.5,0.05,100,70,3
"30",0.63,0.39,2,1,4,0,10,0.5,0.05,100,70,3
