"","X","p.IP","p.PC","freq.mntr","enr.shape","out.mean","fut.mix.prob","eff.mix.prob","inf.mix.prob","cred.tail","max.ss","min.ss","reps","X.1","X.y","eff.mon.initial","eff.mon.final","fut.mon.initial","fut.mon.final","ss.initial","ss.final","mle.initial.IP","mle.final.IP","mle.initial.PC","mle.final.PC","post.mean.initial.IP","post.mean.final.IP","post.mean.initial.PC","post.mean.final.PC","cov.initial","cov.final"
"1",1,0.39,0.39,2,1,4,0,1,0.5,0.05,100,70,1000,37,1,0,0,0,0,100,100,0.389931034482759,0.389931034482759,0.390095238095238,0.390095238095238,0.376053628055787,0.376053628055787,0.0413979374061853,0.0413979374061853,0.976,0.976
"2",2,0.4,0.39,2,1,4,0,1,0.5,0.05,100,70,1000,48,1,0,0,0,0,100,100,0.400275862068966,0.400275862068966,0.390095238095238,0.390095238095238,0.382499622355678,0.382499622355678,0.0377014435080828,0.0377014435080828,0.981,0.981
"3",3,0.41,0.39,2,1,4,0,1,0.5,0.05,100,70,1000,59,1,0,0,0,0,100,100,0.40998275862069,0.40998275862069,0.390095238095238,0.390095238095238,0.388470386985027,0.388470386985027,0.0343265709153821,0.0343265709153821,0.975,0.975
"4",4,0.42,0.39,2,1,4,0,1,0.5,0.05,100,70,1000,70,1,0,0,0,0,100,100,0.419896551724138,0.419896551724138,0.390095238095238,0.390095238095238,0.394547960061597,0.394547960061597,0.0308990795576216,0.0308990795576216,0.973,0.973
"5",5,0.43,0.39,2,1,4,0,1,0.5,0.05,100,70,1000,81,1,0,0,0,0,100,100,0.430189655172414,0.430189655172414,0.390095238095238,0.390095238095238,0.400761374214901,0.400761374214901,0.0274454489442547,0.0274454489442547,0.935,0.935
"6",6,0.44,0.39,2,1,4,0,1,0.5,0.05,100,70,1000,92,1,0,0,0,0,100,100,0.439620689655172,0.439620689655172,0.390095238095238,0.390095238095238,0.406450813134809,0.406450813134809,0.0242885331313714,0.0242885331313714,0.921,0.921
"7",7,0.45,0.39,2,1,4,0,1,0.5,0.05,100,70,1000,103,1,0,0,0,0,100,100,0.449706896551724,0.449706896551724,0.390095238095238,0.390095238095238,0.412494800790567,0.412494800790567,0.0209742138779511,0.0209742138779511,0.844,0.844
"8",8,0.46,0.39,2,1,4,0,1,0.5,0.05,100,70,1000,114,1,0,0,0,0,100,100,0.459810344827586,0.459810344827586,0.390095238095238,0.390095238095238,0.418483215292051,0.418483215292051,0.0177357089034785,0.0177357089034785,0.82,0.82
"9",9,0.47,0.39,2,1,4,0,1,0.5,0.05,100,70,1000,125,1,0,0,0,0,100,100,0.469051724137931,0.469051724137931,0.390095238095238,0.390095238095238,0.423934372329571,0.423934372329571,0.014803468718495,0.014803468718495,0.687,0.687
"10",10,0.48,0.39,2,1,4,0,1,0.5,0.05,100,70,1000,11,1,0,0,0,0,100,100,0.478827586206897,0.478827586206897,0.390095238095238,0.390095238095238,0.429661417186466,0.429661417186466,0.0117549118216846,0.0117549118216846,0.645,0.645
"11",11,0.49,0.39,2,1,4,0,1,0.5,0.05,100,70,1000,22,1,0,0,0,0,100,100,0.488827586206897,0.488827586206897,0.390095238095238,0.390095238095238,0.435498382533743,0.435498382533743,0.00866280919926176,0.00866280919926176,0.485,0.485
"12",12,0.5,0.39,2,1,4,0,1,0.5,0.05,100,70,1000,29,1,0,0,0,0,100,100,0.498137931034483,0.498137931034483,0.390095238095238,0.390095238095238,0.440896633883775,0.440896633883775,0.00584240436722238,0.00584240436722238,0.423,0.423
