"","X1","X2","X3","X4","X5","idx"
"eff.mon.initial",0,0,0,0,0,11
"eff.mon.final",0,0,0,0,0,11
"fut.mon.initial",0,0,0,0,0,11
"fut.mon.final",0,0,0,0,0,11
"ss.initial",100,100,100,100,100,11
"ss.final",100,100,100,100,100,11
"mle.initial.IP",0.344827586206897,0.396551724137931,0.344827586206897,0.5,0.379310344827586,11
"mle.final.IP",0.344827586206897,0.396551724137931,0.344827586206897,0.5,0.379310344827586,11
"mle.initial.PC",0.404761904761905,0.428571428571429,0.404761904761905,0.285714285714286,0.285714285714286,11
"mle.final.PC",0.404761904761905,0.428571428571429,0.404761904761905,0.285714285714286,0.285714285714286,11
"post.mean.initial.IP",0.372714130590401,0.400734173897156,0.372714130590401,0.343012122365486,0.313360126018671,11
"post.mean.final.IP",0.372714130590401,0.400734173897156,0.372714130590401,0.343012122365486,0.313360126018671,11
"post.mean.initial.PC",0.00404649899185968,0.0182420045605251,0.00404649899185968,0.123940207017795,0.064851367240161,11
"post.mean.final.PC",0.00404649899185968,0.0182420045605251,0.00404649899185968,0.123940207017795,0.064851367240161,11
"cov.initial",1,1,1,1,1,11
"cov.final",1,1,1,1,1,11
"eff.mix.prob",1,1,1,0.458009415744616,0.871931139260732,11
