"","X1","X2","X3","X4","X5","idx"
"eff.mon.initial",0,0,0,0,0,16
"eff.mon.final",0,0,0,0,0,16
"fut.mon.initial",0,0,0,0,0,16
"fut.mon.final",0,0,0,0,0,16
"ss.initial",100,100,100,100,100,16
"ss.final",100,100,100,100,100,16
"mle.initial.IP",0.327586206896552,0.396551724137931,0.396551724137931,0.362068965517241,0.310344827586207,16
"mle.final.IP",0.327586206896552,0.396551724137931,0.396551724137931,0.362068965517241,0.310344827586207,16
"mle.initial.PC",0.380952380952381,0.476190476190476,0.357142857142857,0.238095238095238,0.404761904761905,16
"mle.final.PC",0.380952380952381,0.476190476190476,0.357142857142857,0.238095238095238,0.404761904761905,16
"post.mean.initial.IP",0.354759746073868,0.426244797446328,0.360685559886178,0.278656506251763,0.362116142435028,16
"post.mean.final.IP",0.354759746073868,0.426244797446328,0.360685559886178,0.278656506251763,0.362116142435028,16
"post.mean.initial.PC",0.00437312699402042,0.00302212832938113,0.0439233098244317,0.0776520038022754,-0.0101850352575386,16
"post.mean.final.PC",0.00437312699402042,0.00302212832938113,0.0439233098244317,0.0776520038022754,-0.0101850352575386,16
"cov.initial",1,1,1,1,1,16
"cov.final",1,1,1,1,1,16
"eff.mix.prob",1,1,1,0.739329682020721,1,16
