"","X1","X2","X3","X4","X5","X6","X7","X8","X9","X10","X11","X12","X13","X14","X15","X16","X17","X18","X19","X20","idx"
"eff.mon.initial",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21
"eff.mon.final",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21
"fut.mon.initial",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21
"fut.mon.final",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21
"ss.initial",100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,21
"ss.final",100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,21
"mle.initial.IP",0.241379310344828,0.396551724137931,0.344827586206897,0.431034482758621,0.482758620689655,0.413793103448276,0.448275862068966,0.275862068965517,0.362068965517241,0.379310344827586,0.46551724137931,0.396551724137931,0.379310344827586,0.293103448275862,0.362068965517241,0.258620689655172,0.344827586206897,0.413793103448276,0.310344827586207,0.344827586206897,21
"mle.final.IP",0.241379310344828,0.396551724137931,0.344827586206897,0.431034482758621,0.482758620689655,0.413793103448276,0.448275862068966,0.275862068965517,0.362068965517241,0.379310344827586,0.46551724137931,0.396551724137931,0.379310344827586,0.293103448275862,0.362068965517241,0.258620689655172,0.344827586206897,0.413793103448276,0.310344827586207,0.344827586206897,21
"mle.initial.PC",0.261904761904762,0.30952380952381,0.404761904761905,0.452380952380952,0.404761904761905,0.357142857142857,0.238095238095238,0.333333333333333,0.404761904761905,0.30952380952381,0.404761904761905,0.285714285714286,0.357142857142857,0.357142857142857,0.476190476190476,0.428571428571429,0.285714285714286,0.357142857142857,0.380952380952381,0.333333333333333,21
"mle.final.PC",0.261904761904762,0.30952380952381,0.404761904761905,0.452380952380952,0.404761904761905,0.357142857142857,0.238095238095238,0.333333333333333,0.404761904761905,0.30952380952381,0.404761904761905,0.285714285714286,0.357142857142857,0.357142857142857,0.476190476190476,0.428571428571429,0.285714285714286,0.357142857142857,0.380952380952381,0.333333333333333,21
"post.mean.initial.IP",0.262957015159908,0.332250168976639,0.3727141305904,0.423580702426767,0.410104931692045,0.365059332796973,0.299338608711774,0.313321320087003,0.377841338225152,0.328078248428886,0.405815116459404,0.31744300485642,0.356196442831562,0.331490524131842,0.415542383720649,0.358225467842686,0.305041012153151,0.365059332796973,0.349522657088667,0.333286945147212,21
"post.mean.final.IP",0.262957015159908,0.332250168976639,0.3727141305904,0.423580702426767,0.410104931692045,0.365059332796973,0.299338608711774,0.313321320087003,0.377841338225152,0.328078248428886,0.405815116459404,0.31744300485642,0.356196442831562,0.331490524131842,0.415542383720649,0.358225467842686,0.305041012153151,0.365059332796973,0.349522657088667,0.333286945147212,21
"post.mean.initial.PC",0.00671531099892388,0.0633276242442953,0.00404649899186073,0.0251984643566748,0.0674254635642433,0.0523180871222651,0.120139733798451,-0.00236569870434132,0.0113138016608928,0.0546282561698899,0.0589071804062016,0.0736759202330246,0.0356980516950729,-0.00263482295638683,-0.0106783014883671,-0.0391084832699608,0.0473111677921973,0.0523180871222651,-0.00287402384371232,0.0284268762585049,21
"post.mean.final.PC",0.00671531099892388,0.0633276242442953,0.00404649899186073,0.0251984643566748,0.0674254635642433,0.0523180871222651,0.120139733798451,-0.00236569870434132,0.0113138016608928,0.0546282561698899,0.0589071804062016,0.0736759202330246,0.0356980516950729,-0.00263482295638683,-0.0106783014883671,-0.0391084832699608,0.0473111677921973,0.0523180871222651,-0.00287402384371232,0.0284268762585049,21
"cov.initial",0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,21
"cov.final",0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,21
"eff.mix.prob",1,0.88567253606153,1,1,0.811671150193253,1,0.537639471622739,1,1,1,0.966392859358117,0.739785266196495,1,1,1,1,1,1,1,1,21
