"","X1","X2","X3","X4","X5","X6","X7","X8","X9","X10","idx"
"eff.mon.initial",1,1,0,0,0,1,0,1,0,1,4
"eff.mon.final",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4
"fut.mon.initial",0,0,0,0,0,0,0,0,0,0,4
"fut.mon.final",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4
"ss.initial",100,100,100,100,100,100,100,100,100,100,4
"ss.final",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4
"mle.initial.IP",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4
"mle.final.IP",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4
"mle.initial.PC",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4
"mle.final.PC",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4
"post.mean.initial.IP",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4
"post.mean.final.IP",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4
"post.mean.initial.PC",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4
"post.mean.final.PC",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4
"cov.initial",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4
"cov.final",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4
"eff.mix.prob",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4
"initial.p",0.986081472821096,0.985808981936564,0.934291646166274,0.68320992979367,0.972335276724208,0.988050709810793,0.974830771373445,0.983974635579367,0.892042626648376,0.980373237164797,4
"final.p",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4
"box.skpt.initial",0.0228797368179178,0.03698901122904,0.349956154586122,0.611104881140614,0.211690576667289,0.015361695211058,0.164513536393764,0.00542287681329198,0.418345549608259,0.0959411858930646,4
"box.skpt.final",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4
"box.enth.initial",0.295071672568776,0.403711987313983,0.901843000903923,0.724679217415456,0.846289540018668,0.23833540760842,0.757244630715117,0.0985318162458544,0.872211790318746,0.628073685393641,4
"box.enth.final",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4
"box.ni.initial",0.538966185415107,0.682490065362913,0.836480976427001,0.707220469911728,0.898812276400282,0.558792333780908,0.824615783030917,0.253961223111615,0.77705732673094,0.774243087369189,4
"box.ni.final",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4
"risk.diff.initial",0.265188834154351,0.267651888341544,0.133825944170772,0.0517241379310345,0.188013136288998,0.308702791461412,0.192118226600985,0.354679802955665,0.110016420361248,0.235632183908046,4
"risk.diff.final",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4
