"","X1","idx"
"y1.IP.initial",0,5
"y0.IP.initial",58,5
"y1.PC.initial",4,5
"y0.PC.initial",38,5
"eff.prob.initial",0.0181049612066,5
"fut.prob.initial",0.999774082115456,5
"eff.mix.prob.initial",0.998794541979074,5
"box.skpt.initial",NA,5
"box.enth.initial",0.00120545802092638,5
"box.ni.initial",NA,5
"y1.IP.final",0,5
"y0.IP.final",58,5
"y1.PC.final",4,5
"y0.PC.final",38,5
"eff.prob.final",0.0181049612066,5
"fut.prob.final",0.999774082115456,5
"eff.mix.prob.final",0.998794541979074,5
"box.skpt.final",NA,5
"box.enth.final",0.00120545802092638,5
"box.ni.final",NA,5
"pm.skpt.f",NA,5
"pm.enth.f",NA,5
"pm.ni.f",NA,5
"pm.rd.f",NA,5
"pm.50.50.f",NA,5
"pm.skpt.enth.f",NA,5
"pm.skpt.enth.ni.f",NA,5
"pm.skpt.enth.ni.tilde.f",NA,5
"box.skpt.f",NA,5
"box.enth.f",NA,5
"box.ni.f",NA,5
"y1.IP.f",NA,5
"y1.PC.f",NA,5
"y0.IP.f",NA,5
"y0.PC.f",NA,5
