"","X1","X2","X3","X4","X5","idx"
"eff.mon.initial",1,0,0,1,0,5
"eff.mon.final",1,0,0,1,0,5
"fut.mon.initial",0,0,0,0,0,5
"fut.mon.final",0,0,0,0,0,5
"ss.initial",90,100,100,100,100,5
"ss.final",93,100,100,100,100,5
"mle.initial.IP",0.62962962962963,0.448275862068966,0.568965517241379,0.551724137931034,0.637931034482759,5
"mle.final.IP",0.62962962962963,0.448275862068966,0.568965517241379,0.551724137931034,0.637931034482759,5
"mle.initial.PC",0.305555555555556,0.214285714285714,0.428571428571429,0.333333333333333,0.452380952380952,5
"mle.final.PC",0.282051282051282,0.214285714285714,0.428571428571429,0.333333333333333,0.452380952380952,5
"post.mean.initial.IP",0.400091571290644,0.283727223213509,0.445669174941245,0.385718684790811,0.478165549983444,5
"post.mean.final.IP",0.383234854088526,0.283727223213509,0.445669174941245,0.385718684790811,0.478165549983444,5
"post.mean.initial.PC",0.163151553776726,0.130298617478883,0.100638875176018,0.128744375517271,0.124368368539436,5
"post.mean.final.PC",0.17219491035347,0.130298617478883,0.100638875176018,0.128744375517271,0.124368368539436,5
"cov.initial",0,0,0,0,0,5
"cov.final",0,0,0,0,0,5
"eff.mix.prob",0.852831250352191,0.618715784524732,0.418375601468349,0.418611944851126,0.417861405843843,5
