"","X1","X2","X3","X4","X5","X6","X7","X8","X9","X10","X11","X12","X13","X14","X15","X16","X17","X18","X19","X20","X21","X22","X23","X24","X25","idx"
"eff.mon.initial",0,1,0,1,1,1,1,1,1,1,1,0,0,0,1,1,1,1,1,0,1,1,0,1,1,145
"eff.mon.final",0,1,0,1,1,1,1,1,1,1,1,0,0,0,1,1,1,1,1,0,1,1,0,1,1,145
"fut.mon.initial",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,145
"fut.mon.final",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,145
"ss.initial",100,70,100,80,100,90,70,90,90,90,70,100,100,100,100,90,100,80,80,100,80,90,100,100,80,145
"ss.final",100,73,100,83,100,93,73,93,93,93,73,100,100,100,100,93,100,83,83,100,83,93,100,100,83,145
"mle.initial.IP",0.551724137931034,0.80952380952381,0.53448275862069,0.711538461538462,0.620689655172414,0.62962962962963,0.785714285714286,0.775510204081633,0.596153846153846,0.62962962962963,0.785714285714286,0.637931034482759,0.637931034482759,0.53448275862069,0.603448275862069,0.622641509433962,0.637931034482759,0.666666666666667,0.705882352941177,0.5,0.652173913043478,0.607843137254902,0.603448275862069,0.655172413793103,0.764705882352941,145
"mle.final.IP",0.551724137931034,0.772727272727273,0.53448275862069,0.711538461538462,0.620689655172414,0.618181818181818,0.777777777777778,0.75,0.592592592592593,0.642857142857143,0.777777777777778,0.637931034482759,0.637931034482759,0.53448275862069,0.603448275862069,0.611111111111111,0.637931034482759,0.653061224489796,0.722222222222222,0.5,0.638297872340426,0.62962962962963,0.603448275862069,0.655172413793103,0.764705882352941,145
"mle.initial.PC",0.380952380952381,0.357142857142857,0.428571428571429,0.357142857142857,0.404761904761905,0.25,0.285714285714286,0.48780487804878,0.236842105263158,0.416666666666667,0.392857142857143,0.452380952380952,0.5,0.404761904761905,0.333333333333333,0.378378378378378,0.428571428571429,0.375,0.413793103448276,0.523809523809524,0.352941176470588,0.358974358974359,0.523809523809524,0.452380952380952,0.413793103448276,145
"mle.final.PC",0.380952380952381,0.379310344827586,0.428571428571429,0.387096774193548,0.404761904761905,0.263157894736842,0.285714285714286,0.48780487804878,0.256410256410256,0.405405405405405,0.392857142857143,0.452380952380952,0.5,0.404761904761905,0.333333333333333,0.384615384615385,0.428571428571429,0.382352941176471,0.413793103448276,0.523809523809524,0.361111111111111,0.358974358974359,0.523809523809524,0.452380952380952,0.40625,145
"post.mean.initial.IP",0.413484748154013,0.502773634425885,0.436878143934469,0.468035109749543,0.446416778515625,0.370467779966485,0.459669822037287,0.539845643835429,0.346739484738216,0.458377930473607,0.508122734393241,0.478165549983444,0.505165469878078,0.422958300506939,0.401094206146612,0.434893912232244,0.464851585559094,0.451168719163717,0.48910389276381,0.482429526638159,0.431703862102288,0.417549846621094,0.509851395195238,0.483258574260113,0.513457398160835,145
"post.mean.final.IP",0.413484748154013,0.496438288115589,0.436878143934469,0.476978784004517,0.446416778515625,0.370697585600523,0.459700421275729,0.532066328765063,0.356138511698855,0.456478214223816,0.507337816688937,0.478165549983444,0.505165469878078,0.422958300506939,0.401094206146612,0.433436404679747,0.464851585559094,0.448393996548987,0.497023520884632,0.482429526638159,0.429652116006157,0.425226930011371,0.509851395195238,0.483258574260113,0.505662879914389,145
"post.mean.initial.PC",0.110805177661273,0.195792283548151,0.0836385471886829,0.170334965964091,0.133491247127375,0.178731919362033,0.202052212963495,0.167116501765716,0.172291869358378,0.129592867657706,0.181054114488769,0.124368368539436,0.106588394443642,0.0931315699622099,0.15041144244587,0.138984850777495,0.132804492889428,0.151547476426904,0.155106916275434,0.0307120041988751,0.152542614588678,0.139390485254496,0.0800204491792807,0.132187417003007,0.175927402296154,145
"post.mean.final.PC",0.110805177661273,0.181923820704938,0.0836385471886829,0.165709237604583,0.133491247127375,0.173432966383082,0.202121477529973,0.158416380215889,0.166980048954891,0.139861362176166,0.180555056703547,0.124368368539436,0.106588394443642,0.0931315699622099,0.15041144244587,0.133582170533895,0.132804492889428,0.14625437505313,0.162335647507768,0.0307120041988751,0.14696826262386,0.149292814535729,0.0800204491792807,0.132187417003007,0.180013072043198,145
"cov.initial",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,145
"cov.final",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,145
"eff.mix.prob",0.361735147572171,0.931338108279867,0.582771665877882,0.793854285892481,0.439808995914174,0.874261000422487,0.990996137242987,0.722700223499526,0.836922845960591,0.501789812331255,0.92301091813573,0.417861405843843,0.497608301879397,0.463632954926324,0.608901674147347,0.45535764509374,0.448201181372098,0.597071731050564,0.770515847962766,1,0.606508753319539,0.601910912190757,0.716012890656757,0.459578905681202,0.901684434151063,145
