"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18"
"V1","","eff.mon.initial","eff.mon.final","fut.mon.initial","fut.mon.final","ss.initial","ss.final","mle.initial.IP","mle.final.IP","mle.initial.PC","mle.final.PC","post.mean.initial.IP","post.mean.final.IP","post.mean.initial.PC","post.mean.final.PC","cov.initial","cov.final","eff.mix.prob"
"V2","X1","1","1","0","0","90","93","0.654545454545455","0.642857142857143","0.428571428571429","0.432432432432432","0.473496740531491","0.470704689888256","0.136162953587009","0.131184003002436","0","0","0.447975385624219"
"V3","X2","0","0","0","0","100","100","0.620689655172414","0.620689655172414","0.428571428571429","0.428571428571429","0.459793051134159","0.459793051134159","0.125064588270073","0.125064588270073","0","0","0.407268905678668"
"V4","X3","0","0","0","0","100","100","0.586206896551724","0.586206896551724","0.404761904761905","0.404761904761905","0.436554835475501","0.436554835475501","0.117938285156576","0.117938285156576","0","0","0.364772849264359"
"V5","X4","0","0","0","0","100","100","0.655172413793103","0.655172413793103","0.5","0.5","0.509947837980893","0.509947837980893","0.114937252824528","0.114937252824528","0","0","0.479123269604151"
"V6","X5","0","0","0","0","100","100","0.637931034482759","0.637931034482759","0.523809523809524","0.523809523809524","0.518865745432355","0.518865745432355","0.0972831884488803","0.0972831884488803","0","0","0.569750363609468"
"V7","X6","0","0","0","0","100","100","0.586206896551724","0.586206896551724","0.476190476190476","0.476190476190476","0.477735459223365","0.477735459223365","0.0904064623474874","0.0904064623474874","0","0","0.546133759289533"
"V8","X7","0","0","0","0","100","100","0.672413793103448","0.672413793103448","0.5","0.5","0.51490768456879","0.51490768456879","0.123122290237425","0.123122290237425","0","0","0.490779125476533"
"V9","X8","1","1","0","0","70","73","0.86046511627907","0.863636363636364","0.37037037037037","0.379310344827586","0.536953287418154","0.538731216398125","0.210054228255619","0.212587019345883","1","1","0.994704002613383"
"V10","X9","1","1","0","0","90","93","0.653846153846154","0.654545454545455","0.263157894736842","0.263157894736842","0.38194312750863","0.383927508465279","0.183724628058214","0.185573075980465","0","0","0.940646237303473"
"V11","X10","1","1","0","0","70","73","0.65","0.634146341463415","0.133333333333333","0.125","0.315871828534334","0.299028821753674","0.198658618703367","0.200631285021205","0","0","0.996575430090196"
"V12","X11","1","1","0","0","100","100","0.53448275862069","0.53448275862069","0.30952380952381","0.30952380952381","0.366848754768895","0.366848754768895","0.130025101379732","0.130025101379732","0","0","0.456613266382331"
"V13","X12","1","1","0","0","80","83","0.66","0.66","0.333333333333333","0.303030303030303","0.432142782951349","0.41241975857406","0.159483569197567","0.169816893226213","0","0","0.851095871515728"
"V14","X13","0","0","0","0","100","100","0.655172413793103","0.655172413793103","0.5","0.5","0.509947837980893","0.509947837980893","0.114937252824528","0.114937252824528","0","0","0.479123269604151"
"V15","X14","1","0","0","0","90","93","0.611111111111111","0.607142857142857","0.388888888888889","0.405405405405405","0.437878933717983","0.445218086951565","0.130797356380206","0.124754404145554","0","0","0.392435253376857"
"V16","X15","1","1","0","0","80","83","0.652173913043478","0.645833333333333","0.352941176470588","0.342857142857143","0.431703862102288","0.424013523762673","0.152542614588678","0.154790291038144","0","0","0.695866036127072"
"V17","X16","0","0","0","0","100","100","0.517241379310345","0.517241379310345","0.404761904761905","0.404761904761905","0.41864098993241","0.41864098993241","0.0845938650055431","0.0845938650055431","0","0","0.558230500790779"
"V18","X17","1","1","0","0","80","83","0.729166666666667","0.72","0.25","0.242424242424242","0.413983427729334","0.40569673675378","0.201916352724622","0.203405451439934","0","0","0.990723504195727"
"V19","X18","0","0","0","0","100","100","0.637931034482759","0.637931034482759","0.5","0.5","0.505165469878078","0.505165469878078","0.106588394443642","0.106588394443642","0","0","0.497608301879397"
"V20","X19","1","1","0","0","90","93","0.636363636363636","0.636363636363636","0.285714285714286","0.315789473684211","0.394058649965285","0.405674405078553","0.170685956341912","0.164544062780986","0","0","0.772968157767811"
"V21","X20","1","0","0","0","80","83","0.72","0.705882352941177","0.433333333333333","0.46875","0.501993910180485","0.512130160713136","0.155529957434619","0.142175871680452","0","0","0.592972571834652"
"V22","X21","1","1","0","0","90","93","0.636363636363636","0.642857142857143","0.314285714285714","0.297297297297297","0.408820427112341","0.399922254329756","0.162739805316467","0.17181681682729","0","0","0.849287538120037"
"V23","X22","0","0","0","0","100","100","0.517241379310345","0.517241379310345","0.476190476190476","0.476190476190476","0.460131603915542","0.460131603915542","0.0563314161844472","0.0563314161844472","0","0","1"
"V24","X23","0","0","0","0","100","100","0.586206896551724","0.586206896551724","0.428571428571429","0.428571428571429","0.450213654071676","0.450213654071676","0.108960222267508","0.108960222267508","0","0","0.385189812783463"
"V25","X24","1","1","0","0","90","93","0.625","0.625","0.323529411764706","0.324324324324324","0.4111910594086","0.40786118676929","0.155656035399312","0.157617695189464","0","0","0.703359084533278"
"V26","X25","1","1","0","0","90","93","0.660714285714286","0.666666666666667","0.441176470588235","0.444444444444444","0.48285636096588","0.485515885151839","0.134737442386332","0.137383531483397","0","0","0.505857758615223"
"V27","idx","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100"
"V1","","eff.mon.initial","eff.mon.final","fut.mon.initial","fut.mon.final","ss.initial","ss.final","mle.initial.IP","mle.final.IP","mle.initial.PC","mle.final.PC","post.mean.initial.IP","post.mean.final.IP","post.mean.initial.PC","post.mean.final.PC","cov.initial","cov.final","eff.mix.prob"
"V2","X1","0","0","0","0","100","100","0.258620689655172","0.258620689655172","0.5","0.5","0.395806085980172","0.395806085980172","-0.0618342327057142","-0.0618342327057142","1","1","1"
"V3","X2","0","0","0","0","100","100","0.344827586206897","0.344827586206897","0.5","0.5","0.422442374056157","0.422442374056157","-0.0244378204293944","-0.0244378204293944","1","1","1"
"V4","X3","0","0","0","0","100","100","0.431034482758621","0.431034482758621","0.380952380952381","0.380952380952381","0.383278732951621","0.383278732951621","0.0513741898319394","0.0513741898319394","1","1","1"
"V5","X4","0","0","0","0","100","100","0.379310344827586","0.379310344827586","0.380952380952381","0.380952380952381","0.369677307388167","0.369677307388167","0.0269918120573115","0.0269918120573115","1","1","1"
"V6","X5","0","0","0","0","100","100","0.362068965517241","0.362068965517241","0.404761904761905","0.404761904761905","0.377841338225152","0.377841338225152","0.0113138016608925","0.0113138016608925","1","1","1"
"V7","X6","0","0","0","0","100","100","0.275862068965517","0.275862068965517","0.547619047619048","0.547619047619048","0.426420626826606","0.426420626826606","-0.06946806940727","-0.06946806940727","1","1","1"
"V8","X7","0","0","0","0","100","100","0.344827586206897","0.344827586206897","0.5","0.5","0.422442374056157","0.422442374056157","-0.0244378204293944","-0.0244378204293944","1","1","1"
"V9","X8","0","0","0","0","100","100","0.5","0.5","0.333333333333333","0.333333333333333","0.371902194875642","0.371902194875642","0.104929174421993","0.104929174421993","1","1","0.395871965629322"
"V10","X9","0","0","0","0","100","100","0.362068965517241","0.362068965517241","0.380952380952381","0.380952380952381","0.364858521087651","0.364858521087651","0.0192684124473933","0.0192684124473933","1","1","1"
"V11","X10","0","0","0","0","100","100","0.379310344827586","0.379310344827586","0.428571428571429","0.428571428571429","0.395709263723221","0.395709263723221","0.0109011102250249","0.0109011102250249","1","1","1"
"V12","X11","0","0","0","0","100","100","0.46551724137931","0.46551724137931","0.452380952380952","0.452380952380952","0.433040658552315","0.433040658552315","0.0407744577788022","0.0407744577788022","1","1","1"
"V13","X12","0","0","0","0","100","100","0.327586206896552","0.327586206896552","0.357142857142857","0.357142857142857","0.341811133573322","0.341811133573322","0.0122036096332512","0.0122036096332512","1","1","1"
"V14","X13","0","0","0","0","100","100","0.413793103448276","0.413793103448276","0.333333333333333","0.333333333333333","0.35088587368308","0.35088587368308","0.0620101377776009","0.0620101377776009","1","1","0.898828163599564"
"V15","X14","0","0","0","0","100","100","0.396551724137931","0.396551724137931","0.285714285714286","0.285714285714286","0.317443004856419","0.317443004856419","0.0736759202330267","0.0736759202330267","1","1","0.739785266196511"
"V16","X15","0","0","0","0","100","100","0.413793103448276","0.413793103448276","0.357142857142857","0.357142857142857","0.365059332796972","0.365059332796972","0.0523180871222666","0.0523180871222666","1","1","1"
"V17","X16","0","0","0","0","100","100","0.344827586206897","0.344827586206897","0.452380952380952","0.452380952380952","0.397762886690914","0.397762886690914","-0.0104710069817714","-0.0104710069817714","1","1","1"
"V18","X17","0","0","0","0","100","100","0.362068965517241","0.362068965517241","0.357142857142857","0.357142857142857","0.351558798531333","0.351558798531333","0.0276665449379056","0.0276665449379056","1","1","1"
"V19","X18","0","0","0","0","100","100","0.310344827586207","0.310344827586207","0.523809523809524","0.523809523809524","0.424041541151135","0.424041541151135","-0.0456935745165812","-0.0456935745165812","1","1","1"
"V20","X19","0","0","0","0","100","100","0.482758620689655","0.482758620689655","0.428571428571429","0.428571428571429","0.4239347823565","0.4239347823565","0.0580271691946168","0.0580271691946168","1","1","0.980352937231569"
"V21","X20","0","0","0","0","100","100","0.431034482758621","0.431034482758621","0.476190476190476","0.476190476190476","0.436557544915453","0.436557544915453","0.0172109972259241","0.0172109972259241","1","1","1"
"V22","X21","0","0","0","0","100","100","0.46551724137931","0.46551724137931","0.428571428571429","0.428571428571429","0.419518729943092","0.419518729943092","0.0496818833340557","0.0496818833340557","1","1","1"
"V23","X22","0","0","0","0","100","100","0.258620689655172","0.258620689655172","0.285714285714286","0.285714285714286","0.281684908303669","0.281684908303669","0.00610035073545115","0.00610035073545115","1","1","1"
"V24","X23","0","0","0","0","100","100","0.396551724137931","0.396551724137931","0.428571428571429","0.428571428571429","0.400734173897156","0.400734173897156","0.0182420045605251","0.0182420045605251","1","1","1"
"V25","X24","0","0","0","0","100","100","0.482758620689655","0.482758620689655","0.428571428571429","0.428571428571429","0.4239347823565","0.4239347823565","0.0580271691946168","0.0580271691946168","1","1","0.980352937231569"
"V26","X25","0","0","0","0","100","100","0.310344827586207","0.310344827586207","0.380952380952381","0.380952380952381","0.349522657088668","0.349522657088668","-0.00287402384371411","-0.00287402384371411","1","1","1"
"V27","idx","101","101","101","101","101","101","101","101","101","101","101","101","101","101","101","101","101"
"V1","","eff.mon.initial","eff.mon.final","fut.mon.initial","fut.mon.final","ss.initial","ss.final","mle.initial.IP","mle.final.IP","mle.initial.PC","mle.final.PC","post.mean.initial.IP","post.mean.final.IP","post.mean.initial.PC","post.mean.final.PC","cov.initial","cov.final","eff.mix.prob"
"V2","X1","0","0","0","0","100","100","0.362068965517241","0.362068965517241","0.357142857142857","0.357142857142857","0.351558798531333","0.351558798531333","0.0276665449379056","0.0276665449379056","0","0","1"
"V3","X2","0","0","0","0","100","100","0.431034482758621","0.431034482758621","0.380952380952381","0.380952380952381","0.383278732951621","0.383278732951621","0.0513741898319394","0.0513741898319394","1","1","1"
"V4","X3","0","0","0","0","100","100","0.482758620689655","0.482758620689655","0.333333333333333","0.333333333333333","0.367575374138607","0.367575374138607","0.0965600601989017","0.0965600601989017","1","1","0.450248032871332"
"V5","X4","0","0","0","0","100","100","0.396551724137931","0.396551724137931","0.452380952380952","0.452380952380952","0.413575647911819","0.413575647911819","0.0104800331175779","0.0104800331175779","1","1","1"
"V6","X5","0","0","0","0","100","100","0.413793103448276","0.413793103448276","0.404761904761905","0.404761904761905","0.392384570824618","0.392384570824618","0.034210856468623","0.034210856468623","1","1","1"
"V7","X6","0","0","0","0","100","100","0.46551724137931","0.46551724137931","0.404761904761905","0.404761904761905","0.405815116459403","0.405815116459403","0.0589071804062033","0.0589071804062033","1","1","0.966392859358124"
