"","X","p.IP","p.PC","freq.mntr","enr.shape","out.mean","fut.mix.prob","eff.mix.prob","inf.mix.prob","cred.tail","max.ss","min.ss","reps","y1.IP.initial","y0.IP.initial","y1.PC.initial","y0.PC.initial","eff.prob.initial","fut.prob.initial","eff.mix.prob.initial","box.skpt.initial","box.enth.initial","box.ni.initial","y1.IP.final","y0.IP.final","y1.PC.final","y0.PC.final","eff.prob.final","fut.prob.final","eff.mix.prob.final","box.skpt.final","box.enth.final","box.ni.final","pm.skpt.f","pm.enth.f","pm.ni.f","pm.rd.f","pm.50.50.f","pm.skpt.enth.f","pm.skpt.enth.ni.f","pm.skpt.enth.ni.tilde.f","box.skpt.f","box.enth.f","box.ni.f","y1.IP.f","y1.PC.f","y0.IP.f","y0.PC.f"
"1",1,0.51,0.39,2,1,4,0,101,0.5,0.05,100,100,13,29,29,16,26,0.989723031389107,0.511011034157903,0,NA,1.00000778552197,NA,29,29,16,26,0.989723031389107,0.511011034157903,0,NA,1.00000778552197,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2",1,0.51,0.39,2,1,4,0,101,0.5,0.05,100,100,13,31,27,8,34,0.999831634818454,0.127325411284735,0.897265553215498,NA,0.102734446784502,NA,31,27,8,34,0.999831634818454,0.127325411284735,0.897265553215498,NA,0.102734446784502,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3",1,0.51,0.39,2,1,4,0,101,0.5,0.05,100,100,13,31,27,16,26,0.993905279848065,0.43139938083013,0.0262499343403682,NA,0.973750065659632,NA,31,27,16,26,0.993905279848065,0.43139938083013,0.0262499343403682,NA,0.973750065659632,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4",1,0.51,0.39,2,1,4,0,101,0.5,0.05,100,100,13,29,29,11,31,0.997653514619347,0.288476457962183,0.450826550754938,NA,0.549173449245062,NA,29,29,11,31,0.997653514619347,0.288476457962183,0.450826550754938,NA,0.549173449245062,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5",1,0.51,0.39,2,1,4,0,101,0.5,0.05,100,100,13,26,32,16,26,0.975975123618242,0.630291648486094,0.11903316728816,NA,0.88096683271184,NA,26,32,16,26,0.975975123618242,0.630291648486094,0.11903316728816,NA,0.88096683271184,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6",1,0.51,0.39,2,1,4,0,101,0.5,0.05,100,100,13,25,33,23,19,0.243676325109859,0.884355407061791,0.900228460163482,NA,0.0997715398365185,NA,25,33,23,19,0.243676325109859,0.884355407061791,0.900228460163482,NA,0.0997715398365185,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7",1,0.51,0.39,2,1,4,0,101,0.5,0.05,100,100,13,26,32,19,23,0.910578313419177,0.746529614147353,0.46578800306827,NA,0.53421199693173,NA,26,32,19,23,0.910578313419177,0.746529614147353,0.46578800306827,NA,0.53421199693173,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8",1,0.51,0.39,2,1,4,0,101,0.5,0.05,100,100,13,30,28,12,30,0.997515513006042,0.296279175721399,0.390987293017851,NA,0.609012706982149,NA,30,28,12,30,0.997515513006042,0.296279175721399,0.390987293017851,NA,0.609012706982149,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9",1,0.51,0.39,2,1,4,0,101,0.5,0.05,100,100,13,24,34,16,26,0.95330418746214,0.705652043134753,0.292279228220669,NA,0.707720771779331,NA,24,34,16,26,0.95330418746214,0.705652043134753,0.292279228220669,NA,0.707720771779331,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10",1,0.51,0.39,2,1,4,0,101,0.5,0.05,100,100,13,24,34,16,26,0.95330418746214,0.705652043134753,0.292279228220669,NA,0.707720771779331,NA,24,34,16,26,0.95330418746214,0.705652043134753,0.292279228220669,NA,0.707720771779331,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"11",1,0.51,0.39,2,1,4,0,101,0.5,0.05,100,100,13,30,28,10,32,0.998814221865092,0.217263234930674,0.658797457982332,NA,0.341202542017668,NA,30,28,10,32,0.998814221865092,0.217263234930674,0.658797457982332,NA,0.341202542017668,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
