"","X","p.IP","p.PC","freq.mntr","enr.shape","out.mean","fut.mix.prob","eff.mix.prob","inf.mix.prob","cred.tail","max.ss","min.ss","reps","y1.IP.initial","y0.IP.initial","y1.PC.initial","y0.PC.initial","eff.prob.initial","fut.prob.initial","eff.mix.prob.initial","box.skpt.initial","box.enth.initial","box.ni.initial","y1.IP.final","y0.IP.final","y1.PC.final","y0.PC.final","eff.prob.final","fut.prob.final","eff.mix.prob.final","box.skpt.final","box.enth.final","box.ni.final","pm.skpt.f","pm.enth.f","pm.ni.f","pm.rd.f","pm.50.50.f","pm.skpt.enth.f","pm.skpt.enth.ni.f","pm.skpt.enth.ni.tilde.f","box.skpt.f","box.enth.f","box.ni.f","y1.IP.f","y1.PC.f","y0.IP.f","y0.PC.f"
"1",1,NA,NA,2,1,4,0,101,0.5,0.05,92,92,1,0,52,0,38,0.377200400667508,0.997508853763094,0.990313800819262,NA,0.00968619918073822,NA,0,52,0,38,0.377200400667508,0.997508853763094,0.990313800819262,NA,0.00968619918073822,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2",2,NA,NA,2,1,4,0,101,0.5,0.05,92,92,1,0,52,1,37,0.178577522698976,0.998375408613045,0.993900904279191,NA,0.00609909572080895,NA,0,52,1,37,0.178577522698976,0.998375408613045,0.993900904279191,NA,0.00609909572080895,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3",3,NA,NA,2,1,4,0,101,0.5,0.05,92,92,1,0,52,2,36,0.093837844119872,0.998896867047204,0.996210305149159,NA,0.00378969485084067,NA,0,52,2,36,0.093837844119872,0.998896867047204,0.996210305149159,NA,0.00378969485084067,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4",4,NA,NA,2,1,4,0,101,0.5,0.05,92,92,1,0,52,3,35,0.0523107125995497,0.999225878031124,0.997865338747119,NA,0.00213466125288136,NA,0,52,3,35,0.0523107125995497,0.999225878031124,0.997865338747119,NA,0.00213466125288136,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5",5,NA,NA,2,1,4,0,101,0.5,0.05,92,92,1,0,52,4,34,0.0302676098480101,0.999441784619587,0.998852617321696,NA,0.00114738267830417,NA,0,52,4,34,0.0302676098480101,0.999441784619587,0.998852617321696,NA,0.00114738267830417,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6",6,NA,NA,2,1,4,0,101,0.5,0.05,92,92,1,0,52,5,33,0.0179529207105345,0.999588263171049,0.999416688767377,NA,0.000583311232623001,NA,0,52,5,33,0.0179529207105345,0.999588263171049,0.999416688767377,NA,0.000583311232623001,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7",7,NA,NA,2,1,4,0,101,0.5,0.05,92,92,1,0,52,6,32,0.0108302554229905,0.999690524627545,0.999712895845764,NA,0.000287104154235592,NA,0,52,6,32,0.0108302554229905,0.999690524627545,0.999712895845764,NA,0.000287104154235592,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8",8,NA,NA,2,1,4,0,101,0.5,0.05,92,92,1,0,52,7,31,0.00660896198109151,0.999763715324459,0.999867466374853,NA,0.00013253362514718,NA,0,52,7,31,0.00660896198109151,0.999763715324459,0.999867466374853,NA,0.00013253362514718,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9",9,NA,NA,2,1,4,0,101,0.5,0.05,92,92,1,0,52,8,30,0.00406348975139004,0.999817254351607,0.999942014657649,NA,5.79853423508992e-05,NA,0,52,8,30,0.00406348975139004,0.999817254351607,0.999942014657649,NA,5.79853423508992e-05,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10",10,NA,NA,2,1,4,0,101,0.5,0.05,92,92,1,0,52,9,29,0.00250956916935363,0.999857170745151,0.999973411367897,NA,2.65886321028865e-05,NA,0,52,9,29,0.00250956916935363,0.999857170745151,0.999973411367897,NA,2.65886321028865e-05,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
