"","X","p.IP","p.PC","freq.mntr","enr.shape","out.mean","fut.mix.prob","eff.mix.prob","inf.mix.prob","cred.tail","max.ss","min.ss","reps","y1.IP.initial","y0.IP.initial","y1.PC.initial","y0.PC.initial","eff.prob.initial","fut.prob.initial","eff.mix.prob.initial","box.skpt.initial","box.enth.initial","box.ni.initial","y1.IP.final","y0.IP.final","y1.PC.final","y0.PC.final","eff.prob.final","fut.prob.final","eff.mix.prob.final","box.skpt.final","box.enth.final","box.ni.final","pm.skpt.f","pm.enth.f","pm.ni.f","pm.rd.f","pm.50.50.f","pm.skpt.enth.f","pm.skpt.enth.ni.f","pm.skpt.enth.ni.tilde.f","box.skpt.f","box.enth.f","box.ni.f","y1.IP.f","y1.PC.f","y0.IP.f","y0.PC.f"
"1",1,NA,NA,2,1,4,0,101,0.5,0.05,92,92,1,0,53,0,39,0.360969007960894,0.997790653442388,0.98995379702484,NA,0.0100462029751604,NA,0,53,0,39,0.360969007960894,0.997790653442388,0.98995379702484,NA,0.0100462029751604,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2",2,NA,NA,2,1,4,0,101,0.5,0.05,92,92,1,0,53,1,38,0.153225375959917,0.998566685027597,0.993699012621124,NA,0.00630098737887609,NA,0,53,1,38,0.153225375959917,0.998566685027597,0.993699012621124,NA,0.00630098737887609,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3",3,NA,NA,2,1,4,0,101,0.5,0.05,92,92,1,0,53,2,37,0.072650111957844,0.999032592209715,0.996357487195226,NA,0.00364251280477408,NA,0,53,2,37,0.072650111957844,0.999032592209715,0.996357487195226,NA,0.00364251280477408,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4",4,NA,NA,2,1,4,0,101,0.5,0.05,92,92,1,0,53,3,36,0.0374194494692606,0.99932551383244,0.997820179268924,NA,0.00217982073107643,NA,0,53,3,36,0.0374194494692606,0.99932551383244,0.997820179268924,NA,0.00217982073107643,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5",5,NA,NA,2,1,4,0,101,0.5,0.05,92,92,1,0,53,4,35,0.0205722096121402,0.999516889034775,0.99876691510288,NA,0.00123308489712007,NA,0,53,4,35,0.0205722096121402,0.999516889034775,0.99876691510288,NA,0.00123308489712007,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6",6,NA,NA,2,1,4,0,101,0.5,0.05,92,92,1,0,53,5,34,0.0119293573874092,0.999646066925507,0.999385899697849,NA,0.000614100302151432,NA,0,53,5,34,0.0119293573874092,0.999646066925507,0.999385899697849,NA,0.000614100302151432,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7",7,NA,NA,2,1,4,0,101,0.5,0.05,92,92,1,0,53,6,33,0.00723375438074489,0.999735748597768,0.999709921975137,NA,0.000290078024862928,NA,0,53,6,33,0.00723375438074489,0.999735748597768,0.999709921975137,NA,0.000290078024862928,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8",8,NA,NA,2,1,4,0,101,0.5,0.05,92,92,1,0,53,7,32,0.00455683532979483,0.999799554173392,0.999862050621138,NA,0.000137949378861725,NA,0,53,7,32,0.00455683532979483,0.999799554173392,0.999862050621138,NA,0.000137949378861725,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9",9,NA,NA,2,1,4,0,101,0.5,0.05,92,92,1,0,53,8,31,0.00296662511910501,0.999845936844595,0.999937974143531,NA,6.20258564694518e-05,NA,0,53,8,31,0.00296662511910501,0.999845936844595,0.999937974143531,NA,6.20258564694518e-05,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10",10,NA,NA,2,1,4,0,101,0.5,0.05,92,92,1,0,53,9,30,0.00198740724524835,0.999880296076679,0.9999729267455,NA,2.70732545002989e-05,NA,0,53,9,30,0.00198740724524835,0.999880296076679,0.9999729267455,NA,2.70732545002989e-05,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"11",11,NA,NA,2,1,4,0,101,0.5,0.05,92,92,1,0,53,10,29,0.00136582999819077,0.999906035301082,0.999987602520104,NA,1.23974798960246e-05,NA,0,53,10,29,0.00136582999819077,0.999906035301082,0.999987602520104,NA,1.23974798960246e-05,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"12",12,NA,NA,2,1,4,0,101,0.5,0.05,92,92,1,0,53,11,28,0.000959339541356292,0.999925896476426,0.999995020218674,NA,4.97978132630343e-06,NA,0,53,11,28,0.000959339541356292,0.999925896476426,0.999995020218674,NA,4.97978132630343e-06,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"13",13,NA,NA,2,1,4,0,101,0.5,0.05,92,92,1,0,53,12,27,0.000687249759271481,0.9999412708899,0.999998138250734,NA,1.86174926626624e-06,NA,0,53,12,27,0.000687249759271481,0.9999412708899,0.999998138250734,NA,1.86174926626624e-06,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"14",14,NA,NA,2,1,4,0,101,0.5,0.05,92,92,1,0,53,13,26,0.000500883546275555,0.999953251159531,0.99999922150094,NA,7.78499060179126e-07,NA,0,53,13,26,0.000500883546275555,0.999953251159531,0.99999922150094,NA,7.78499060179126e-07,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"15",15,NA,NA,2,1,4,0,101,0.5,0.05,92,92,1,0,53,14,25,0.000370622079472195,0.999962709949234,0.999999719497297,NA,2.80502702991531e-07,NA,0,53,14,25,0.000370622079472195,0.999962709949234,0.999999719497297,NA,2.80502702991531e-07,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"16",16,NA,NA,2,1,4,0,101,0.5,0.05,92,92,1,0,53,15,24,0.000277884540852273,0.999970232119664,0.999999906616043,NA,9.33839573363206e-08,NA,0,53,15,24,0.000277884540852273,0.999970232119664,0.999999906616043,NA,9.33839573363206e-08,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"17",17,NA,NA,2,1,4,0,101,0.5,0.05,92,92,1,0,53,16,23,0.000210745952488531,0.999976247569461,0.999999964793252,NA,3.52067478403635e-08,NA,0,53,16,23,0.000210745952488531,0.999976247569461,0.999999964793252,NA,3.52067478403635e-08,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"18",18,NA,NA,2,1,4,0,101,0.5,0.05,92,92,1,0,53,17,22,0.000161393201130596,0.999981076986308,0.999999988686241,NA,1.13137588601738e-08,NA,0,53,17,22,0.000161393201130596,0.999981076986308,0.999999988686241,NA,1.13137588601738e-08,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"19",19,NA,NA,2,1,4,0,101,0.5,0.05,92,92,1,0,53,18,21,0.000124608978041861,0.999984963256222,0.999999996624963,NA,3.37503673113106e-09,NA,0,53,18,21,0.000124608978041861,0.999984963256222,0.999999996624963,NA,3.37503673113106e-09,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"20",20,NA,NA,2,1,4,0,101,0.5,0.05,92,92,1,0,53,19,20,9.68478389904403e-05,0.999988093119617,0.999999998934785,NA,1.06521511412383e-09,NA,0,53,19,20,9.68478389904403e-05,0.999988093119617,0.999999998934785,NA,1.06521511412383e-09,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"21",21,NA,NA,2,1,4,0,101,0.5,0.05,92,92,1,0,53,20,19,7.56610002414441e-05,0.99999061231366,0.999999999671688,NA,3.28312403617045e-10,NA,0,53,20,19,7.56610002414441e-05,0.99999061231366,0.999999999671688,NA,3.28312403617045e-10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"22",22,NA,NA,2,1,4,0,101,0.5,0.05,92,92,1,0,53,21,18,5.9331412815e-05,0.999992635819061,0.999999999907259,NA,9.27405710565042e-11,NA,0,53,21,18,5.9331412815e-05,0.999992635819061,0.999999999907259,NA,9.27405710565042e-11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"23",23,NA,NA,2,1,4,0,101,0.5,0.05,92,92,1,0,53,22,17,4.66349160505825e-05,0.999994257972588,0.999999999973227,NA,2.67732656215152e-11,NA,0,53,22,17,4.66349160505825e-05,0.999994257972588,0.999999999973227,NA,2.67732656215152e-11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"24",24,NA,NA,2,1,4,0,101,0.5,0.05,92,92,1,0,53,23,16,3.66925715015804e-05,0.999995551310972,0.999999999992432,NA,7.56758364933141e-12,NA,0,53,23,16,3.66925715015804e-05,0.999995551310972,0.999999999992432,NA,7.56758364933141e-12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"25",25,NA,NA,2,1,4,0,101,0.5,0.05,92,92,1,0,53,24,15,2.88654012983975e-05,0.999996577624455,0.999999999998295,NA,1.70521039036759e-12,NA,0,53,24,15,2.88654012983975e-05,0.999996577624455,0.999999999998295,NA,1.70521039036759e-12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"26",26,NA,NA,2,1,4,0,101,0.5,0.05,92,92,1,0,53,25,14,2.26731396498256e-05,0.999997387418657,0.999999999999632,NA,3.68262281991879e-13,NA,0,53,25,14,2.26731396498256e-05,0.999997387418657,0.999999999999632,NA,3.68262281991879e-13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
