"","X","p.IP","p.PC","freq.mntr","enr.shape","out.mean","fut.mix.prob","eff.mix.prob","inf.mix.prob","cred.tail","max.ss","min.ss","reps","y1.IP.initial","y0.IP.initial","y1.PC.initial","y0.PC.initial","eff.prob.initial","fut.prob.initial","eff.mix.prob.initial","box.skpt.initial","box.enth.initial","box.ni.initial","y1.IP.final","y0.IP.final","y1.PC.final","y0.PC.final","eff.prob.final","fut.prob.final","eff.mix.prob.final","box.skpt.final","box.enth.final","box.ni.final","pm.skpt.f","pm.enth.f","pm.ni.f","pm.rd.f","pm.50.50.f","pm.skpt.enth.f","pm.skpt.enth.ni.f","pm.skpt.enth.ni.tilde.f","box.skpt.f","box.enth.f","box.ni.f","y1.IP.f","y1.PC.f","y0.IP.f","y0.PC.f"
"1",1,NA,NA,2,1,4,0,101,0.5,0.05,100,100,1,0,58,0,42,0.360057340922621,0.998806782620783,0.991261324403734,NA,0.00873867559626614,NA,0,58,0,42,0.360057340922621,0.998806782620783,0.991261324403734,NA,0.00873867559626614,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2",2,NA,NA,2,1,4,0,101,0.5,0.05,100,100,1,0,58,1,41,0.149728709155573,0.999251593938874,0.994200919911825,NA,0.00579908008817474,NA,0,58,1,41,0.149728709155573,0.999251593938874,0.994200919911825,NA,0.00579908008817474,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3",3,NA,NA,2,1,4,0,101,0.5,0.05,100,100,1,0,58,2,40,0.0689006862051734,0.999512656208532,0.996334984223307,NA,0.00366501577669342,NA,0,58,2,40,0.0689006862051734,0.999512656208532,0.996334984223307,NA,0.00366501577669342,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4",4,NA,NA,2,1,4,0,101,0.5,0.05,100,100,1,0,58,3,39,0.0342470667797536,0.999672556694076,0.997838632095867,NA,0.00216136790413329,NA,0,58,3,39,0.0342470667797536,0.999672556694076,0.997838632095867,NA,0.00216136790413329,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5",5,NA,NA,2,1,4,0,101,0.5,0.05,100,100,1,0,58,4,38,0.0181049612066,0.999774082115456,0.998794541979074,NA,0.00120545802092638,NA,0,58,4,38,0.0181049612066,0.999774082115456,0.998794541979074,NA,0.00120545802092638,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6",6,NA,NA,2,1,4,0,101,0.5,0.05,100,100,1,0,58,5,37,0.0100714292512543,0.99984056274277,0.999369015426245,NA,0.000630984573754773,NA,0,58,5,37,0.0100714292512543,0.99984056274277,0.999369015426245,NA,0.000630984573754773,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7",7,NA,NA,2,1,4,0,101,0.5,0.05,100,100,1,0,58,6,36,0.00584877280592896,0.999885273367998,0.999677942893092,NA,0.000322057106908449,NA,0,58,6,36,0.00584877280592896,0.999885273367998,0.999677942893092,NA,0.000322057106908449,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8",8,NA,NA,2,1,4,0,101,0.5,0.05,100,100,1,0,58,7,35,0.00352507500319529,0.999916058780312,0.999840583534544,NA,0.000159416465455864,NA,0,58,7,35,0.00352507500319529,0.999916058780312,0.999840583534544,NA,0.000159416465455864,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9",9,NA,NA,2,1,4,0,101,0.5,0.05,100,100,1,0,58,8,34,0.00219421420121625,0.999937699430332,0.999926103155189,NA,7.38968448109484e-05,NA,0,58,8,34,0.00219421420121625,0.999937699430332,0.999926103155189,NA,7.38968448109484e-05,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10",10,NA,NA,2,1,4,0,101,0.5,0.05,100,100,1,0,58,9,33,0.00140514277436645,0.999953195155485,0.999965397009247,NA,3.46029907532049e-05,NA,0,58,9,33,0.00140514277436645,0.999953195155485,0.999965397009247,NA,3.46029907532049e-05,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"11",11,NA,NA,2,1,4,0,101,0.5,0.05,100,100,1,0,58,10,32,0.000922933918717438,0.9999646501996,0.999985120679085,NA,1.48793209146824e-05,NA,0,58,10,32,0.000922933918717438,0.9999646501996,0.999985120679085,NA,1.48793209146824e-05,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"12",12,NA,NA,2,1,4,0,101,0.5,0.05,100,100,1,0,58,11,31,0.000619710676964975,0.999972759353031,0.999993562248493,NA,6.43775150666035e-06,NA,0,58,11,31,0.000619710676964975,0.999972759353031,0.999993562248493,NA,6.43775150666035e-06,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"13",13,NA,NA,2,1,4,0,101,0.5,0.05,100,100,1,0,58,12,30,0.000424577957565271,0.999979032318828,0.999997303059328,NA,2.69694067241326e-06,NA,0,58,12,30,0.000424577957565271,0.999979032318828,0.999997303059328,NA,2.69694067241326e-06,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"14",14,NA,NA,2,1,4,0,101,0.5,0.05,100,100,1,0,58,13,29,0.000296151923919438,0.999983745747957,0.999998960099652,NA,1.0399003483542e-06,NA,0,58,13,29,0.000296151923919438,0.999983745747957,0.999998960099652,NA,1.0399003483542e-06,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"15",15,NA,NA,2,1,4,0,101,0.5,0.05,100,100,1,0,58,14,28,0.000209901562256725,0.999987346977553,0.99999959306938,NA,4.06930620342473e-07,NA,0,58,14,28,0.000209901562256725,0.999987346977553,0.99999959306938,NA,4.06930620342473e-07,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"16",16,NA,NA,2,1,4,0,101,0.5,0.05,100,100,1,0,58,15,27,0.000150910136440017,0.999990121890826,0.999999846291617,NA,1.53708382906166e-07,NA,0,58,15,27,0.000150910136440017,0.999990121890826,0.999999846291617,NA,1.53708382906166e-07,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"17",17,NA,NA,2,1,4,0,101,0.5,0.05,100,100,1,0,58,16,26,0.000109884446459694,0.999992275131475,0.999999942023837,NA,5.79761630519361e-08,NA,0,58,16,26,0.000109884446459694,0.999992275131475,0.999999942023837,NA,5.79761630519361e-08,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"18",18,NA,NA,2,1,4,0,101,0.5,0.05,100,100,1,0,58,17,25,8.09144396132396e-05,0.999993955531153,0.999999980859317,NA,1.91406827453517e-08,NA,0,58,17,25,8.09144396132396e-05,0.999993955531153,0.999999980859317,NA,1.91406827453517e-08,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
