"","X.1","X","p.IP","p.PC","freq.mntr","enr.shape","out.mean","fut.mix.prob","eff.mix.prob","inf.mix.prob","cred.tail","max.ss","min.ss","reps","y1.IP.initial","y0.IP.initial","y1.PC.initial","y0.PC.initial","eff.prob.initial","fut.prob.initial","eff.mix.prob.initial","box.skpt.initial","box.enth.initial","box.ni.initial","y1.IP.final","y0.IP.final","y1.PC.final","y0.PC.final","eff.prob.final","fut.prob.final","eff.mix.prob.final","box.skpt.final","box.enth.final","box.ni.final"
"400001",400001,41,0.39,0.39,2,1,4,0,10,0.5,0.05,100,70,66,20,38,16,26,0.420450851709572,0.416207794981511,1,0.945516154203504,0.337569178044103,NA,20,38,16,26,0.420450851709572,0.416207794981511,1,0.945516154203504,0.337569178044103,0.993050223860777
"400002",400002,41,0.39,0.39,2,1,4,0,10,0.5,0.05,100,70,66,22,36,18,24,0.415177283696586,0.417977885722076,1,0.900101574887613,0.307251300465701,NA,22,36,18,24,0.415177283696586,0.417977885722076,1,0.900101574887613,0.307251300465701,0.913880299171444
"400003",400003,41,0.39,0.39,2,1,4,0,10,0.5,0.05,100,70,66,23,35,15,27,0.566613188881383,0.258548238596616,1,0.938882017116653,0.714972620358458,NA,23,35,15,27,0.566613188881383,0.258548238596616,1,0.938882017116653,0.714972620358458,0.9613459056316
"400004",400004,41,0.39,0.39,2,1,4,0,10,0.5,0.05,100,70,66,26,32,14,28,0.835857004729016,0.141795490657539,0.631821364515804,0.583144338921058,0.951322974405254,NA,26,32,14,28,0.835857004729016,0.141795490657539,0.631821364515804,0.583144338921058,0.951322974405254,0.884633756289657
"400005",400005,41,0.39,0.39,2,1,4,0,10,0.5,0.05,100,70,66,24,34,16,26,0.561901794060595,0.261488216368739,1,0.955507822680799,0.707720771779331,NA,24,34,16,26,0.561901794060595,0.261488216368739,1,0.955507822680799,0.707720771779331,0.99582848495115
"400006",400006,41,0.39,0.39,2,1,4,0,10,0.5,0.05,100,70,66,22,36,15,27,0.531694966367527,0.293915653452806,1,0.979231429582836,0.619548983260746,NA,22,36,15,27,0.531694966367527,0.293915653452806,1,0.979231429582836,0.619548983260746,0.965463281358949
"400007",400007,41,0.39,0.39,2,1,4,0,10,0.5,0.05,100,70,66,22,36,23,19,0.243308068521043,0.628323566861753,1,0.275641020175674,0.0315181417126375,NA,22,36,23,19,0.243308068521043,0.628323566861753,1,0.275641020175674,0.0315181417126375,0.440264798214602
"400008",400008,41,0.39,0.39,2,1,4,0,10,0.5,0.05,100,70,66,26,32,16,26,0.65013696074439,0.19934740287694,0.940288123565033,0.821254956276874,0.88096683271184,NA,26,32,16,26,0.65013696074439,0.19934740287694,0.940288123565033,0.821254956276874,0.88096683271184,0.99166225711797
"400009",400009,41,0.39,0.39,2,1,4,0,10,0.5,0.05,100,70,66,24,34,20,22,0.410064506975067,0.420854748080266,1,0.784397358610682,0.267285863686114,NA,24,34,20,22,0.410064506975067,0.420854748080266,1,0.784397358610682,0.267285863686114,0.748752433020524
"400010",400010,41,0.39,0.39,2,1,4,0,10,0.5,0.05,100,70,66,26,32,17,25,0.591467494460197,0.231987429476784,1,0.893818670275619,0.778035690757001,NA,26,32,17,25,0.591467494460197,0.231987429476784,1,0.893818670275619,0.778035690757001,0.976463493393305
"400011",400011,41,0.39,0.39,2,1,4,0,10,0.5,0.05,100,70,66,25,33,15,27,0.663356625284702,0.196209776835435,0.917388513499999,0.801291890493715,0.883903376993716,NA,25,33,15,27,0.663356625284702,0.196209776835435,0.917388513499999,0.801291890493715,0.883903376993716,0.955859768285567
"400012",400012,41,0.39,0.39,2,1,4,0,10,0.5,0.05,100,70,66,26,32,19,23,0.515962733827474,0.304162899584342,1,0.90644662483208,0.53421199693173,NA,26,32,19,23,0.515962733827474,0.304162899584342,1,0.90644662483208,0.53421199693173,0.846811337042786
"400013",400013,41,0.39,0.39,2,1,4,0,10,0.5,0.05,100,70,66,19,39,16,26,0.384390796828698,0.460170735224362,1,0.884447125732501,0.258607631465703,NA,19,39,16,26,0.384390796828698,0.460170735224362,1,0.884447125732501,0.258607631465703,0.987503085259445
"400014",400014,41,0.39,0.39,2,1,4,0,10,0.5,0.05,100,70,66,28,30,16,26,0.818882073727043,0.147942381735512,0.655409236495676,0.635662011525346,0.98025277502967,NA,28,30,16,26,0.818882073727043,0.147942381735512,0.655409236495676,0.635662011525346,0.98025277502967,0.98888805186509
"400015",400015,41,0.39,0.39,2,1,4,0,10,0.5,0.05,100,70,66,22,36,19,23,0.37825818756088,0.460775566209937,1,0.778853441884855,0.220182588243854,NA,22,36,19,23,0.37825818756088,0.460775566209937,1,0.778853441884855,0.220182588243854,0.83150551792098
"400016",400016,41,0.39,0.39,2,1,4,0,10,0.5,0.05,100,70,66,19,39,15,27,0.423475314675769,0.415583652816963,1,0.948839378275944,0.34242069082148,NA,19,39,15,27,0.423475314675769,0.415583652816963,1,0.948839378275944,0.34242069082148,0.957230679567077
"400017",400017,41,0.39,0.39,2,1,4,0,10,0.5,0.05,100,70,66,21,37,19,23,0.344093918290132,0.503290423600067,1,0.705147553016987,0.162691739115286,NA,21,37,19,23,0.344093918290132,0.503290423600067,1,0.705147553016987,0.162691739115286,0.822635938720596
"400018",400018,41,0.39,0.39,2,1,4,0,10,0.5,0.05,100,70,66,21,37,13,29,0.578022497744286,0.251735118635971,1,0.859804676920833,0.686364544951444,NA,21,37,13,29,0.578022497744286,0.251735118635971,1,0.859804676920833,0.686364544951444,0.815072764063278
"400019",400019,41,0.39,0.39,2,1,4,0,10,0.5,0.05,100,70,66,23,35,16,26,0.527215716319798,0.29655905834881,1,0.993045333690863,0.613211799294273,NA,23,35,16,26,0.527215716319798,0.29655905834881,1,0.993045333690863,0.613211799294273,0.998607933293951
"400020",400020,41,0.39,0.39,2,1,4,0,10,0.5,0.05,100,70,66,21,37,14,28,0.536698843487421,0.290988752360565,1,0.95884638396885,0.611111699145216,NA,21,37,14,28,0.536698843487421,0.290988752360565,1,0.95884638396885,0.611111699145216,0.897895646788984
"400021",400021,41,0.39,0.39,2,1,4,0,10,0.5,0.05,100,70,66,22,36,22,20,0.274871974233203,0.587686709445409,1,0.387168551225974,0.0564952006044923,NA,22,36,22,20,0.274871974233203,0.587686709445409,1,0.387168551225974,0.0564952006044923,0.542649840282375
"400022",400022,41,0.39,0.39,2,1,4,0,10,0.5,0.05,100,70,66,18,40,17,25,0.311982142674306,0.549412709405524,1,0.682777557820399,0.13353489320668,NA,18,40,17,25,0.311982142674306,0.549412709405524,1,0.682777557820399,0.13353489320668,0.939466627224633
"400023",400023,41,0.39,0.39,2,1,4,0,10,0.5,0.05,100,70,66,22,36,17,25,0.453228190155412,0.375655059928685,1,0.96897256215862,0.415185037756858,NA,22,36,17,25,0.453228190155412,0.375655059928685,1,0.96897256215862,0.415185037756858,0.977841354878299
"400024",400024,41,0.39,0.39,2,1,4,0,10,0.5,0.05,100,70,66,24,34,14,28,0.675820603683081,0.192758033076894,0.898828163599555,0.762352858787736,0.863524695188181,NA,24,34,14,28,0.675820603683081,0.192758033076894,0.898828163599555,0.762352858787736,0.863524695188181,0.889933688908235
"400025",400025,41,0.39,0.39,2,1,4,0,10,0.5,0.05,100,70,66,21,37,16,26,0.456400827632559,0.374122084290059,1,0.986130004601193,0.424003215650694,NA,21,37,16,26,0.456400827632559,0.374122084290059,1,0.986130004601193,0.424003215650694,0.997217997605182
"400026",400026,41,0.39,0.39,2,1,4,0,10,0.5,0.05,100,70,66,18,40,14,28,0.426984919726653,0.414981302110704,1,0.932300758974793,0.339988048361834,NA,18,40,14,28,0.426984919726653,0.414981302110704,1,0.932300758974793,0.339988048361834,0.893913268507333
"400027",400027,41,0.39,0.39,2,1,4,0,10,0.5,0.05,100,70,66,23,35,17,25,0.488390480522332,0.336246754965393,1,0.989584966952047,0.503507012117407,NA,23,35,17,25,0.488390480522332,0.336246754965393,1,0.989584966952047,0.503507012117407,0.980598293295816
"400028",400028,41,0.39,0.39,2,1,4,0,10,0.5,0.05,100,70,66,24,34,15,27,0.600642747361631,0.225969555980418,1,0.878238441125841,0.810061055249615,NA,24,34,15,27,0.600642747361631,0.225969555980418,1,0.878238441125841,0.810061055249615,0.9586020399278
"400029",400029,41,0.39,0.39,2,1,4,0,10,0.5,0.05,100,70,66,27,31,12,30,0.950661911846615,0.0792586227106183,0.442685914495964,0.258186964819974,0.81550105032401,NA,27,31,12,30,0.950661911846615,0.0792586227106183,0.442685914495964,0.258186964819974,0.81550105032401,0.700712198602484
"400030",400030,41,0.39,0.39,2,1,4,0,10,0.5,0.05,100,70,66,20,38,19,23,0.31046613429414,0.546514263791148,1,0.624385851429048,0.116805747695507,NA,20,38,19,23,0.31046613429414,0.546514263791148,1,0.624385851429048,0.116805747695507,0.808785903712764
"400031",400031,41,0.39,0.39,2,1,4,0,10,0.5,0.05,100,70,66,24,34,12,30,0.848246340441746,0.134051981565207,0.63113240131595,0.491765599033018,0.860633197717067,NA,24,34,12,30,0.848246340441746,0.134051981565207,0.63113240131595,0.491765599033018,0.860633197717067,0.714639644051638
"400033",400033,41,0.39,0.39,2,1,4,0,10,0.5,0.05,100,70,66,17,41,14,28,0.38954155152138,0.461060770629951,1,0.872066322561128,0.259562120758347,NA,17,41,14,28,0.38954155152138,0.461060770629951,1,0.872066322561128,0.259562120758347,0.88728266326379
