"","y1.PC","y0.PC","y1.IP","y0.IP","box.ni.final"
"400001",16,26,20,38,0.993050223860777
"400002",18,24,22,36,0.913880299171444
"400003",15,27,23,35,0.9613459056316
"400004",14,28,26,32,0.884633756289657
"400005",16,26,24,34,0.99582848495115
"400006",15,27,22,36,0.965463281358949
"400007",23,19,22,36,0.440264798214602
"400008",16,26,26,32,0.99166225711797
"400009",20,22,24,34,0.748752433020524
"400010",17,25,26,32,0.976463493393305
"400011",15,27,25,33,0.955859768285567
"400012",19,23,26,32,0.846811337042786
"400013",16,26,19,39,0.987503085259445
"400014",16,26,28,30,0.98888805186509
"400015",19,23,22,36,0.83150551792098
"400016",15,27,19,39,0.957230679567077
"400017",19,23,21,37,0.822635938720596
"400018",13,29,21,37,0.815072764063278
"400019",16,26,23,35,0.998607933293951
"400020",14,28,21,37,0.897895646788984
"400021",22,20,22,36,0.542649840282375
"400022",17,25,18,40,0.939466627224633
"400023",17,25,22,36,0.977841354878299
"400024",14,28,24,34,0.889933688908235
"400025",16,26,21,37,0.997217997605182
"400026",14,28,18,40,0.893913268507333
"400027",17,25,23,35,0.980598293295816
"400028",15,27,24,34,0.9586020399278
"400029",12,30,27,31,0.700712198602484
"400030",19,23,20,38,0.808785903712764
"400031",12,30,24,34,0.714639644051638
"400033",14,28,17,41,0.88728266326379
"400034",19,23,17,41,0.763106103579979
"400036",17,25,19,39,0.950383487341518
"400038",15,27,29,29,0.940827796376612
"400039",13,29,26,32,0.800010800075628
"400042",18,24,19,39,0.878030523687226
"400043",17,25,24,34,0.98197710055976
"400044",14,28,22,36,0.896567760306926
"400045",10,32,26,32,0.514156472709125
"400046",14,28,23,35,0.892586339632873
"400047",17,25,28,30,0.972332824097016
"400048",18,24,20,38,0.900551711104559
"400049",18,24,25,33,0.923255158531062
"400051",19,23,16,42,0.736885636322951
"400052",12,30,20,38,0.723978788096504
"400053",16,26,14,44,0.888608153531683
"400055",16,26,22,36,0.999997924178541
"400056",20,22,25,33,0.753522788199936
"400059",12,30,28,30,0.697258543691076
"400061",21,21,24,34,0.652645983836648
"400063",16,26,25,33,0.994439044207025
"400068",20,22,32,26,0.7511358771893
"400069",21,21,28,30,0.66689448387999
"400070",16,26,29,29,0.986118281093964
"400071",18,24,27,31,0.919235224020689
"400072",13,29,25,33,0.805019495545613
"400073",15,27,28,30,0.94628156122353
"400074",14,28,19,39,0.899223619340784
"400076",15,27,32,26,0.920575051984186
"400078",14,28,25,33,0.885957953031407
"400080",17,25,27,31,0.975085823346366
"400081",19,23,27,31,0.845533754737524
"400083",18,24,26,32,0.921915001136924
"400084",10,27,28,19,0.529680495225982
"400085",10,32,24,34,0.523567120388055
"400086",15,27,18,40,0.953120408493302
"400090",17,25,32,26,0.943552799003059
"400091",17,25,25,33,0.97921971109562
"400092",21,21,21,37,0.624665425506455
"400093",14,28,20,38,0.901879954846031
"400095",22,20,18,40,0.471840628640008
"400096",17,25,20,38,0.968209088766092
"400097",17,25,29,29,0.969583117252954
"400099",20,22,28,30,0.759498066862132
"400101",19,23,34,24,0.823900515015567
"400103",20,22,22,36,0.738067015616838
"400104",13,29,29,29,0.783828796584474
"400105",14,28,27,31,0.880670280286506
"400108",13,29,22,36,0.812556171398892
"400109",12,30,21,37,0.722809316613206
"400111",20,22,27,31,0.758302594883732
"400113",21,21,27,31,0.664697000462552
"400114",15,27,26,32,0.954489461240885
"400116",16,26,30,28,0.983356033096875
"400121",20,22,31,27,0.752329232897449
"400122",17,25,30,28,0.95997375595218
"400126",11,29,31,27,0.621707827040393
"400129",20,22,16,42,0.627859872793388
"400131",12,30,26,32,0.705339969604791
"400132",18,24,28,30,0.916556635858149
"400134",15,27,31,27,0.932678918145364
"400135",18,24,33,25,0.891259787505852
"400136",11,23,30,18,0.704893737602968
"400137",18,24,24,34,0.924595393478036
"400138",14,28,29,29,0.871455656655162
"400139",21,21,32,26,0.66140325833821
"400141",11,31,28,30,0.598376067555934
"400143",19,23,32,26,0.832777205110769
"400144",19,23,29,29,0.841701916206603
"400145",22,20,32,26,0.575009809292256
"400146",15,23,34,22,0.897000160163362
"400147",11,24,30,21,0.734223884961357
"400148",13,19,33,17,0.813815719284415
"400149",21,21,26,32,0.660306154332843
"400153",18,24,29,29,0.915217920580157
"400155",22,20,26,32,0.567079810460261
"400156",16,26,32,26,0.949016025357983
"400157",8,26,31,21,0.384852833976275
"400158",15,27,30,28,0.934035129822689
"400159",12,20,33,19,0.827521764982697
"400160",9,25,32,22,0.509798469800327
"400161",18,24,34,24,0.879350393448971
"400163",11,20,33,20,0.808267990275082
"400164",17,25,33,25,0.935392199223101
"400165",12,30,30,28,0.683583347572491
"400167",22,20,28,30,0.574017069182928
"400168",23,19,30,28,0.484167963898779
"400169",12,26,32,26,0.788407342268046
"400172",10,26,30,22,0.5913680255856
"400174",10,24,30,18,0.589484606670965
"400175",19,23,28,30,0.844256204791146
"400178",10,25,31,24,0.6592469179627
"400180",11,26,29,22,0.692477203268905
"400181",12,30,29,29,0.690385377724816
"400184",19,23,25,33,0.842979053952665
"400189",18,24,31,27,0.90987122658886
"400191",17,25,34,24,0.931329624011006
"400192",16,26,33,25,0.938107267973817
"400196",10,22,31,15,0.535774643543488
"400197",18,24,30,28,0.911207273017301
"400199",23,19,35,23,0.478869123482459
"400200",16,24,33,21,0.89789273917426
"400201",7,28,29,18,0.211034374497205
"400202",18,24,32,26,0.904539729785161
"400203",11,22,31,18,0.72378746840766
"400205",19,23,30,28,0.839149487246415
"400207",21,21,38,20,0.639615764790384
"400208",16,20,37,19,0.792356675984244
"400209",15,20,34,17,0.794919969913425
"400210",24,18,32,26,0.401427031581617
"400212",16,22,34,18,0.820593217113016
"400214",13,29,28,30,0.790035162144809
"400217",10,28,31,25,0.561960088206948
"400219",23,19,42,16,0.45629878528541
"400220",13,25,32,24,0.858630166467903
"400221",8,28,31,25,0.390831693038944
"400226",23,19,26,32,0.473589495364284
"400227",20,22,35,23,0.740434031255572
"400228",7,27,30,18,0.223005525305483
"400232",15,27,33,25,0.895240430899163
"400233",14,20,32,14,0.735607844566503
"400234",19,23,35,23,0.816331590150571
"400236",11,26,31,24,0.694432790069594
"400238",11,28,30,25,0.649770314608744
"400239",14,28,31,27,0.858399148758843
"400240",9,31,30,28,0.433490224584198
"400241",9,27,30,22,0.474598366506881
"400242",17,22,36,19,0.821890585128401
"400245",8,28,30,22,0.347920421192758
"400246",10,32,29,29,0.492158490342747
"400247",9,26,30,21,0.479044126539909
"400249",21,21,33,25,0.658112878733625
"400250",19,23,36,22,0.801261768905513
"400251",15,26,33,24,0.902264328882623
"400252",12,26,31,23,0.761721226485481
"400253",10,21,33,22,0.752838618389427
"400257",22,20,35,23,0.568069219830587
"400258",12,22,32,22,0.849640875866276
"400260",16,26,31,27,0.970957187502964
"400261",24,18,33,25,0.400651836126043
"400262",13,24,31,22,0.854049113879703
"400263",25,17,39,19,0.320289091931873
"400264",11,23,31,21,0.745315579029277
"400265",8,25,33,22,0.417751761647846
"400267",10,19,33,8,0.262944626458469
"400268",18,24,36,22,0.860997871075665
"400269",20,22,29,29,0.757107138852941
"400270",10,20,32,14,0.561945219807518
"400271",12,23,31,20,0.793271499684809
"400272",15,23,33,21,0.891827744959201
"400273",10,19,33,14,0.572237819331212
"400274",13,21,32,18,0.827820425618861
"400277",15,23,31,19,0.883673132981034
"400278",10,21,32,19,0.693041010497528
"400279",10,25,31,20,0.571083140161967
"400280",12,18,32,12,0.634462591426345
"400282",17,19,37,15,0.678352066911552
"400283",9,22,31,16,0.483995367337393
"400284",9,22,31,12,0.329443085062291
"400285",13,24,30,19,0.821313711426713
"400286",9,25,30,16,0.39021437410797
"400287",8,24,30,14,0.273206006743793
"400288",10,19,34,17,0.674028607057506
"400290",12,22,33,21,0.823256964832065
"400291",10,18,33,13,0.575218883177588
"400292",14,19,36,19,0.828762875033548
"400293",11,22,31,14,0.569849413082667
"400296",16,19,38,17,0.730954980100787
"400297",11,21,32,20,0.797610140530348
"400300",14,27,31,24,0.857962727684411
"400301",7,19,34,10,0.161992507804703
"400302",12,20,32,16,0.762123603686975
"400303",19,23,33,25,0.828965624674306
"400305",11,23,29,17,0.69908050868657
"400306",12,15,36,11,0.570065007571724
"400307",5,25,30,18,0.13130992183504
"400308",12,16,33,9,0.495531469317731
"400309",9,21,32,14,0.429890949314091
"400310",12,21,30,13,0.650497026698915
"400312",13,27,32,26,0.811334367598204
"400313",8,21,33,14,0.32167448214784
"400314",4,21,31,14,0.0688496196690422
"400315",13,19,31,13,0.708386694213786
"400316",12,18,34,16,0.756964591558976
"400317",21,21,35,23,0.654828415603446
"400318",15,25,31,21,0.89724884211947
"400319",13,25,28,18,0.79589283453189
"400322",10,23,30,15,0.524113355876936
"400323",11,22,32,21,0.771036703620891
"400324",8,28,30,24,0.38677312792198
"400325",14,21,33,20,0.878742471835717
"400327",12,18,35,17,0.770823248522877
"400328",25,17,37,21,0.322293263690688
"400329",12,20,33,17,0.774200504938327
"400330",13,20,34,19,0.857029155342962
"400331",22,20,21,37,0.521675821544253
"400332",22,20,24,34,0.556257941715077
"400334",15,27,21,37,0.966836086071286
"400339",20,22,23,35,0.743993020983754
"400342",16,26,15,43,0.927286880990271
"400344",18,24,14,44,0.765520081364508
"400347",14,28,30,28,0.863602205072472
"400349",21,21,19,39,0.594239653368948
"400352",17,25,16,42,0.905871571345985
"400353",21,21,13,45,0.406899409920771
"400357",13,29,23,35,0.810042304854323
"400360",17,25,17,41,0.92998154514199
"400367",18,24,16,42,0.830235323324997
"400369",19,23,19,39,0.792521978143064
"400370",13,29,20,38,0.817590461344237
"400376",19,23,18,40,0.780134704618452
"400382",13,29,15,43,0.803766151111645
"400386",10,32,21,37,0.530219097704327
"400387",10,32,19,39,0.533081845215853
"400397",18,24,23,35,0.917895757943781
"400398",21,21,29,29,0.667993428528468
"400410",13,29,27,31,0.795013740758731
"400411",22,20,23,35,0.548453564595156
"400415",22,20,25,33,0.563129634697759
"400417",14,19,35,16,0.766370550666362
"400421",14,23,32,21,0.89232435775967
"400423",12,27,30,23,0.738828210759314
"400427",11,31,26,32,0.611956966456982
"400433",19,23,31,27,0.834051019822947
"400438",20,22,21,37,0.731003687912985
"400440",18,24,18,40,0.866214947365075
"400441",9,26,29,18,0.44232221514767
"400442",10,32,25,33,0.518847224673843
"400443",11,31,22,36,0.62360099838895
"400444",14,28,28,30,0.876711007323238
"400445",17,25,21,37,0.973709032576823
"400447",16,26,27,31,0.990274499868848
"400449",12,30,23,35,0.71813747200144
"400451",21,21,31,27,0.663598691557013
"400455",11,31,25,33,0.616180203992438
"400461",23,19,29,29,0.482400419831991
"400469",14,24,30,20,0.882015959100608
"400477",23,19,36,22,0.477105281931971
"400480",10,18,35,13,0.529631176443938
"400486",12,20,31,15,0.751103473020281
"400493",17,25,31,27,0.951751873112303
"400495",14,24,32,22,0.888726238295591
"400496",23,19,27,31,0.476224532750898
"400501",13,26,30,23,0.83774073333033
"400503",21,21,23,35,0.646113209794446
"400505",20,22,33,25,0.746370439873578
"400511",11,27,29,23,0.677581232397392
"400513",20,22,36,22,0.735706887202602
"400514",11,24,31,22,0.743067993591701
"400516",15,27,27,31,0.947648759981298
"400518",21,21,34,24,0.655922587057132
"400520",11,22,30,19,0.761365248194045
"400526",22,20,30,28,0.57798990027068
"400530",11,22,30,15,0.644664481475434
"400532",16,23,33,18,0.844205796266762
"400533",10,30,29,23,0.492264291253695
"400534",13,29,31,27,0.771577075017663
"400536",12,19,31,14,0.720540319503526
"400539",15,25,33,23,0.905692262993016
"400540",14,23,32,19,0.848708042219463
