"","X","eff.mon.initial","eff.mon.final","fut.mon.initial","fut.mon.final","ss.initial","ss.final","mle.initial.IP","mle.final.IP","mle.initial.PC","mle.final.PC","post.mean.initial.IP","post.mean.final.IP","post.mean.initial.PC","post.mean.final.PC","cov.initial","cov.final","idx"
"1",1,0.86724,0.6376,0,0,51.62528,54.20292,0.670433480474479,0.661890376015848,NA,NA,0.58887988386259,0.588143286703069,0.470592866430653,0.469017967427125,0.80604,0.79992,100
"2",1,0.48552,0.28752,0,0,65.47152,66.92528,0.430460008746816,0.420484071464999,0.344024858652897,0.352344151653901,0.423954361758783,0.421204462433117,0.378217918905556,0.376709194456528,0.97612,0.97856,101
"3",1,0.51876,0.31076,0,0,63.10168,64.65364,0.441396351018603,0.431057156117648,0.34265746614139,0.351157320797966,0.431267575500105,0.428503406388307,0.38168730831232,0.380166487448487,0.98036,0.97852,102
"4",1,0.55292,0.33476,0,0,60.68936,62.34152,0.452603810116953,0.441853090752077,0.341590790621559,0.350284795389439,0.438679643572202,0.435939914304712,0.385372441788128,0.383847653670907,0.98384,0.97988,103
"5",1,0.58368,0.36144,0,0,58.44288,60.18748,0.463417804846535,0.452447004275395,0.340925728485582,0.349465656800493,0.445886148456569,0.443205773527755,0.389127493192788,0.387576037051088,0.98252,0.98012,104
"6",1,0.61488,0.3864,0,0,56.14296,57.98148,0.473947319882375,0.462661450173589,0.340054648284304,0.348773098812668,0.452840342313509,0.450170733850223,0.392742746369115,0.391176562185535,0.983,0.98272,105
"7",1,0.6452,0.41096,0,0,53.92016,55.84952,0.484132173039535,0.472718764157855,0.33967891742066,0.348604444299101,0.459621657707978,0.457088242530657,0.396501734701955,0.39502512543608,0.98284,0.98228,106
"8",1,0.67372,0.43516,0,0,51.74848,53.76324,0.494292359915227,0.482825103177584,0.339504522441377,0.348323088430667,0.466278535839407,0.463879820167924,0.400245475476434,0.398799026888165,0.98368,0.9826,107
"9",1,0.70396,0.45984,0,0,49.49024,51.59456,0.504469559671798,0.493039812098687,NA,NA,0.472859676686007,0.470740579545206,0.404018355911284,0.402756183682419,0.983,0.9822,108
"10",1,0.73048,0.483,0,0,47.3688,49.55304,0.514568382796381,0.503024597451247,NA,NA,0.479312212767982,0.477378130160107,0.407926914511505,0.406734559447147,0.98348,0.98224,109
"11",1,0.00292,0.0022,0,0,99.9636,99.97144,0.479908845112524,0.479894203352972,0.388948588191228,0.388966308976295,0.47336902076994,0.473365030493244,0.4000614911645,0.400059476746296,0.973,0.97292,10
"12",1,0.7572,0.50544,0,0,45.21576,47.47992,0.52529723313017,0.513412357151515,NA,NA,0.485831176485154,0.484034934681184,0.411952132445556,0.410786782696184,0.98468,0.98356,110
"13",1,0.78252,0.52544,0,0,43.0608,45.40028,0.536892467169798,0.524198456083326,NA,NA,0.492511778146382,0.490730680522429,0.416237188119211,0.415009095824399,0.98412,0.9834,111
"14",1,0.80796,0.5458,0,0,40.73848,43.15364,0.550085005528783,0.536327895982594,NA,NA,0.499499998296403,0.497873677459963,0.420962842914174,0.419758915894476,0.98252,0.98112,112
"15",1,0.82784,0.55844,0,0,38.18344,40.65848,0.568434880787347,0.549950571147969,NA,NA,0.506864633688702,0.504625014865404,0.426047507503083,0.424362681164344,0.98352,0.98128,113
"16",1,0.85076,0.56664,0,0,34.99,37.53384,0.592040476901773,0.567535999049506,NA,NA,0.513941118519011,0.511941305386867,0.43127606407115,0.429647283977926,0.98272,0.98104,114
"17",1,0.87304,0.60296,0,0,31.80568,34.4158,0.61713144068201,0.584338880961472,NA,NA,0.520423498971488,0.518557817451321,0.436269566270441,0.434677667537401,0.98232,0.9812,115
"18",1,0.898,0.59952,0,0,27.45328,30.13964,0.642366179597253,0.600760532899901,NA,NA,0.524736516596922,0.523765901216429,0.439887082746385,0.439008425862167,0.98148,0.98068,116
"19",1,0.92504,0.62928,0,0,21.70104,24.47016,0.701927965074644,0.624262897191404,NA,NA,0.52672890986814,0.526770895516966,0.442573494597406,0.442286613754001,0.98232,0.98176,117
"20",1,0.94072,0.6466,0,0,18.54768,21.36488,0.710544644212361,0.632160364021625,NA,NA,0.527483895455061,0.529223822311416,0.443755978023398,0.444760202401865,0.98124,0.9816,118
"21",1,0.95404,0.63768,0,0,15.28864,18.14684,0.74153933962765,0.64105704870417,NA,NA,0.522490573987141,0.527420791429858,0.440486055557655,0.44386717854859,0.9802,0.97932,119
"22",1,0.00408,0.00304,0,0,99.948,99.95868,0.489922069444941,0.489906834613199,0.388905540804522,0.388933905134249,0.480765267727502,0.480764651141266,0.403005172653396,0.403007431352537,0.97148,0.9714,11
"23",1,0.96584,0.71536,0,0,12.88648,15.78092,0.762449124058905,0.649804877398018,NA,NA,0.522251443435146,0.529251950011674,0.440924052312518,0.445780132015885,0.97872,0.9776,120
"24",1,0.97472,0.74672,0,0,11.26184,14.18348,0.7683176390425,0.657109790850733,NA,NA,0.522905465388718,0.531664993227015,0.441830705483045,0.447933335546984,0.9752,0.97192,121
"25",1,0.98076,0.78656,0,0,9.90768,12.84792,0.772453586865818,0.663917602642551,NA,NA,0.522964656067252,0.533777577157529,0.442299232858687,0.449900352654079,0.97296,0.96456,122
"26",1,0.98748,0.78952,0,0,8.16456,11.1254,0.773647393001365,0.668222827580035,NA,NA,0.521449913492143,0.534521501420339,0.441654310803864,0.450945935517169,0.96204,0.93988,123
"27",1,0.99148,0.78872,0,0,6.75288,9.72636,0.77047718174027,0.670689456789943,NA,NA,0.517968615794317,0.533911763174845,0.439360239831568,0.450824577037561,0.93896,0.87212,124
"28",1,0.99324,0.80436,0,0,6.36128,9.3396,0.776758398183036,0.678692821136314,NA,NA,0.519052828588267,0.536703624429751,0.440288161103597,0.452977121819836,0.748,0.72948,125
