"","p.IP","p.PC","freq.mntr","enr.shape","out.mean","fut.mix.prob","eff.mix.prob","inf.mix.prob","cred.tail","max.ss","min.ss","reps"
"1",0.39,0.39,10,1,4,0,10,0.5,0.05,100,70,25
"2",0.45,0.39,10,1,4,0,10,0.5,0.05,100,70,25
"3",0.51,0.39,10,1,4,0,10,0.5,0.05,100,70,25
"4",0.57,0.39,10,1,4,0,10,0.5,0.05,100,70,25
"5",0.63,0.39,10,1,4,0,10,0.5,0.05,100,70,25
"6",0.39,0.39,10,1,4,0,10,0.5,0.05,100,70,25
"7",0.45,0.39,10,1,4,0,10,0.5,0.05,100,70,25
"8",0.51,0.39,10,1,4,0,10,0.5,0.05,100,70,25
"9",0.57,0.39,10,1,4,0,10,0.5,0.05,100,70,25
"10",0.63,0.39,10,1,4,0,10,0.5,0.05,100,70,25
"11",0.39,0.39,10,1,4,0,10,0.5,0.05,100,70,25
"12",0.45,0.39,10,1,4,0,10,0.5,0.05,100,70,25
"13",0.51,0.39,10,1,4,0,10,0.5,0.05,100,70,25
"14",0.57,0.39,10,1,4,0,10,0.5,0.05,100,70,25
"15",0.63,0.39,10,1,4,0,10,0.5,0.05,100,70,25
"16",0.39,0.39,10,1,4,0,10,0.5,0.05,100,70,25
"17",0.45,0.39,10,1,4,0,10,0.5,0.05,100,70,25
"18",0.51,0.39,10,1,4,0,10,0.5,0.05,100,70,25
"19",0.57,0.39,10,1,4,0,10,0.5,0.05,100,70,25
"20",0.63,0.39,10,1,4,0,10,0.5,0.05,100,70,25
"21",0.39,0.39,10,1,4,0,10,0.5,0.05,100,70,25
"22",0.45,0.39,10,1,4,0,10,0.5,0.05,100,70,25
"23",0.51,0.39,10,1,4,0,10,0.5,0.05,100,70,25
"24",0.57,0.39,10,1,4,0,10,0.5,0.05,100,70,25
"25",0.63,0.39,10,1,4,0,10,0.5,0.05,100,70,25
"26",0.39,0.39,10,1,4,0,10,0.5,0.05,100,70,25
"27",0.45,0.39,10,1,4,0,10,0.5,0.05,100,70,25
"28",0.51,0.39,10,1,4,0,10,0.5,0.05,100,70,25
"29",0.57,0.39,10,1,4,0,10,0.5,0.05,100,70,25
"30",0.63,0.39,10,1,4,0,10,0.5,0.05,100,70,25
"31",0.39,0.39,10,1,4,0,10,0.5,0.05,100,70,25
"32",0.45,0.39,10,1,4,0,10,0.5,0.05,100,70,25
"33",0.51,0.39,10,1,4,0,10,0.5,0.05,100,70,25
"34",0.57,0.39,10,1,4,0,10,0.5,0.05,100,70,25
"35",0.63,0.39,10,1,4,0,10,0.5,0.05,100,70,25
"36",0.39,0.39,10,1,4,0,10,0.5,0.05,100,70,25
"37",0.45,0.39,10,1,4,0,10,0.5,0.05,100,70,25
"38",0.51,0.39,10,1,4,0,10,0.5,0.05,100,70,25
"39",0.57,0.39,10,1,4,0,10,0.5,0.05,100,70,25
"40",0.63,0.39,10,1,4,0,10,0.5,0.05,100,70,25
"41",0.39,0.39,10,1,4,0,10,0.5,0.05,100,70,25
"42",0.45,0.39,10,1,4,0,10,0.5,0.05,100,70,25
"43",0.51,0.39,10,1,4,0,10,0.5,0.05,100,70,25
"44",0.57,0.39,10,1,4,0,10,0.5,0.05,100,70,25
"45",0.63,0.39,10,1,4,0,10,0.5,0.05,100,70,25
"46",0.39,0.39,10,1,4,0,10,0.5,0.05,100,70,25
"47",0.45,0.39,10,1,4,0,10,0.5,0.05,100,70,25
"48",0.51,0.39,10,1,4,0,10,0.5,0.05,100,70,25
"49",0.57,0.39,10,1,4,0,10,0.5,0.05,100,70,25
"50",0.63,0.39,10,1,4,0,10,0.5,0.05,100,70,25
"51",0.39,0.39,10,1,4,0,10,0.5,0.05,100,70,25
"52",0.45,0.39,10,1,4,0,10,0.5,0.05,100,70,25
"53",0.51,0.39,10,1,4,0,10,0.5,0.05,100,70,25
"54",0.57,0.39,10,1,4,0,10,0.5,0.05,100,70,25
"55",0.63,0.39,10,1,4,0,10,0.5,0.05,100,70,25
"56",0.39,0.39,10,1,4,0,10,0.5,0.05,100,70,25
"57",0.45,0.39,10,1,4,0,10,0.5,0.05,100,70,25
"58",0.51,0.39,10,1,4,0,10,0.5,0.05,100,70,25
"59",0.57,0.39,10,1,4,0,10,0.5,0.05,100,70,25
"60",0.63,0.39,10,1,4,0,10,0.5,0.05,100,70,25
"61",0.39,0.39,10,1,4,0,10,0.5,0.05,100,70,25
"62",0.45,0.39,10,1,4,0,10,0.5,0.05,100,70,25
"63",0.51,0.39,10,1,4,0,10,0.5,0.05,100,70,25
"64",0.57,0.39,10,1,4,0,10,0.5,0.05,100,70,25
"65",0.63,0.39,10,1,4,0,10,0.5,0.05,100,70,25
"66",0.39,0.39,10,1,4,0,10,0.5,0.05,100,70,25
"67",0.45,0.39,10,1,4,0,10,0.5,0.05,100,70,25
"68",0.51,0.39,10,1,4,0,10,0.5,0.05,100,70,25
"69",0.57,0.39,10,1,4,0,10,0.5,0.05,100,70,25
"70",0.63,0.39,10,1,4,0,10,0.5,0.05,100,70,25
"71",0.39,0.39,10,1,4,0,10,0.5,0.05,100,70,25
"72",0.45,0.39,10,1,4,0,10,0.5,0.05,100,70,25
"73",0.51,0.39,10,1,4,0,10,0.5,0.05,100,70,25
"74",0.57,0.39,10,1,4,0,10,0.5,0.05,100,70,25
"75",0.63,0.39,10,1,4,0,10,0.5,0.05,100,70,25
"76",0.39,0.39,10,1,4,0,10,0.5,0.05,100,70,25
"77",0.45,0.39,10,1,4,0,10,0.5,0.05,100,70,25
"78",0.51,0.39,10,1,4,0,10,0.5,0.05,100,70,25
"79",0.57,0.39,10,1,4,0,10,0.5,0.05,100,70,25
"80",0.63,0.39,10,1,4,0,10,0.5,0.05,100,70,25
"81",0.39,0.39,10,1,4,0,10,0.5,0.05,100,70,25
"82",0.45,0.39,10,1,4,0,10,0.5,0.05,100,70,25
"83",0.51,0.39,10,1,4,0,10,0.5,0.05,100,70,25
"84",0.57,0.39,10,1,4,0,10,0.5,0.05,100,70,25
"85",0.63,0.39,10,1,4,0,10,0.5,0.05,100,70,25
"86",0.39,0.39,10,1,4,0,10,0.5,0.05,100,70,25
"87",0.45,0.39,10,1,4,0,10,0.5,0.05,100,70,25
"88",0.51,0.39,10,1,4,0,10,0.5,0.05,100,70,25
"89",0.57,0.39,10,1,4,0,10,0.5,0.05,100,70,25
"90",0.63,0.39,10,1,4,0,10,0.5,0.05,100,70,25
