"","X","eff.mon.initial","eff.mon.final","fut.mon.initial","fut.mon.final","ss.initial","ss.final","mle.initial.IP","mle.final.IP","mle.initial.PC","mle.final.PC","post.mean.initial.IP","post.mean.final.IP","post.mean.initial.PC","post.mean.final.PC","cov.initial","cov.final","idx"
"1",1,0.932,0.882,0,0,73.662,76.447,0.628034647248865,0.628044489833685,0.38341309642373,0.384208082286772,0.440096365179955,0.439680337075897,0.137673263599911,0.138711008331296,0.005,0.005,100
"2",1,0.235,0.179,0,0,94.106,94.794,0.397920211147001,0.397181267931902,0.380618766386308,0.38177833561918,0.369302019339443,0.369477400234618,0.0454972698271218,0.0450547910499726,0.978,0.975,101
"3",1,0.265,0.208,0,0,93.348,94.128,0.407443049953001,0.406751689767433,0.380121167451408,0.381223591387672,0.371604972872414,0.371727722054809,0.0499423572619273,0.0495827755745573,0.975,0.974,102
"4",1,0.298,0.236,0,0,92.43,93.305,0.417892180788686,0.417244903340249,0.37957650676132,0.380758623279236,0.374131363221182,0.374276200990377,0.0548102732396493,0.0544836246235782,0.974,0.974,103
"5",1,0.331,0.263,0,0,91.492,92.467,0.428009892765654,0.427265836004027,0.378950642699534,0.380450828600245,0.376546178614212,0.376799572959165,0.0595210547806819,0.0590792112777768,0.962,0.961,104
"6",1,0.374,0.297,0,0,90.254,91.361,0.43939707807574,0.438277573491888,0.378768068044191,0.380314257604765,0.379543459616067,0.379695002905623,0.0646060353860414,0.0640382679006297,0.941,0.936,105
"7",1,0.412,0.326,0,0,89.388,90.599,0.449373500966599,0.448054540659475,0.378406186725718,0.379945601735939,0.382104494003775,0.382168298436961,0.0690663086573493,0.0684615684545967,0.926,0.924,106
"8",1,0.453,0.365,0,0,88.416,89.756,0.459455994862826,0.45805586736134,0.378168035416109,0.37983210543117,0.384756752039216,0.384822574418936,0.0735846137861311,0.0729505468471195,0.868,0.869,107
"9",1,0.495,0.403,0,0,87.412,88.867,0.470095556032054,0.468658622779361,0.378159644762477,0.37973683309746,0.387699640399054,0.387688981883151,0.0781926201413227,0.0776005093379628,0.84,0.84,108
"10",1,0.526,0.436,0,0,86.306,87.857,0.480525980216126,0.479098762466602,0.378025072730003,0.379664237637169,0.390613376309095,0.390594870240513,0.0826349683060795,0.0820899784063663,0.766,0.767,109
"11",1,0.004,0.003,0,0,99.972,99.984,0.483967405447831,0.483933277232279,0.387376101013906,0.387361609934781,0.393222912893164,0.393200122447399,0.0853965907025544,0.0853950443029054,0.693,0.693,10
"12",1,0.574,0.491,0,0,85.156,86.848,0.490832326061466,0.489280689137533,0.378038287601482,0.379613967413098,0.393546454250571,0.393433317846998,0.087004342519354,0.0864876935777642,0.743,0.738,110
"13",1,0.618,0.531,0,0,83.812,85.646,0.5014232573541,0.50013689878922,0.378121376985338,0.379569384809921,0.396637686586372,0.396504618141449,0.0914365868501458,0.0911179310404839,0.649,0.653,111
"14",1,0.671,0.58,0,0,82.154,84.143,0.512545576195102,0.511102421238227,0.377596540409956,0.379357175256443,0.399654060864557,0.399590768387762,0.0961661507429086,0.095758933306012,0.624,0.622,112
"15",1,0.639,0.563,0,0,82.928,84.826,0.509760751676757,0.50921901149951,0.378773018788388,0.380170570562731,0.39954839354356,0.399536960730705,0.0944739036412356,0.0945531241815775,0.466,0.456,113
"16",1,0.68,0.6,0,0,81.778,83.796,0.52031225341474,0.519337776337466,0.379047126488299,0.380228076665624,0.402812603304892,0.402537776122407,0.0986933995528488,0.0987058463678904,0.439,0.428,114
"17",1,0.714,0.641,0,0,80.63,82.748,0.529698087390741,0.529059477544132,0.379559215106816,0.380650089629705,0.40589941834787,0.405666820205865,0.102295784980307,0.102520242617805,0.34,0.316,115
"18",1,0.752,0.683,0,0,79.518,81.751,0.54049020809699,0.540080570547129,0.379666991425226,0.380956171984117,0.40926886325761,0.409186574318376,0.106535343888066,0.106836279870587,0.327,0.3,116
"19",1,0.798,0.721,0,0,78.396,80.761,0.550620624212174,0.550337573337363,0.379692287031176,0.381150811369524,0.41241648698133,0.412446643021267,0.110458741282834,0.110798581372122,0.206,0.195,117
