"","X","p.agree","efficacy","conditional","idx"
"1",1,0.95,0.882,0.946351931330472,100
"2",1,0.944,0.179,0.761702127659574,101
"3",1,0.943,0.208,0.784905660377359,102
"4",1,0.938,0.236,0.791946308724832,103
"5",1,0.932,0.263,0.794561933534743,104
"6",1,0.923,0.297,0.794117647058823,105
"7",1,0.914,0.326,0.79126213592233,106
"8",1,0.912,0.365,0.805739514348786,107
"9",1,0.908,0.403,0.814141414141414,108
"10",1,0.91,0.436,0.828897338403042,109
"11",1,0.999,0.003,0.75,10
"12",1,0.917,0.491,0.855400696864111,110
"13",1,0.913,0.531,0.859223300970874,111
"14",1,0.909,0.58,0.864381520119225,112
"15",1,0.924,0.563,0.881064162754304,113
"16",1,0.92,0.6,0.882352941176471,114
"17",1,0.927,0.641,0.897759103641457,115
"18",1,0.931,0.683,0.908244680851064,116
"19",1,0.923,0.721,0.903508771929825,117
"20",1,0.916,0.744,0.898550724637681,118
"21",1,0.935,0.785,0.923529411764706,119
"22",1,0.999,0.003,0.75,11
"23",1,0.943,0.811,0.934331797235023,120
"24",1,0.942,0.84,0.935412026726058,121
"25",1,0.951,0.87,0.946681175190424,122
"26",1,0.965,0.902,0.96264674493063,123
"27",1,0.974,0.926,0.972689075630252,124
"28",1,0.972,0.936,0.970954356846473,125
"29",1,0.998,0.003,0.6,12
"30",1,0.998,0.01,0.833333333333333,13
"31",1,0.996,0.011,0.733333333333333,14
"32",1,0.997,0.014,0.823529411764706,15
"33",1,0.995,0.022,0.814814814814815,16
"34",1,0.994,0.027,0.818181818181818,17
"35",1,0.989,0.03,0.731707317073171,18
"36",1,0.985,0.038,0.716981132075472,19
"37",1,1,0,NA,1
"38",1,0.986,0.05,0.78125,20
"39",1,0.986,0.064,0.82051282051282,21
"40",1,0.984,0.08,0.833333333333333,22
"41",1,0.981,0.097,0.836206896551724,23
"42",1,0.982,0.112,0.861538461538462,24
"43",1,0.981,0.132,0.874172185430464,25
"44",1,0.994,0.002,0.25,26
"45",1,0.996,0.006,0.6,27
"46",1,0.995,0.01,0.666666666666667,28
"47",1,0.994,0.015,0.714285714285714,29
"48",1,1,0,NA,2
"49",1,0.993,0.016,0.695652173913043,30
"50",1,0.993,0.025,0.78125,31
"51",1,0.993,0.035,0.833333333333333,32
"52",1,0.989,0.042,0.792452830188679,33
"53",1,0.983,0.053,0.757142857142857,34
"54",1,0.977,0.066,0.741573033707865,35
"55",1,0.973,0.083,0.754545454545455,36
"56",1,0.968,0.099,0.755725190839695,37
"57",1,0.964,0.094,0.723076923076923,38
"58",1,0.951,0.113,0.697530864197531,39
"59",1,1,0,NA,3
"60",1,0.953,0.141,0.75,40
"61",1,0.945,0.169,0.754464285714286,41
"62",1,0.946,0.214,0.798507462686567,42
"63",1,0.935,0.24,0.786885245901639,43
"64",1,0.934,0.287,0.813031161473088,44
"65",1,0.93,0.333,0.826302729528536,45
"66",1,0.922,0.367,0.824719101123595,46
"67",1,0.921,0.415,0.840080971659919,47
"68",1,0.916,0.454,0.843866171003718,48
"69",1,0.917,0.503,0.858361774744027,49
"70",1,1,0,NA,4
"71",1,0.912,0.549,0.861852433281005,50
"72",1,0.985,0.02,0.571428571428571,51
"73",1,0.989,0.031,0.738095238095238,52
"74",1,0.983,0.039,0.696428571428571,53
"75",1,0.983,0.05,0.746268656716418,54
"76",1,0.975,0.061,0.709302325581395,55
"77",1,0.966,0.078,0.696428571428571,56
"78",1,0.968,0.098,0.753846153846154,57
"79",1,0.951,0.116,0.703030303030303,58
"80",1,0.952,0.142,0.747368421052632,59
"81",1,1,0,NA,5
"82",1,0.945,0.163,0.747706422018349,60
"83",1,0.935,0.189,0.744094488188976,61
"84",1,0.929,0.229,0.763333333333333,62
"85",1,0.927,0.227,0.756666666666667,63
"86",1,0.912,0.264,0.75,64
"87",1,0.909,0.306,0.770780856423174,65
"88",1,0.903,0.345,0.780542986425339,66
"89",1,0.897,0.385,0.788934426229508,67
"90",1,0.906,0.436,0.822641509433962,68
"91",1,0.896,0.471,0.819130434782609,69
"92",1,1,0,NA,6
"93",1,0.909,0.532,0.853932584269663,70
"94",1,0.898,0.561,0.846153846153846,71
"95",1,0.912,0.62,0.875706214689266,72
"96",1,0.919,0.667,0.891711229946524,73
"97",1,0.92,0.702,0.89769820971867,74
"98",1,0.911,0.736,0.892121212121212,75
"99",1,0.967,0.078,0.702702702702703,76
"100",1,0.961,0.098,0.715328467153285,77
"101",1,0.952,0.111,0.69811320754717,78
"102",1,0.941,0.127,0.682795698924731,79
"103",1,1,0,NA,7
"104",1,0.938,0.16,0.720720720720721,80
"105",1,0.934,0.194,0.746153846153846,81
"106",1,0.93,0.225,0.76271186440678,82
"107",1,0.937,0.268,0.809667673716012,83
"108",1,0.937,0.306,0.829268292682927,84
"109",1,0.942,0.354,0.859223300970874,85
"110",1,0.921,0.392,0.832271762208068,86
"111",1,0.911,0.433,0.829501915708812,87
"112",1,0.915,0.429,0.834630350194553,88
"113",1,0.922,0.476,0.859205776173285,89
"114",1,0.999,0,0,8
"115",1,0.902,0.512,0.839344262295082,90
"116",1,0.906,0.565,0.857359635811836,91
"117",1,0.913,0.613,0.875714285714286,92
"118",1,0.93,0.667,0.905020352781547,93
"119",1,0.924,0.698,0.901808785529716,94
"120",1,0.927,0.729,0.908977556109726,95
"121",1,0.927,0.763,0.912679425837321,96
"122",1,0.934,0.799,0.923699421965318,97
"123",1,0.933,0.829,0.925223214285714,98
"124",1,0.949,0.863,0.944201312910284,99
"125",1,0.999,0.003,0.75,9
