"","X1","X2","X3","X4","X5","X6","X7","X8","X9","X10","X11","X12","X13","X14","X15","X16","X17","X18","X19","X20","X21","X22","X23","X24","X25","idx"
"eff.mon.initial",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,58
"eff.mon.final",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,58
"fut.mon.initial",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,58
"fut.mon.final",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,58
"ss.initial",100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,80,100,100,100,58
"ss.final",100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,83,100,100,100,58
"mle.initial.IP",0.551724137931034,0.431034482758621,0.46551724137931,0.551724137931034,0.53448275862069,0.413793103448276,0.568965517241379,0.482758620689655,0.482758620689655,0.46551724137931,0.568965517241379,0.482758620689655,0.46551724137931,0.482758620689655,0.46551724137931,0.517241379310345,0.46551724137931,0.379310344827586,0.517241379310345,0.46551724137931,0.5,0.717391304347826,0.46551724137931,0.482758620689655,0.413793103448276,58
"mle.final.IP",0.551724137931034,0.431034482758621,0.46551724137931,0.551724137931034,0.53448275862069,0.413793103448276,0.568965517241379,0.482758620689655,0.482758620689655,0.46551724137931,0.568965517241379,0.482758620689655,0.46551724137931,0.482758620689655,0.46551724137931,0.517241379310345,0.46551724137931,0.379310344827586,0.517241379310345,0.46551724137931,0.5,0.708333333333333,0.46551724137931,0.482758620689655,0.413793103448276,58
"mle.initial.PC",0.285714285714286,0.357142857142857,0.452380952380952,0.357142857142857,0.357142857142857,0.428571428571429,0.428571428571429,0.333333333333333,0.428571428571429,0.547619047619048,0.452380952380952,0.452380952380952,0.404761904761905,0.333333333333333,0.476190476190476,0.357142857142857,0.380952380952381,0.333333333333333,0.5,0.285714285714286,0.428571428571429,0.382352941176471,0.380952380952381,0.428571428571429,0.333333333333333,58
"mle.final.PC",0.285714285714286,0.357142857142857,0.452380952380952,0.357142857142857,0.357142857142857,0.428571428571429,0.428571428571429,0.333333333333333,0.428571428571429,0.547619047619048,0.452380952380952,0.452380952380952,0.404761904761905,0.333333333333333,0.476190476190476,0.357142857142857,0.380952380952381,0.333333333333333,0.5,0.285714285714286,0.428571428571429,0.371428571428571,0.380952380952381,0.428571428571429,0.333333333333333,58
"post.mean.initial.IP",0.357753430060118,0.369308671558678,0.433040658552315,0.399613273874583,0.395000158639978,0.40561474255661,0.445669174941245,0.367575374138607,0.4239347823565,0.485339730153478,0.459481942246332,0.437568553306424,0.405815116459403,0.367575374138607,0.446350258608684,0.390529164842951,0.391861568391514,0.342340201225535,0.473736564412966,0.334037347401293,0.428257246283286,0.469688930070903,0.391861568391514,0.4239347823565,0.35088587368308,58
"post.mean.final.IP",0.357753430060118,0.369308671558678,0.433040658552315,0.399613273874583,0.395000158639978,0.40561474255661,0.445669174941245,0.367575374138607,0.4239347823565,0.485339730153478,0.459481942246332,0.437568553306424,0.405815116459403,0.367575374138607,0.446350258608684,0.390529164842951,0.391861568391514,0.342340201225535,0.473736564412966,0.334037347401293,0.428257246283286,0.460756396071857,0.391861568391514,0.4239347823565,0.35088587368308,58
"post.mean.initial.PC",0.145881437808285,0.0608641084914279,0.0407744577788022,0.119873574483687,0.111879309581816,0.0257826282770258,0.100638875176018,0.0965600601989017,0.0580271691946168,0.00830114480999469,0.0912820240625674,0.0488835342844063,0.0589071804062033,0.0965600601989017,0.032196291297269,0.103673910839571,0.0684110265464543,0.0449044165645714,0.0472547163753328,0.108009094153764,0.0665053624690217,0.167790381663713,0.0684110265464543,0.0580271691946168,0.0620101377776009,58
"post.mean.final.PC",0.145881437808285,0.0608641084914279,0.0407744577788022,0.119873574483687,0.111879309581816,0.0257826282770258,0.100638875176018,0.0965600601989017,0.0580271691946168,0.00830114480999469,0.0912820240625674,0.0488835342844063,0.0589071804062033,0.0965600601989017,0.032196291297269,0.103673910839571,0.0684110265464543,0.0449044165645714,0.0472547163753328,0.108009094153764,0.0665053624690217,0.169250553173207,0.0684110265464543,0.0580271691946168,0.0620101377776009,58
"cov.initial",0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,58
"cov.final",0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,58
"eff.mix.prob",0.608595809699098,0.917388513500007,1,0.375303563515781,0.369535857812137,1,0.418375601468349,0.450248032871332,0.980352937231569,1,0.507697370305282,1,0.966392859358124,0.450248032871332,1,0.396576718311821,0.794031584810179,1,1,0.442685914495986,0.827572455211835,0.820640406785474,0.794031584810179,0.980352937231569,0.898828163599564,58
