"","X","p.agree","efficacy","conditional","idx"
"1",1,1,0.64,1,100
"2",1,1,0,NA,101
"3",1,1,0.04,1,102
"4",1,1,0.08,1,103
"5",1,1,0.24,1,104
"6",1,1,0.64,1,105
"7",1,1,0,NA,106
"8",1,1,0.04,1,107
"9",1,1,0.08,1,108
"10",1,1,0.24,1,109
"11",1,0.964,0.396,0.916666666666667,10
"12",1,1,0.64,1,110
"13",1,1,0,NA,111
"14",1,1,0.04,1,112
"15",1,1,0.08,1,113
"16",1,1,0.24,1,114
"17",1,1,0.64,1,115
"18",1,1,0,NA,116
"19",1,1,0.04,1,117
"20",1,1,0.08,1,118
"21",1,1,0.24,1,119
"22",1,0.997,0.005,0.625,11
"23",1,1,0.64,1,120
"24",1,1,0,NA,121
"25",1,1,0.04,1,122
"26",1,1,0.08,1,123
"27",1,1,0.24,1,124
"28",1,1,0.64,1,125
"29",1,1,0,NA,126
"30",1,1,0.04,1,127
"31",1,1,0.08,1,128
"32",1,1,0.24,1,129
"33",1,0.986,0.033,0.702127659574468,12
"34",1,1,0.64,1,130
"35",1,1,0,NA,131
"36",1,1,0.04,1,132
"37",1,1,0.08,1,133
"38",1,1,0.24,1,134
"39",1,1,0.64,1,135
"40",1,1,0,NA,136
"41",1,1,0.04,1,137
"42",1,1,0.08,1,138
"43",1,1,0.24,1,139
"44",1,0.973,0.143,0.841176470588235,13
"45",1,1,0.64,1,140
"46",1,1,0,NA,141
"47",1,1,0.04,1,142
"48",1,1,0.08,1,143
"49",1,1,0.24,1,144
"50",1,1,0.64,1,145
"51",1,1,0,NA,146
"52",1,1,0.04,1,147
"53",1,1,0.08,1,148
"54",1,1,0.24,1,149
"55",1,0.956,0.329,0.882037533512064,14
"56",1,1,0.64,1,150
"57",1,1,0,NA,151
"58",1,1,0.04,1,152
"59",1,1,0.08,1,153
"60",1,1,0.24,1,154
"61",1,1,0.64,1,155
"62",1,1,0,NA,156
"63",1,1,0.04,1,157
"64",1,1,0.08,1,158
"65",1,1,0.24,1,159
"66",1,0.944,0.586,0.912772585669782,15
"67",1,1,0.64,1,160
"68",1,1,0,NA,161
"69",1,1,0.04,1,162
"70",1,1,0.08,1,163
"71",1,1,0.24,1,164
"72",1,1,0.64,1,165
"73",1,1,0,NA,166
"74",1,1,0.04,1,167
"75",1,1,0.08,1,168
"76",1,1,0.24,1,169
"77",1,0.995,0.042,0.893617021276596,16
"78",1,1,0.64,1,170
"79",1,1,0,NA,171
"80",1,1,0.04,1,172
"81",1,1,0.08,1,173
"82",1,1,0.24,1,174
"83",1,1,0.64,1,175
"84",1,1,0,NA,176
"85",1,1,0.04,1,177
"86",1,1,0.08,1,178
"87",1,1,0.24,1,179
"88",1,0.973,0.144,0.842105263157895,17
"89",1,1,0.64,1,180
"90",1,1,0,NA,181
"91",1,1,0.04,1,182
"92",1,1,0.08,1,183
"93",1,1,0.24,1,184
"94",1,1,0.64,1,185
"95",1,1,0,NA,186
"96",1,1,0.04,1,187
"97",1,1,0.08,1,188
"98",1,1,0.24,1,189
"99",1,0.948,0.302,0.853107344632768,18
"100",1,1,0.64,1,190
"101",1,1,0,NA,191
"102",1,1,0.04,1,192
"103",1,1,0.08,1,193
"104",1,1,0.24,1,194
"105",1,1,0.64,1,195
"106",1,1,0,NA,196
"107",1,1,0.04,1,197
"108",1,1,0.08,1,198
"109",1,1,0.24,1,199
"110",1,0.956,0.566,0.927868852459016,19
"111",1,1,0,NA,1
"112",1,1,0.64,1,200
"113",1,1,0,NA,201
"114",1,1,0.04,1,202
"115",1,1,0.08,1,203
"116",1,1,0.24,1,204
"117",1,1,0.64,1,205
"118",1,1,0,NA,206
"119",1,1,0.04,1,207
"120",1,1,0.08,1,208
"121",1,1,0.24,1,209
"122",1,0.95,0.778,0.939613526570048,20
"123",1,1,0.64,1,210
"124",1,1,0,NA,211
"125",1,1,0.04,1,212
"126",1,1,0.08,1,213
"127",1,1,0.24,1,214
"128",1,1,0.64,1,215
"129",1,1,0,NA,216
"130",1,1,0.04,1,217
"131",1,1,0.08,1,218
"132",1,1,0.24,1,219
"133",1,0.994,0.035,0.853658536585366,21
"134",1,1,0.64,1,220
"135",1,1,0,NA,221
"136",1,1,0.04,1,222
"137",1,1,0.08,1,223
"138",1,1,0.24,1,224
"139",1,1,0.64,1,225
"140",1,0.971,0.131,0.81875,22
"141",1,0.952,0.286,0.856287425149701,23
"142",1,0.946,0.539,0.90893760539629,24
"143",1,0.959,0.768,0.949320148331273,25
"144",1,1,0,NA,26
"145",1,1,0.04,1,27
"146",1,1,0.08,1,28
"147",1,1,0.24,1,29
"148",1,1,0,NA,2
"149",1,1,0.64,1,30
"150",1,1,0,NA,31
"151",1,1,0.04,1,32
"152",1,1,0.08,1,33
"153",1,1,0.24,1,34
"154",1,1,0.64,1,35
"155",1,1,0,NA,36
"156",1,1,0.04,1,37
"157",1,1,0.08,1,38
"158",1,1,0.24,1,39
"159",1,0.999,0.005,0.833333333333333,3
"160",1,1,0.64,1,40
"161",1,1,0,NA,41
"162",1,1,0.04,1,42
"163",1,1,0.08,1,43
"164",1,1,0.24,1,44
"165",1,1,0.64,1,45
"166",1,1,0,NA,46
"167",1,1,0.04,1,47
"168",1,1,0.08,1,48
"169",1,1,0.24,1,49
"170",1,0.995,0.022,0.814814814814815,4
"171",1,1,0.64,1,50
"172",1,1,0,NA,51
"173",1,1,0.04,1,52
"174",1,1,0.08,1,53
"175",1,1,0.24,1,54
"176",1,1,0.64,1,55
"177",1,1,0,NA,56
"178",1,1,0.04,1,57
"179",1,1,0.08,1,58
"180",1,1,0.24,1,59
"181",1,0.995,0.085,0.944444444444444,5
"182",1,1,0.64,1,60
"183",1,1,0,NA,61
"184",1,1,0.04,1,62
"185",1,1,0.08,1,63
"186",1,1,0.24,1,64
"187",1,1,0.64,1,65
"188",1,1,0,NA,66
"189",1,1,0.04,1,67
"190",1,1,0.08,1,68
"191",1,1,0.24,1,69
"192",1,1,0,NA,6
"193",1,1,0.64,1,70
"194",1,1,0,NA,71
"195",1,1,0.04,1,72
"196",1,1,0.08,1,73
"197",1,1,0.24,1,74
"198",1,1,0.64,1,75
"199",1,1,0,NA,76
"200",1,1,0.04,1,77
"201",1,1,0.08,1,78
"202",1,1,0.24,1,79
"203",1,0.996,0.008,0.666666666666667,7
"204",1,1,0.64,1,80
"205",1,1,0,NA,81
"206",1,1,0.04,1,82
"207",1,1,0.08,1,83
"208",1,1,0.24,1,84
"209",1,1,0.64,1,85
"210",1,1,0,NA,86
"211",1,1,0.04,1,87
