"","X1","X2","X3","X4","X5","X6","X7","X8","X9","X10","X11","X12","X13","X14","X15","X16","X17","X18","X19","X20","X21","X22","X23","X24","X25","X26","X27","X28","X29","X30","X31","X32","X33","X34","X35","X36","X37","X38","X39","X40","X41","X42","X43","X44","X45","X46","X47","X48","X49","X50","X51","X52","X53","X54","X55","X56","X57","X58","X59","X60","X61","X62","X63","idx"
"eff.mon.initial",1,1,1,0,0,1,0,0,0,0,0,1,1,1,0,1,1,0,0,0,0,0,0,0,1,1,0,0,1,1,1,0,0,1,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,1,1,0,1,0,0,119
"eff.mon.final",1,1,1,0,0,1,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,1,1,0,0,1,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,119
"fut.mon.initial",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,119
"fut.mon.final",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,119
"ss.initial",74,70,96,100,100,86,100,100,100,100,100,96,86,80,100,86,90,100,100,100,100,100,100,100,90,94,100,100,74,86,84,100,100,84,100,84,100,100,100,100,82,100,100,100,92,100,100,100,100,100,94,100,100,100,94,100,100,74,98,100,86,100,100,119
"ss.final",77,73,99,100,100,89,100,100,100,100,100,99,89,83,100,89,93,100,100,100,100,100,100,100,93,97,100,100,77,89,87,100,100,87,100,87,100,100,100,100,85,100,100,100,95,100,100,100,100,100,97,100,100,100,97,100,100,77,100,100,89,100,100,119
"mle.initial.IP",0.744186046511628,0.673913043478261,0.543859649122807,0.517241379310345,0.517241379310345,0.6,0.482758620689655,0.482758620689655,0.517241379310345,0.568965517241379,0.5,0.578947368421053,0.611111111111111,0.659574468085106,0.517241379310345,0.596153846153846,0.618181818181818,0.551724137931034,0.448275862068966,0.53448275862069,0.396551724137931,0.517241379310345,0.413793103448276,0.568965517241379,0.588235294117647,0.592592592592593,0.568965517241379,0.53448275862069,0.818181818181818,0.596153846153846,0.615384615384615,0.53448275862069,0.620689655172414,0.612244897959184,0.586206896551724,0.622641509433962,0.568965517241379,0.448275862068966,0.637931034482759,0.603448275862069,0.64,0.551724137931034,0.517241379310345,0.655172413793103,0.690909090909091,0.517241379310345,0.586206896551724,0.53448275862069,0.620689655172414,0.482758620689655,0.563636363636364,0.551724137931034,0.517241379310345,0.517241379310345,0.571428571428571,0.53448275862069,0.620689655172414,0.711111111111111,0.589285714285714,0.568965517241379,0.679245283018868,0.620689655172414,0.517241379310345,119
"mle.final.IP",0.75,0.659574468085106,0.53448275862069,0.517241379310345,0.517241379310345,0.596491228070175,0.482758620689655,0.482758620689655,0.517241379310345,0.568965517241379,0.5,0.568965517241379,0.618181818181818,0.645833333333333,0.517241379310345,0.611111111111111,0.607142857142857,0.551724137931034,0.448275862068966,0.53448275862069,0.396551724137931,0.517241379310345,0.413793103448276,0.568965517241379,0.584905660377358,0.607142857142857,0.568965517241379,0.53448275862069,0.822222222222222,0.60377358490566,0.62962962962963,0.53448275862069,0.620689655172414,0.62,0.586206896551724,0.611111111111111,0.568965517241379,0.448275862068966,0.637931034482759,0.603448275862069,0.653846153846154,0.551724137931034,0.517241379310345,0.655172413793103,0.690909090909091,0.517241379310345,0.586206896551724,0.53448275862069,0.620689655172414,0.482758620689655,0.543859649122807,0.551724137931034,0.517241379310345,0.517241379310345,0.568965517241379,0.53448275862069,0.620689655172414,0.666666666666667,0.586206896551724,0.568965517241379,0.666666666666667,0.620689655172414,0.517241379310345,119
"mle.initial.PC",0.387096774193548,0.125,0.282051282051282,0.380952380952381,0.380952380952381,0.290322580645161,0.476190476190476,0.261904761904762,0.357142857142857,0.428571428571429,0.285714285714286,0.358974358974359,0.28125,0.272727272727273,0.571428571428571,0.323529411764706,0.4,0.404761904761905,0.452380952380952,0.380952380952381,0.452380952380952,0.357142857142857,0.333333333333333,0.428571428571429,0.358974358974359,0.375,0.523809523809524,0.476190476190476,0.5,0.235294117647059,0.34375,0.380952380952381,0.523809523809524,0.228571428571429,0.428571428571429,0.354838709677419,0.404761904761905,0.404761904761905,0.452380952380952,0.428571428571429,0.25,0.476190476190476,0.380952380952381,0.547619047619048,0.459459459459459,0.380952380952381,0.452380952380952,0.428571428571429,0.523809523809524,0.357142857142857,0.333333333333333,0.5,0.404761904761905,0.404761904761905,0.342105263157895,0.380952380952381,0.523809523809524,0.344827586206897,0.380952380952381,0.428571428571429,0.424242424242424,0.476190476190476,0.333333333333333,119
"mle.final.PC",0.363636363636364,0.153846153846154,0.268292682926829,0.380952380952381,0.380952380952381,0.3125,0.476190476190476,0.261904761904762,0.357142857142857,0.428571428571429,0.285714285714286,0.390243902439024,0.294117647058824,0.285714285714286,0.571428571428571,0.314285714285714,0.405405405405405,0.404761904761905,0.452380952380952,0.380952380952381,0.452380952380952,0.357142857142857,0.333333333333333,0.428571428571429,0.375,0.365853658536585,0.523809523809524,0.476190476190476,0.5,0.222222222222222,0.363636363636364,0.380952380952381,0.523809523809524,0.243243243243243,0.428571428571429,0.333333333333333,0.404761904761905,0.404761904761905,0.452380952380952,0.428571428571429,0.242424242424242,0.476190476190476,0.380952380952381,0.547619047619048,0.45,0.380952380952381,0.452380952380952,0.428571428571429,0.523809523809524,0.357142857142857,0.35,0.5,0.404761904761905,0.404761904761905,0.333333333333333,0.380952380952381,0.523809523809524,0.344827586206897,0.380952380952381,0.428571428571429,0.428571428571429,0.476190476190476,0.333333333333333,119
