"","X1","X2","X3","X4","X5","X6","X7","X8","X9","X10","X11","X12","X13","X14","X15","X16","X17","X18","X19","X20","X21","X22","X23","X24","X25","idx"
"eff.mon.initial",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,121
"eff.mon.final",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,121
"fut.mon.initial",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,121
"fut.mon.final",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,121
"ss.initial",100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,121
"ss.final",100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,121
"mle.initial.IP",0.362068965517241,0.396551724137931,0.448275862068966,0.448275862068966,0.413793103448276,0.396551724137931,0.431034482758621,0.396551724137931,0.293103448275862,0.362068965517241,0.482758620689655,0.362068965517241,0.327586206896552,0.448275862068966,0.327586206896552,0.327586206896552,0.413793103448276,0.431034482758621,0.327586206896552,0.46551724137931,0.293103448275862,0.362068965517241,0.53448275862069,0.431034482758621,0.448275862068966,121
"mle.final.IP",0.362068965517241,0.396551724137931,0.448275862068966,0.448275862068966,0.413793103448276,0.396551724137931,0.431034482758621,0.396551724137931,0.293103448275862,0.362068965517241,0.482758620689655,0.362068965517241,0.327586206896552,0.448275862068966,0.327586206896552,0.327586206896552,0.413793103448276,0.431034482758621,0.327586206896552,0.46551724137931,0.293103448275862,0.362068965517241,0.53448275862069,0.431034482758621,0.448275862068966,121
"mle.initial.PC",0.452380952380952,0.30952380952381,0.333333333333333,0.404761904761905,0.404761904761905,0.285714285714286,0.285714285714286,0.380952380952381,0.380952380952381,0.333333333333333,0.333333333333333,0.380952380952381,0.285714285714286,0.261904761904762,0.428571428571429,0.452380952380952,0.357142857142857,0.523809523809524,0.5,0.452380952380952,0.380952380952381,0.476190476190476,0.30952380952381,0.357142857142857,0.428571428571429,121
"mle.final.PC",0.452380952380952,0.30952380952381,0.333333333333333,0.404761904761905,0.404761904761905,0.285714285714286,0.285714285714286,0.380952380952381,0.380952380952381,0.333333333333333,0.333333333333333,0.380952380952381,0.285714285714286,0.261904761904762,0.428571428571429,0.452380952380952,0.357142857142857,0.523809523809524,0.5,0.452380952380952,0.380952380952381,0.476190476190476,0.30952380952381,0.357142857142857,0.428571428571429,121
"post.mean.initial.IP",0.403113197743709,0.332250168976638,0.359182550124811,0.401457737142749,0.392384570824618,0.317443004856419,0.325593827999121,0.374357956993295,0.344185970699889,0.337894395586381,0.367575374138607,0.364858521087651,0.300702678964903,0.314655972837761,0.379970123068533,0.392370689962425,0.365059332796972,0.462043756205922,0.417023705907125,0.433040658552315,0.344185970699889,0.415542383720651,0.366848754768895,0.369308671558678,0.415023691579297,121
"post.mean.final.IP",0.403113197743709,0.332250168976638,0.359182550124811,0.401457737142749,0.392384570824618,0.317443004856419,0.325593827999121,0.374357956993295,0.344185970699889,0.337894395586381,0.367575374138607,0.364858521087651,0.300702678964903,0.314655972837761,0.379970123068533,0.392370689962425,0.365059332796972,0.462043756205922,0.417023705907125,0.433040658552315,0.344185970699889,0.415542383720651,0.366848754768895,0.369308671558678,0.415023691579297,121
"post.mean.initial.PC",-0.00357398321646112,0.0633276242442971,0.0793903834306557,0.0505050465004435,0.034210856468623,0.0736759202330267,0.0911539494364927,0.0349166626236592,-0.0100675159468034,0.0365700123168886,0.0965600601989017,0.0192684124473933,0.0387155474629394,0.1099262495854,-0.0103152162224039,-0.0173653700277689,0.0523180871222666,0.00209182807304566,-0.0313361771962824,0.0407744577788022,-0.0100675159468034,-0.0106783014883705,0.130025101379732,0.0608641084914279,0.0415112222021874,121
"post.mean.final.PC",-0.00357398321646112,0.0633276242442971,0.0793903834306557,0.0505050465004435,0.034210856468623,0.0736759202330267,0.0911539494364927,0.0349166626236592,-0.0100675159468034,0.0365700123168886,0.0965600601989017,0.0192684124473933,0.0387155474629394,0.1099262495854,-0.0103152162224039,-0.0173653700277689,0.0523180871222666,0.00209182807304566,-0.0313361771962824,0.0407744577788022,-0.0100675159468034,-0.0106783014883705,0.130025101379732,0.0608641084914279,0.0415112222021874,121
"cov.initial",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,121
"cov.final",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,121
"eff.mix.prob",1,0.88567253606154,0.631821364515819,1,1,0.739785266196511,0.545835335735791,1,1,1,0.450248032871332,1,1,0.486706017353327,1,1,1,1,1,1,1,1,0.456613266382331,0.917388513500007,1,121
