,X,eff.mon.initial,eff.mon.final,fut.mon.initial,fut.mon.final,ss.initial,ss.final,mle.initial.IP,mle.final.IP,mle.initial.PC,mle.final.PC,post.mean.initial.IP,post.mean.final.IP,post.mean.initial.PC,post.mean.final.PC,cov.initial,cov.final,idx
1,1,0.932,0.882,0,0,73.662,76.447,0.628034647,0.62804449,0.383413096,0.384208082,0.440096365,0.439680337,0.137673264,0.138711008,0.005,0.005,100
2,1,0.235,0.179,0,0,94.106,94.794,0.397920211,0.397181268,0.380618766,0.381778336,0.369302019,0.3694774,0.04549727,0.045054791,0.978,0.975,101
3,1,0.265,0.208,0,0,93.348,94.128,0.40744305,0.40675169,0.380121167,0.381223591,0.371604973,0.371727722,0.049942357,0.049582776,0.975,0.974,102
4,1,0.298,0.236,0,0,92.43,93.305,0.417892181,0.417244903,0.379576507,0.380758623,0.374131363,0.374276201,0.054810273,0.054483625,0.974,0.974,103
5,1,0.331,0.263,0,0,91.492,92.467,0.428009893,0.427265836,0.378950643,0.380450829,0.376546179,0.376799573,0.059521055,0.059079211,0.962,0.961,104
6,1,0.374,0.297,0,0,90.254,91.361,0.439397078,0.438277573,0.378768068,0.380314258,0.37954346,0.379695003,0.064606035,0.064038268,0.941,0.936,105
7,1,0.412,0.326,0,0,89.388,90.599,0.449373501,0.448054541,0.378406187,0.379945602,0.382104494,0.382168298,0.069066309,0.068461568,0.926,0.924,106
8,1,0.453,0.365,0,0,88.416,89.756,0.459455995,0.458055867,0.378168035,0.379832105,0.384756752,0.384822574,0.073584614,0.072950547,0.868,0.869,107
9,1,0.495,0.403,0,0,87.412,88.867,0.470095556,0.468658623,0.378159645,0.379736833,0.38769964,0.387688982,0.07819262,0.077600509,0.84,0.84,108
10,1,0.526,0.436,0,0,86.306,87.857,0.48052598,0.479098762,0.378025073,0.379664238,0.390613376,0.39059487,0.082634968,0.082089978,0.766,0.767,109
11,1,0.004,0.003,0,0,99.972,99.984,0.483967405,0.483933277,0.387376101,0.38736161,0.393222913,0.393200122,0.085396591,0.085395044,0.693,0.693,10
12,1,0.574,0.491,0,0,85.156,86.848,0.490832326,0.489280689,0.378038288,0.379613967,0.393546454,0.393433318,0.087004343,0.086487694,0.743,0.738,110
13,1,0.618,0.531,0,0,83.812,85.646,0.501423257,0.500136899,0.378121377,0.379569385,0.396637687,0.396504618,0.091436587,0.091117931,0.649,0.653,111
14,1,0.671,0.58,0,0,82.154,84.143,0.512545576,0.511102421,0.37759654,0.379357175,0.399654061,0.399590768,0.096166151,0.095758933,0.624,0.622,112
15,1,0.639,0.563,0,0,82.928,84.826,0.509760752,0.509219011,0.378773019,0.380170571,0.399548394,0.399536961,0.094473904,0.094553124,0.466,0.456,113
16,1,0.68,0.6,0,0,81.778,83.796,0.520312253,0.519337776,0.379047126,0.380228077,0.402812603,0.402537776,0.0986934,0.098705846,0.439,0.428,114
17,1,0.714,0.641,0,0,80.63,82.748,0.529698087,0.529059478,0.379559215,0.38065009,0.405899418,0.40566682,0.102295785,0.102520243,0.34,0.316,115
18,1,0.752,0.683,0,0,79.518,81.751,0.540490208,0.540080571,0.379666991,0.380956172,0.409268863,0.409186574,0.106535344,0.10683628,0.327,0.3,116
19,1,0.798,0.721,0,0,78.396,80.761,0.550620624,0.550337573,0.379692287,0.381150811,0.412416487,0.412446643,0.110458741,0.110798581,0.206,0.195,117
20,1,0.828,0.744,0,0,77.246,79.707,0.560045095,0.559621176,0.380141321,0.381795867,0.41560919,0.415649088,0.11397346,0.114258784,0.125,0.115,118
21,1,0.85,0.785,0,0,76.37,78.904,0.569079264,0.56918653,0.380438418,0.382309772,0.418645544,0.41892551,0.117294292,0.117784505,0.102,0.094,119
22,1,0.004,0.003,0,0,99.972,99.984,0.494226026,0.494191898,0.387376101,0.38736161,0.395929602,0.395906811,0.090159921,0.090158375,0.582,0.582,11
23,1,0.868,0.811,0,0,75.506,78.107,0.579437478,0.579265898,0.381294224,0.382800484,0.422474582,0.422470365,0.120881322,0.121406139,0.088,0.089,120
24,1,0.898,0.84,0,0,74.614,77.3,0.588866078,0.58851686,0.381456006,0.382962792,0.425629394,0.425543948,0.124320921,0.124826794,0.045,0.036,121
25,1,0.919,0.87,0,0,73.826,76.579,0.598952658,0.598721654,0.382242562,0.383632998,0.42939047,0.429251324,0.127715271,0.12837294,0.038,0.028,122
26,1,0.937,0.902,0,0,73.23,76.027,0.608324674,0.608504346,0.382660904,0.383943616,0.432812494,0.432735597,0.130909652,0.131795952,0.016,0.012,123
27,1,0.952,0.926,0,0,72.746,75.583,0.617238813,0.617677609,0.383156691,0.384202632,0.436163255,0.436039719,0.133883901,0.134985536,0.01,0.01,124
28,1,0.964,0.936,0,0,72.27,75.144,0.626574767,0.627161089,0.383645851,0.384671285,0.439749688,0.439639522,0.136896378,0.13810632,0.005,0.005,125
29,1,0.005,0.003,0,0,99.966,99.98,0.505071576,0.505007665,0.387371187,0.387349705,0.398833903,0.398795235,0.095130704,0.095122658,0.533,0.533,12
30,1,0.012,0.01,0,0,99.778,99.811,0.506120753,0.50610424,0.386849589,0.386935292,0.399032009,0.399037443,0.095393776,0.09539945,0.376,0.375,13
31,1,0.015,0.011,0,0,99.728,99.773,0.516367758,0.516305319,0.386811075,0.38694512,0.401848067,0.401860163,0.100013529,0.100000912,0.347,0.346,14
32,1,0.017,0.014,0,0,99.696,99.744,0.526386843,0.526318921,0.386768263,0.386827059,0.404663626,0.404624862,0.1044718,0.104481867,0.233,0.233,15
33,1,0.027,0.022,0,0,99.572,99.646,0.536953098,0.536868498,0.386314882,0.386452609,0.407522594,0.407503031,0.109160494,0.109168067,0.203,0.203,16
34,1,0.033,0.027,0,0,99.484,99.575,0.547426214,0.547343179,0.386195424,0.386401999,0.410521941,0.410531142,0.113686949,0.113691708,0.11,0.108,17
35,1,0.041,0.03,0,0,99.332,99.449,0.557886855,0.55771198,0.386029042,0.386355321,0.413574039,0.41359644,0.118152991,0.11812307,0.057,0.055,18
36,1,0.053,0.038,0,0,99.156,99.307,0.567669032,0.567462084,0.385871599,0.386149641,0.416500078,0.416463217,0.12224987,0.122244529,0.039,0.039,19
37,1,0,0,0,0,100,100,0.393172414,0.393172414,0.387357143,0.387357143,0.370221197,0.370221197,0.042507987,0.042507987,0.978,0.978,1
38,1,0.064,0.05,0,0,98.938,99.116,0.57850558,0.578267078,0.385558343,0.385816304,0.419769746,0.419703771,0.126709732,0.126717434,0.039,0.04,20
39,1,0.078,0.064,0,0,98.82,99.028,0.588267175,0.588038576,0.385444027,0.385713095,0.422735218,0.422656941,0.130752829,0.130780397,0.017,0.018,21
40,1,0.096,0.08,0,0,98.588,98.829,0.598213789,0.598042451,0.385236024,0.385554186,0.425857177,0.425816241,0.134733654,0.134791397,0.016,0.014,22
41,1,0.116,0.097,0,0,98.306,98.599,0.607831817,0.607674653,0.384934093,0.38533498,0.42889483,0.428873669,0.138515713,0.13859093,0.008,0.004,23
42,1,0.13,0.112,0,0,98,98.338,0.617344346,0.617244048,0.384569426,0.385142044,0.431938797,0.431948957,0.142228617,0.14232882,0.005,0.006,24
43,1,0.151,0.132,0,0,97.628,98.023,0.627667106,0.627466586,0.384323245,0.384917084,0.435437107,0.43540047,0.146050341,0.14616011,0.003,0.003,25
44,1,0.008,0.002,0,0,99.878,99.898,0.393518229,0.393456002,0.387205427,0.387336468,0.370288717,0.370325653,0.042625451,0.042578967,0.975,0.976,26
45,1,0.01,0.006,0,0,99.816,99.84,0.403026367,0.402935878,0.387213525,0.387266196,0.372678605,0.372667545,0.04711971,0.047087442,0.973,0.973,27
46,1,0.015,0.01,0,0,99.72,99.756,0.413102352,0.412982337,0.386984238,0.387068744,0.375120243,0.375109556,0.051915892,0.051871863,0.966,0.969,28
47,1,0.021,0.015,0,0,99.6,99.654,0.423197838,0.423071841,0.38680743,0.386925869,0.377605228,0.377603667,0.056684155,0.056641464,0.953,0.953,29
48,1,0,0,0,0,100,100,0.402603448,0.402603448,0.387357143,0.387357143,0.37255173,0.37255173,0.047010173,0.047010173,0.976,0.976,2
49,1,0.023,0.016,0,0,99.536,99.599,0.433928117,0.433772302,0.386837742,0.386987665,0.380331161,0.38033602,0.061730203,0.06167528,0.926,0.923,30
50,1,0.032,0.025,0,0,99.39,99.476,0.443928304,0.443696233,0.386418805,0.386662998,0.38273646,0.382737868,0.066476894,0.066389635,0.905,0.903,31
51,1,0.042,0.035,0,0,99.25,99.358,0.454257271,0.454013266,0.386162694,0.38643728,0.385280932,0.385293851,0.071345969,0.071258526,0.845,0.845,32
52,1,0.053,0.042,0,0,99.022,99.166,0.464894364,0.464603846,0.385809053,0.386063245,0.387956442,0.387919117,0.076285675,0.076212757,0.811,0.812,33
53,1,0.07,0.053,0,0,98.654,98.851,0.475831571,0.475571573,0.385445089,0.385637354,0.390760937,0.390670361,0.081255264,0.081240599,0.732,0.732,34
54,1,0.089,0.066,0,0,98.264,98.516,0.486293926,0.485982416,0.385012579,0.385320501,0.393484951,0.39340351,0.085977255,0.085953139,0.701,0.7,35
55,1,0.11,0.083,0,0,97.834,98.144,0.496978122,0.496645995,0.384588271,0.385095917,0.396291109,0.396265231,0.090796594,0.090747739,0.592,0.593,36
56,1,0.131,0.099,0,0,97.316,97.696,0.50852154,0.507955872,0.384257903,0.384866697,0.399450193,0.399351278,0.095832331,0.095724362,0.55,0.546,37
57,1,0.13,0.094,0,0,97.488,97.855,0.507788576,0.507533421,0.384029127,0.384682703,0.399110981,0.399163033,0.095544851,0.09551058,0.395,0.389,38
58,1,0.162,0.113,0,0,96.858,97.315,0.518307946,0.517845784,0.383139832,0.38411261,0.401752287,0.401854997,0.100226859,0.100085297,0.366,0.36,39
59,1,0,0,0,0,100,100,0.412551724,0.412551724,0.387357143,0.387357143,0.375026798,0.375026798,0.05174312,0.05174312,0.97,0.97,3
60,1,0.188,0.141,0,0,96.296,96.829,0.528429395,0.528000102,0.382809434,0.383817675,0.404651479,0.404742631,0.104535049,0.10443486,0.253,0.247,40
61,1,0.224,0.169,0,0,95.54,96.183,0.539558534,0.539010224,0.382184557,0.383419831,0.407806566,0.407911945,0.109190612,0.109062649,0.234,0.229,41
62,1,0.268,0.214,0,0,94.768,95.518,0.550130098,0.549757706,0.382102182,0.383120081,0.411049667,0.411093465,0.113431848,0.113467321,0.145,0.147,42
63,1,0.305,0.24,0,0,93.886,94.751,0.560405856,0.559888849,0.381557664,0.382592464,0.414021188,0.413985078,0.117634456,0.117674314,0.085,0.084,43
64,1,0.353,0.287,0,0,92.782,93.774,0.570782399,0.570036781,0.380817623,0.382356945,0.417179398,0.417224711,0.121629631,0.121559978,0.076,0.069,44
65,1,0.403,0.333,0,0,91.602,92.737,0.581774599,0.581132024,0.380483225,0.382159731,0.420796208,0.420847661,0.125685778,0.125722741,0.069,0.068,45
66,1,0.445,0.367,0,0,90.284,91.561,0.591904343,0.591017511,0.380422764,0.381700618,0.424254433,0.423995738,0.129286957,0.129413448,0.038,0.031,46
67,1,0.494,0.415,0,0,89.15,90.566,0.602019115,0.600997206,0.380378879,0.381489899,0.427763418,0.427337215,0.132870763,0.133050196,0.036,0.027,47
68,1,0.538,0.454,0,0,87.872,89.437,0.611878354,0.610979993,0.380698164,0.381719766,0.431457648,0.43100853,0.136142539,0.136444219,0.016,0.011,48
69,1,0.586,0.503,0,0,86.388,88.097,0.621578187,0.620556876,0.380216158,0.381196364,0.434844442,0.434249021,0.139377665,0.139764643,0.011,0.01,49
70,1,0,0,0,0,100,100,0.422362069,0.422362069,0.387357143,0.387357143,0.377470799,0.377470799,0.056418146,0.056418146,0.955,0.955,4
71,1,0.637,0.549,0,0,84.86,86.721,0.631665464,0.630725633,0.379913936,0.381018913,0.438534412,0.43794172,0.14259227,0.143078217,0.005,0.005,50
72,1,0.035,0.02,0,0,99.268,99.372,0.394295172,0.394163912,0.385894493,0.386277164,0.370007277,0.370135621,0.043128144,0.043013591,0.972,0.974,51
73,1,0.042,0.031,0,0,99.108,99.233,0.403875146,0.403770411,0.385628407,0.385932338,0.372323888,0.372394727,0.047679754,0.047621945,0.973,0.97,52
74,1,0.056,0.039,0,0,98.848,99.009,0.414238924,0.414003033,0.385357234,0.385733802,0.374870527,0.374912162,0.052540132,0.052437725,0.969,0.969,53
75,1,0.067,0.05,0,0,98.622,98.814,0.424296661,0.424058285,0.385246388,0.385648254,0.377438774,0.37746766,0.057224816,0.057133161,0.957,0.955,54
76,1,0.086,0.061,0,0,98.33,98.579,0.435155218,0.434908629,0.384795726,0.385336949,0.380020332,0.380111932,0.062378431,0.062269034,0.927,0.926,55
77,1,0.112,0.078,0,0,97.868,98.192,0.445436263,0.445047776,0.384216953,0.384956165,0.382528497,0.382640889,0.06713789,0.066961127,0.906,0.905,56
78,1,0.13,0.098,0,0,97.462,97.842,0.455692495,0.455500132,0.384072953,0.384686294,0.385214501,0.385306269,0.071827885,0.071782565,0.853,0.854,57
79,1,0.165,0.116,0,0,96.568,97.048,0.467078084,0.466675503,0.383144318,0.384044004,0.38795958,0.38808772,0.076990433,0.0768464,0.817,0.819,58
80,1,0.19,0.142,0,0,96.048,96.6,0.477956948,0.477602929,0.383288404,0.384044744,0.391053816,0.391086201,0.08173827,0.081683602,0.741,0.738,59
81,1,0,0,0,0,100,100,0.433017241,0.433017241,0.387357143,0.387357143,0.380132273,0.380132273,0.061485187,0.061485187,0.925,0.925,5
82,1,0.218,0.163,0,0,95.476,96.101,0.488467564,0.488001174,0.383401365,0.384078491,0.394051214,0.393991353,0.086328816,0.086276535,0.706,0.706,60
83,1,0.254,0.189,0,0,94.576,95.312,0.499401154,0.498578707,0.383054993,0.383587424,0.397074915,0.396791966,0.09105728,0.090969851,0.605,0.605,61
84,1,0.3,0.229,0,0,93.46,94.33,0.511025746,0.510093024,0.382380244,0.383125422,0.400274719,0.400004216,0.096001197,0.095889709,0.569,0.576,62
85,1,0.3,0.227,0,0,93.538,94.403,0.509561374,0.508892714,0.380746325,0.382014623,0.399024879,0.399103103,0.095792391,0.095640148,0.407,0.403,63
86,1,0.352,0.264,0,0,92.324,93.335,0.520522472,0.519508737,0.380061988,0.381359284,0.40204586,0.401982007,0.100407344,0.100193905,0.384,0.377,64
87,1,0.397,0.306,0,0,91.49,92.625,0.530818502,0.529906314,0.380006615,0.38120327,0.405150231,0.405034482,0.104617883,0.104525989,0.28,0.273,65
88,1,0.442,0.345,0,0,90.104,91.391,0.541767928,0.54083806,0.380082365,0.381285593,0.408705714,0.408517539,0.108797829,0.108783269,0.276,0.264,66
89,1,0.488,0.385,0,0,88.634,90.063,0.552126626,0.551142538,0.379647318,0.380938179,0.41186652,0.41163977,0.112802258,0.112810273,0.183,0.174,67
90,1,0.53,0.436,0,0,87.452,89.01,0.5620623,0.561166598,0.37970369,0.3810311,0.415097779,0.41489162,0.116591285,0.116679052,0.108,0.097,68
91,1,0.575,0.471,0,0,86.24,87.934,0.571855778,0.571024537,0.380061264,0.381193418,0.418535822,0.418218432,0.120113557,0.120330998,0.088,0.08,69
92,1,0,0,0,0,100,100,0.442706897,0.442706897,0.387357143,0.387357143,0.382578819,0.382578819,0.066072576,0.066072576,0.904,0.904,6
93,1,0.623,0.532,0,0,84.902,86.727,0.582508504,0.581767057,0.380792651,0.381530119,0.422518637,0.421992944,0.123759246,0.124179111,0.081,0.082,70
94,1,0.663,0.561,0,0,83.544,85.497,0.591960201,0.59114719,0.380869754,0.381472258,0.425762992,0.425113394,0.127119165,0.127601893,0.044,0.036,71
95,1,0.708,0.62,0,0,81.97,84.061,0.602176941,0.601751425,0.380236453,0.380965873,0.429041624,0.428538743,0.130755144,0.131448759,0.039,0.029,72
96,1,0.748,0.667,0,0,80.804,83.015,0.611588536,0.611295904,0.380886345,0.381647843,0.432672498,0.432188722,0.133825143,0.134616158,0.016,0.012,73
97,1,0.782,0.702,0,0,79.66,81.98,0.620465524,0.620183783,0.380864558,0.382264383,0.435821937,0.435591813,0.136829008,0.137532336,0.01,0.01,74
98,1,0.825,0.736,0,0,78.3,80.741,0.630285826,0.629943642,0.380749837,0.382228835,0.439394957,0.43915287,0.140018287,0.140745801,0.005,0.005,75
99,1,0.111,0.078,0,0,97.566,97.89,0.396203903,0.395710533,0.38337549,0.384237904,0.369667456,0.369829693,0.044297207,0.043988303,0.976,0.976,76
100,1,0.137,0.098,0,0,97.058,97.457,0.405888009,0.405383312,0.382633738,0.383833171,0.371824068,0.372143103,0.048957713,0.04857195,0.976,0.975,77
101,1,0.159,0.111,0,0,96.476,96.945,0.416325331,0.415828586,0.382484986,0.383833034,0.374540779,0.374913198,0.053722138,0.053318363,0.969,0.971,78
102,1,0.186,0.127,0,0,95.842,96.384,0.426710008,0.425956732,0.382224873,0.383699879,0.37717878,0.377510605,0.058484687,0.057976796,0.96,0.959,79
103,1,0,0,0,0,100,100,0.452982759,0.452982759,0.387357143,0.387357143,0.385193811,0.385193811,0.070927342,0.070927342,0.845,0.845,7
104,1,0.222,0.16,0,0,94.858,95.511,0.438156171,0.437329656,0.381758611,0.38307467,0.380062876,0.380235588,0.063719244,0.063285661,0.935,0.932,80
105,1,0.26,0.194,0,0,93.832,94.594,0.448492366,0.447503602,0.38130766,0.382614555,0.382735158,0.38281275,0.068332139,0.067900685,0.915,0.91,81
106,1,0.295,0.225,0,0,93.034,93.893,0.458877038,0.457789411,0.381089685,0.382262945,0.38548313,0.385443849,0.072985716,0.07258925,0.858,0.859,82
107,1,0.331,0.268,0,0,91.98,92.948,0.469706063,0.468733396,0.380980331,0.381858994,0.388506459,0.388317091,0.077647807,0.077432671,0.828,0.83,83
108,1,0.369,0.306,0,0,91.034,92.112,0.48051149,0.47975456,0.380578336,0.381557263,0.391399612,0.391295965,0.082407827,0.082283212,0.755,0.757,84
109,1,0.412,0.354,0,0,89.99,91.184,0.490471849,0.48967766,0.380408776,0.381383136,0.394172119,0.394065204,0.086708336,0.086592296,0.723,0.726,85
110,1,0.471,0.392,0,0,88.414,89.782,0.501526996,0.500206749,0.379146361,0.380279579,0.396746252,0.396502344,0.091709916,0.091417916,0.628,0.623,86
111,1,0.522,0.433,0,0,87.152,88.664,0.512864927,0.511537489,0.379492794,0.380394266,0.400263994,0.399870511,0.096286023,0.096108922,0.606,0.595,87
112,1,0.514,0.429,0,0,87.514,89.02,0.510936144,0.510060325,0.379103555,0.380193943,0.39947794,0.399284426,0.095514582,0.095474794,0.437,0.431,88
113,1,0.554,0.476,0,0,86.334,87.963,0.521158674,0.520504003,0.379226334,0.38008458,0.402620241,0.402342991,0.099627017,0.099793563,0.418,0.41,89
114,1,0.001,0,0,0,99.992,99.995,0.463487401,0.463461047,0.38737381,0.387365273,0.387897879,0.387883547,0.075844875,0.075839763,0.81,0.81,8
115,1,0.61,0.512,0,0,84.788,86.581,0.531152092,0.530293349,0.379300943,0.38078879,0.405780419,0.405728885,0.103524214,0.103480035,0.326,0.304,90
116,1,0.659,0.565,0,0,83.462,85.386,0.54171726,0.540833485,0.379534672,0.380897944,0.409207975,0.409047065,0.107587151,0.107631867,0.316,0.282,91
117,1,0.7,0.613,0,0,81.966,84.036,0.551988736,0.551328645,0.379745623,0.380857403,0.412590305,0.412333065,0.111406288,0.11168204,0.202,0.192,92
118,1,0.737,0.667,0,0,80.878,83.056,0.561331637,0.56098533,0.380131884,0.38094161,0.415755637,0.415406471,0.114911354,0.11545067,0.125,0.116,93
119,1,0.774,0.698,0,0,79.628,81.911,0.570857173,0.570573399,0.380725112,0.381748558,0.419163817,0.41890385,0.118283677,0.118848386,0.102,0.092,94
120,1,0.802,0.729,0,0,78.506,80.89,0.581132906,0.580932156,0.381394316,0.382407638,0.422890155,0.422643373,0.121867944,0.122525001,0.088,0.09,95
121,1,0.836,0.763,0,0,77.474,79.959,0.590375041,0.590067053,0.381535726,0.382557598,0.426033802,0.425723816,0.125204754,0.125870156,0.045,0.036,96
122,1,0.865,0.799,0,0,76.268,78.843,0.600431034,0.600063575,0.382181404,0.383348362,0.429779662,0.429480212,0.12854852,0.129215724,0.038,0.028,97
123,1,0.896,0.829,0,0,75.186,77.854,0.609829332,0.609572457,0.382248641,0.383483052,0.433057404,0.432816137,0.131807219,0.1325368,0.016,0.012,98
124,1,0.914,0.863,0,0,74.438,77.161,0.618900419,0.618657406,0.382894545,0.383942679,0.436548112,0.436182714,0.134774549,0.135612327,0.01,0.01,99
125,1,0.004,0.003,0,0,99.978,99.99,0.474010474,0.473983711,0.387347096,0.387365273,0.390612393,0.390612208,0.080755196,0.080747319,0.728,0.728,9
