"","IP","PC","eff.mon.initial","eff.mon.final","fut.mon.initial","fut.mon.final","ss.initial","ss.final","post.mean.initial.IP","post.mean.final.IP","post.mean.initial.PC","post.mean.final.PC","cov.initial","cov.final"
"1",0,0,0,0,1,1,70,86.6,0.0294315276208757,0.0237212045561396,0.0236794770781685,0.0200762233283055,1,1
"2",0.1,0,1,1,0,0,79,95,0.119076536308657,0.117020196574631,0.0263435472556074,0.0224593669025929,1,1
"3",0.2,0,1,1,0,0,58,74.3,0.173964280395336,0.172765267526719,0.0453402094061266,0.0354376464885406,1,1
"7",0,0.1,0,0,1,1,53,67.9,0.0455256401247137,0.0347741565937422,0.0869112582539494,0.0795386259480699,1,1
"8",0.1,0.1,0,0,0.8,0.5,223,235.9,0.0954867988252424,0.102699349156938,0.102223044000978,0.105759017052892,1,1
"9",0.2,0.1,1,0.6,0,0,138,156.8,0.210828207533956,0.206812308178276,0.100688600360612,0.103174974783122,1,1
"10",0.3,0.1,1,0.7,0,0,77,91.9,0.29021197436122,0.285590214540006,0.136422823579157,0.13926083099234,0.9,0.9
"14",0.1,0.2,0,0,1,0.9,116,130.3,0.118324364089819,0.116615700649524,0.169660127026308,0.165179671442222,0.9,0.9
"15",0.2,0.2,0.4,0.3,0.5,0.4,229,242.4,0.195141285987905,0.193077563364695,0.173915101081722,0.172312258503949,0.9,0.9
"16",0.3,0.2,0.6,0.2,0.1,0.1,271,282.3,0.305263827848632,0.302660042609354,0.224025726505397,0.226043728553249,0.9,0.9
"17",0.4,0.2,1,0.7,0,0,147,163.8,0.359845999162155,0.357134260600285,0.2296200926681,0.231583749586069,1,1
"21",0.2,0.3,0,0,1,1,142,158.5,0.230950760819543,0.224045068718599,0.28045297150813,0.276105822942805,0.9,1
"22",0.3,0.3,0,0,0.6,0.5,304,314,0.315422886604666,0.313187757308806,0.319063164285713,0.316590645103611,0.9,1
"23",0.4,0.3,0.9,0.8,0,0,271,280.3,0.391027517709052,0.401084654473175,0.283821026698128,0.287835533146147,1,1
"24",0.5,0.3,1,0.7,0,0,140,154.7,0.458465738419467,0.465297444594384,0.311678939187819,0.319193534280973,1,1
"28",0.3,0.4,0,0,1,0.8,129,142.4,0.31636202705295,0.311570453558513,0.37489875093097,0.368837270278522,1,1
"29",0.4,0.4,0,0,0.4,0.3,346,353.1,0.403060843388889,0.402337177580726,0.398789903818811,0.396958904185165,1,1
"30",0.5,0.4,0.7,0.5,0,0,255,265.8,0.502339193653932,0.503050851127674,0.390329258790363,0.38947267401604,1,1
"35",0.4,0.5,0,0,1,0.8,175,190.6,0.424308548211067,0.428066525170204,0.467823406115581,0.472900984242328,1,1
"36",0.5,0.5,0.1,0.1,0.4,0.4,341,348.5,0.49128803457636,0.492741042971601,0.486721221664031,0.490550792620437,0.9,0.8
