"","IP","PC","0","0.01","0.1","0.25","0.5","0.75","0.9","0.99","1"
"1",0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2",0.1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3",0.2,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7",0,0.1,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8",0.1,0.1,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9",0.2,0.1,0.92342324604451,0.923432140431674,0.923512189916151,0.923645605723611,0.926729848638852,0.933267800954122,0.939617893681634,0.943427949318141,0.943851288833308
"10",0.3,0.1,0.904890550297486,0.905582076726413,0.911805814586748,0.922178711020642,0.939466871743797,0.943617256167752,0.946107486822125,0.947601625214749,0.947767640591707
"14",0.1,0.2,NA,NA,NA,NA,NA,NA,NA,NA,NA
"15",0.2,0.2,0.894035516724791,0.894035516724791,0.894035516724791,0.894035516724791,0.894035516724791,0.894035516724791,0.894035516724791,0.894035516724791,0.894035516724791
"16",0.3,0.2,0.928990809971259,0.929412188909734,0.933204599356012,0.939525283433143,0.94328805217657,0.944245115584633,0.945515530058107,0.946277778742191,0.946362473040423
"17",0.4,0.2,0.918632665312963,0.918972811196649,0.922034124149824,0.927136312405115,0.935639959497266,0.937004335581404,0.937822961231886,0.938314136622176,0.938368711665541
"21",0.2,0.3,NA,NA,NA,NA,NA,NA,NA,NA,NA
"22",0.3,0.3,NA,NA,NA,NA,NA,NA,NA,NA,NA
"23",0.4,0.3,0.943556835164897,0.943556835164897,0.943556835164897,0.943556835164897,0.943556835164897,0.943556835164897,0.943556835164897,0.943556835164897,0.943556835164897
"24",0.5,0.3,0.924707830122143,0.924965428845048,0.927283817351192,0.931147798194765,0.937587766267386,0.943015040588409,0.946271405181022,0.948225223936591,0.948442314909431
"28",0.3,0.4,NA,NA,NA,NA,NA,NA,NA,NA,NA
"29",0.4,0.4,NA,NA,NA,NA,NA,NA,NA,NA,NA
"30",0.5,0.4,0.842752656141247,0.843356221430436,0.848788309033141,0.857841788370982,0.872930920600717,0.888020052830453,0.897073532168294,0.902505619770999,0.903109185060188
"35",0.4,0.5,NA,NA,NA,NA,NA,NA,NA,NA,NA
"36",0.5,0.5,NA,NA,NA,NA,NA,NA,NA,NA,NA
