"","X1","idx"
"y1.IP.50",20,7
"y0.IP.50",13,7
"y1.PC.50",10,7
"y0.PC.50",9,7
"eff.prob.50",0.7932733015932,7
"fut.prob.50",0.494759977586214,7
"eff.mix.prob.50",0.7,7
"box.skpt.50",NA,7
"box.enth.50",NA,7
"box.ni.50",NA,7
"y1.IP.52",20,7
"y0.IP.52",13,7
"y1.PC.52",10,7
"y0.PC.52",9,7
"eff.prob.52",0.7932733015932,7
"fut.prob.52",0.494759977586214,7
"eff.mix.prob.52",0.7,7
"box.skpt.52",NA,7
"box.enth.52",NA,7
"box.ni.52",NA,7
"y1.IP.54",21,7
"y0.IP.54",13,7
"y1.PC.54",10,7
"y0.PC.54",10,7
"eff.prob.54",0.831191084541936,7
"fut.prob.54",0.454730118267318,7
"eff.mix.prob.54",0.7,7
"box.skpt.54",NA,7
"box.enth.54",NA,7
"box.ni.54",NA,7
"y1.IP.56",21,7
"y0.IP.56",14,7
"y1.PC.56",10,7
"y0.PC.56",11,7
"eff.prob.56",0.831769614069789,7
"fut.prob.56",0.457375334614647,7
"eff.mix.prob.56",0.7,7
"box.skpt.56",NA,7
"box.enth.56",NA,7
"box.ni.56",NA,7
"y1.IP.58",21,7
"y0.IP.58",14,7
"y1.PC.58",11,7
"y0.PC.58",12,7
"eff.prob.58",0.832247310118758,7
"fut.prob.58",0.46079344197324,7
"eff.mix.prob.58",0.7,7
"box.skpt.58",NA,7
"box.enth.58",NA,7
"box.ni.58",NA,7
"y1.IP.60",21,7
"y0.IP.60",15,7
"y1.PC.60",11,7
"y0.PC.60",13,7
"eff.prob.60",0.831636590876735,7
"fut.prob.60",0.465005971311497,7
"eff.mix.prob.60",0.7,7
"box.skpt.60",NA,7
"box.enth.60",NA,7
"box.ni.60",NA,7
"y1.IP.62",21,7
"y0.IP.62",15,7
"y1.PC.62",11,7
"y0.PC.62",15,7
"eff.prob.62",0.864418413987958,7
"fut.prob.62",0.425502162910808,7
"eff.mix.prob.62",0.7,7
"box.skpt.62",NA,7
"box.enth.62",NA,7
"box.ni.62",NA,7
"y1.IP.64",21,7
"y0.IP.64",15,7
"y1.PC.64",11,7
"y0.PC.64",17,7
"eff.prob.64",0.891183080888215,7
"fut.prob.64",0.388929661060896,7
"eff.mix.prob.64",0.7,7
"box.skpt.64",NA,7
"box.enth.64",NA,7
"box.ni.64",NA,7
"y1.IP.66",22,7
"y0.IP.66",16,7
"y1.PC.66",11,7
"y0.PC.66",17,7
"eff.prob.66",0.890642174143564,7
"fut.prob.66",0.393258750560276,7
"eff.mix.prob.66",0.7,7
"box.skpt.66",NA,7
"box.enth.66",NA,7
"box.ni.66",NA,7
"y1.IP.68",22,7
"y0.IP.68",17,7
"y1.PC.68",11,7
"y0.PC.68",18,7
"eff.prob.68",0.889485614630702,7
"fut.prob.68",0.398602891551395,7
"eff.mix.prob.68",0.7,7
"box.skpt.68",NA,7
"box.enth.68",NA,7
"box.ni.68",NA,7
"y1.IP.70",22,7
"y0.IP.70",18,7
"y1.PC.70",12,7
"y0.PC.70",18,7
"eff.prob.70",0.858965832541587,7
"fut.prob.70",0.447364602543066,7
"eff.mix.prob.70",0.7,7
"box.skpt.70",NA,7
"box.enth.70",NA,7
"box.ni.70",NA,7
"y1.IP.72",23,7
"y0.IP.72",18,7
"y1.PC.72",12,7
"y0.PC.72",19,7
"eff.prob.72",0.886829721166564,7
"fut.prob.72",0.409570150037658,7
"eff.mix.prob.72",0.7,7
"box.skpt.72",NA,7
"box.enth.72",NA,7
"box.ni.72",NA,7
"y1.IP.74",24,7
"y0.IP.74",18,7
"y1.PC.74",13,7
"y0.PC.74",19,7
"eff.prob.74",0.885392516230968,7
"fut.prob.74",0.415078194226177,7
"eff.mix.prob.74",0.7,7
