"","X1","idx"
"y1.IP.50",20,24
"y0.IP.50",13,24
"y1.PC.50",10,24
"y0.PC.50",9,24
"eff.prob.50",0.937679968474675,24
"fut.prob.50",0.494759977586214,24
"eff.mix.prob.50",0.2,24
"box.skpt.50",0.469889705956595,24
"box.enth.50",0.769936151271444,24
"box.ni.50",NA,24
"y1.IP.52",20,24
"y0.IP.52",13,24
"y1.PC.52",10,24
"y0.PC.52",9,24
"eff.prob.52",0.937679968474675,24
"fut.prob.52",0.494759977586214,24
"eff.mix.prob.52",0.2,24
"box.skpt.52",0.469889705956595,24
"box.enth.52",0.769936151271444,24
"box.ni.52",NA,24
"y1.IP.54",21,24
"y0.IP.54",13,24
"y1.PC.54",10,24
"y0.PC.54",10,24
"eff.prob.54",0.952455662284694,24
"fut.prob.54",0.454730118267318,24
"eff.mix.prob.54",0.2,24
"box.skpt.54",0.396181250587763,24
"box.enth.54",0.810166003656015,24
"box.ni.54",NA,24
"y1.IP.56",21,24
"y0.IP.56",14,24
"y1.PC.56",10,24
"y0.PC.56",11,24
"eff.prob.56",0.952456792232395,24
"fut.prob.56",0.457375334614647,24
"eff.mix.prob.56",0.2,24
"box.skpt.56",0.430205846606967,24
"box.enth.56",0.861791739870954,24
"box.ni.56",NA,24
"y1.IP.58",21,24
"y0.IP.58",14,24
"y1.PC.58",11,24
"y0.PC.58",12,24
"eff.prob.58",0.952410911336251,24
"fut.prob.58",0.46079344197324,24
"eff.mix.prob.58",0.2,24
"box.skpt.58",0.434758964441339,24
"box.enth.58",0.85607232051593,24
"box.ni.58",NA,24
"y1.IP.60",21,24
"y0.IP.60",15,24
"y1.PC.60",11,24
"y0.PC.60",13,24
"eff.prob.60",0.951962347909251,24
"fut.prob.60",0.465005971311497,24
"eff.mix.prob.60",0.2,24
"box.skpt.60",0.469131300223958,24
"box.enth.60",0.902304213434672,24
"box.ni.60",NA,24
"y1.IP.62",21,24
"y0.IP.62",15,24
"y1.PC.62",11,24
"y0.PC.62",15,24
"eff.prob.62",0.963676467090715,24
"fut.prob.62",0.425502162910808,24
"eff.mix.prob.62",0.2,24
"box.skpt.62",0.379153630691362,24
"box.enth.62",0.913639003143991,24
"box.ni.62",NA,24
"y1.IP.64",21,24
"y0.IP.64",15,24
"y1.PC.64",11,24
