"","X1","idx"
"y1.IP.50",20,28
"y0.IP.50",13,28
"y1.PC.50",10,28
"y0.PC.50",9,28
"eff.prob.50",0.952049195580277,28
"fut.prob.50",0.494759977586214,28
"eff.mix.prob.50",0.143338732372079,28
"box.skpt.50",0.469889705956595,28
"box.enth.50",0.769936151271444,28
"box.ni.50",NA,28
"y1.IP.52",20,28
"y0.IP.52",13,28
"y1.PC.52",10,28
"y0.PC.52",9,28
"eff.prob.52",0.952049195580277,28
"fut.prob.52",0.494759977586214,28
"eff.mix.prob.52",0.143338732372079,28
"box.skpt.52",0.469889705956595,28
"box.enth.52",0.769936151271444,28
"box.ni.52",NA,28
"y1.IP.54",21,28
"y0.IP.54",13,28
"y1.PC.54",10,28
"y0.PC.54",10,28
"eff.prob.54",0.969716138714921,28
"fut.prob.54",0.454730118267318,28
"eff.mix.prob.54",0.111175838966306,28
"box.skpt.54",0.396181250587763,28
"box.enth.54",0.810166003656015,28
"box.ni.54",NA,28
"y1.IP.56",21,28
"y0.IP.56",14,28
"y1.PC.56",10,28
"y0.PC.56",11,28
"eff.prob.56",0.976676752648045,28
"fut.prob.56",0.457375334614647,28
"eff.mix.prob.56",0.0730778813104817,28
"box.skpt.56",0.430205846606967,28
"box.enth.56",0.861791739870954,28
"box.ni.56",NA,28
"y1.IP.58",NA,28
"y0.IP.58",NA,28
"y1.PC.58",NA,28
"y0.PC.58",NA,28
"eff.prob.58",NA,28
"fut.prob.58",NA,28
"eff.mix.prob.58",NA,28
"box.skpt.58",NA,28
"box.enth.58",NA,28
"box.ni.58",NA,28
"y1.IP.60",NA,28
"y0.IP.60",NA,28
"y1.PC.60",NA,28
"y0.PC.60",NA,28
"eff.prob.60",NA,28
"fut.prob.60",NA,28
"eff.mix.prob.60",NA,28
"box.skpt.60",NA,28
"box.enth.60",NA,28
"box.ni.60",NA,28
"y1.IP.62",NA,28
"y0.IP.62",NA,28
"y1.PC.62",NA,28
"y0.PC.62",NA,28
"eff.prob.62",NA,28
"fut.prob.62",NA,28
"eff.mix.prob.62",NA,28
"box.skpt.62",NA,28
"box.enth.62",NA,28
"box.ni.62",NA,28
"y1.IP.64",NA,28
"y0.IP.64",NA,28
"y1.PC.64",NA,28
"y0.PC.64",NA,28
"eff.prob.64",NA,28
"fut.prob.64",NA,28
"eff.mix.prob.64",NA,28
"box.skpt.64",NA,28
"box.enth.64",NA,28
"box.ni.64",NA,28
"y1.IP.66",NA,28
"y0.IP.66",NA,28
"y1.PC.66",NA,28
"y0.PC.66",NA,28
"eff.prob.66",NA,28
"fut.prob.66",NA,28
"eff.mix.prob.66",NA,28
"box.skpt.66",NA,28
"box.enth.66",NA,28
"box.ni.66",NA,28
"y1.IP.68",NA,28
"y0.IP.68",NA,28
"y1.PC.68",NA,28
"y0.PC.68",NA,28
"eff.prob.68",NA,28
"fut.prob.68",NA,28
"eff.mix.prob.68",NA,28
"box.skpt.68",NA,28
"box.enth.68",NA,28
"box.ni.68",NA,28
"y1.IP.70",NA,28
"y0.IP.70",NA,28
"y1.PC.70",NA,28
"y0.PC.70",NA,28
"eff.prob.70",NA,28
"fut.prob.70",NA,28
"eff.mix.prob.70",NA,28
"box.skpt.70",NA,28
"box.enth.70",NA,28
"box.ni.70",NA,28
"y1.IP.72",NA,28
"y0.IP.72",NA,28
"y1.PC.72",NA,28
"y0.PC.72",NA,28
"eff.prob.72",NA,28
"fut.prob.72",NA,28
"eff.mix.prob.72",NA,28
"box.skpt.72",NA,28
"box.enth.72",NA,28
"box.ni.72",NA,28
"y1.IP.74",NA,28
"y0.IP.74",NA,28
"y1.PC.74",NA,28
"y0.PC.74",NA,28
"eff.prob.74",NA,28
"fut.prob.74",NA,28
"eff.mix.prob.74",NA,28
"box.skpt.74",NA,28
"box.enth.74",NA,28
"box.ni.74",NA,28
"y1.IP.76",NA,28
"y0.IP.76",NA,28
"y1.PC.76",NA,28
"y0.PC.76",NA,28
"eff.prob.76",NA,28
"fut.prob.76",NA,28
"eff.mix.prob.76",NA,28
"box.skpt.76",NA,28
"box.enth.76",NA,28
"box.ni.76",NA,28
"y1.IP.78",NA,28
"y0.IP.78",NA,28
"y1.PC.78",NA,28
"y0.PC.78",NA,28
"eff.prob.78",NA,28
"fut.prob.78",NA,28
"eff.mix.prob.78",NA,28
"box.skpt.78",NA,28
"box.enth.78",NA,28
"box.ni.78",NA,28
"y1.IP.80",NA,28
"y0.IP.80",NA,28
"y1.PC.80",NA,28
"y0.PC.80",NA,28
"eff.prob.80",NA,28
"fut.prob.80",NA,28
"eff.mix.prob.80",NA,28
"box.skpt.80",NA,28
"box.enth.80",NA,28
"box.ni.80",NA,28
"y1.IP.82",NA,28
"y0.IP.82",NA,28
"y1.PC.82",NA,28
"y0.PC.82",NA,28
"eff.prob.82",NA,28
"fut.prob.82",NA,28
"eff.mix.prob.82",NA,28
"box.skpt.82",NA,28
"box.enth.82",NA,28
"box.ni.82",NA,28
"y1.IP.84",NA,28
"y0.IP.84",NA,28
"y1.PC.84",NA,28
"y0.PC.84",NA,28
"eff.prob.84",NA,28
"fut.prob.84",NA,28
"eff.mix.prob.84",NA,28
"box.skpt.84",NA,28
"box.enth.84",NA,28
"box.ni.84",NA,28
