"","p.IP","p.PC","freq.mntr","enr.shape","out.mean","fut.mix.prob","eff.mix.prob","inf.mix.prob","cred.tail","max.ss","min.ss","reps"
"1",0.51,0.39,2,1,4,0,101,0.5,0.05,322,322,13
"2",0.51,0.39,2,1,4,0,101,0.5,0.05,322,322,13
"3",0.51,0.39,2,1,4,0,101,0.5,0.05,322,322,13
"4",0.51,0.39,2,1,4,0,101,0.5,0.05,322,322,13
"5",0.51,0.39,2,1,4,0,101,0.5,0.05,322,322,13
"6",0.51,0.39,2,1,4,0,101,0.5,0.05,322,322,13
"7",0.51,0.39,2,1,4,0,101,0.5,0.05,322,322,13
"8",0.51,0.39,2,1,4,0,101,0.5,0.05,322,322,13
"9",0.51,0.39,2,1,4,0,101,0.5,0.05,322,322,13
"10",0.51,0.39,2,1,4,0,101,0.5,0.05,322,322,13
"11",0.51,0.39,2,1,4,0,101,0.5,0.05,322,322,13
"12",0.51,0.39,2,1,4,0,101,0.5,0.05,322,322,13
"13",0.51,0.39,2,1,4,0,101,0.5,0.05,322,322,13
"14",0.51,0.39,2,1,4,0,101,0.5,0.05,322,322,13
"15",0.51,0.39,2,1,4,0,101,0.5,0.05,322,322,13
"16",0.51,0.39,2,1,4,0,101,0.5,0.05,322,322,13
"17",0.51,0.39,2,1,4,0,101,0.5,0.05,322,322,13
"18",0.51,0.39,2,1,4,0,101,0.5,0.05,322,322,13
"19",0.51,0.39,2,1,4,0,101,0.5,0.05,322,322,13
"20",0.51,0.39,2,1,4,0,101,0.5,0.05,322,322,13
"21",0.51,0.39,2,1,4,0,101,0.5,0.05,322,322,13
"22",0.51,0.39,2,1,4,0,101,0.5,0.05,322,322,13
"23",0.51,0.39,2,1,4,0,101,0.5,0.05,322,322,13
"24",0.51,0.39,2,1,4,0,101,0.5,0.05,322,322,13
"25",0.51,0.39,2,1,4,0,101,0.5,0.05,322,322,13
"26",0.51,0.39,2,1,4,0,101,0.5,0.05,322,322,13
"27",0.51,0.39,2,1,4,0,101,0.5,0.05,322,322,13
"28",0.51,0.39,2,1,4,0,101,0.5,0.05,322,322,13
"29",0.51,0.39,2,1,4,0,101,0.5,0.05,322,322,13
"30",0.51,0.39,2,1,4,0,101,0.5,0.05,322,322,13
"31",0.51,0.39,2,1,4,0,101,0.5,0.05,322,322,13
"32",0.51,0.39,2,1,4,0,101,0.5,0.05,322,322,13
"33",0.51,0.39,2,1,4,0,101,0.5,0.05,322,322,13
"34",0.51,0.39,2,1,4,0,101,0.5,0.05,322,322,13
"35",0.51,0.39,2,1,4,0,101,0.5,0.05,322,322,13
"36",0.51,0.39,2,1,4,0,101,0.5,0.05,322,322,13
"37",0.51,0.39,2,1,4,0,101,0.5,0.05,322,322,13
"38",0.51,0.39,2,1,4,0,101,0.5,0.05,322,322,13
"39",0.51,0.39,2,1,4,0,101,0.5,0.05,322,322,13
"40",0.51,0.39,2,1,4,0,101,0.5,0.05,322,322,13
"41",0.51,0.39,2,1,4,0,101,0.5,0.05,322,322,13
"42",0.51,0.39,2,1,4,0,101,0.5,0.05,322,322,13
"43",0.51,0.39,2,1,4,0,101,0.5,0.05,322,322,13
"44",0.51,0.39,2,1,4,0,101,0.5,0.05,322,322,13
"45",0.51,0.39,2,1,4,0,101,0.5,0.05,322,322,13
"46",0.51,0.39,2,1,4,0,101,0.5,0.05,322,322,13
"47",0.51,0.39,2,1,4,0,101,0.5,0.05,322,322,13
"48",0.51,0.39,2,1,4,0,101,0.5,0.05,322,322,13
"49",0.51,0.39,2,1,4,0,101,0.5,0.05,322,322,13
"50",0.51,0.39,2,1,4,0,101,0.5,0.05,322,322,13
"51",0.51,0.39,2,1,4,0,101,0.5,0.05,322,322,13
"52",0.51,0.39,2,1,4,0,101,0.5,0.05,322,322,13
"53",0.51,0.39,2,1,4,0,101,0.5,0.05,322,322,13
"54",0.51,0.39,2,1,4,0,101,0.5,0.05,322,322,13
"55",0.51,0.39,2,1,4,0,101,0.5,0.05,322,322,13
"56",0.51,0.39,2,1,4,0,101,0.5,0.05,322,322,13
"57",0.51,0.39,2,1,4,0,101,0.5,0.05,322,322,13
"58",0.51,0.39,2,1,4,0,101,0.5,0.05,322,322,13
"59",0.51,0.39,2,1,4,0,101,0.5,0.05,322,322,13
"60",0.51,0.39,2,1,4,0,101,0.5,0.05,322,322,13
"61",0.51,0.39,2,1,4,0,101,0.5,0.05,322,322,13
"62",0.51,0.39,2,1,4,0,101,0.5,0.05,322,322,13
"63",0.51,0.39,2,1,4,0,101,0.5,0.05,322,322,13
"64",0.51,0.39,2,1,4,0,101,0.5,0.05,322,322,13
"65",0.51,0.39,2,1,4,0,101,0.5,0.05,322,322,13
"66",0.51,0.39,2,1,4,0,101,0.5,0.05,322,322,13
"67",0.51,0.39,2,1,4,0,101,0.5,0.05,322,322,13
"68",0.51,0.39,2,1,4,0,101,0.5,0.05,322,322,13
"69",0.51,0.39,2,1,4,0,101,0.5,0.05,322,322,13
"70",0.51,0.39,2,1,4,0,101,0.5,0.05,322,322,13
"71",0.51,0.39,2,1,4,0,101,0.5,0.05,322,322,13
"72",0.51,0.39,2,1,4,0,101,0.5,0.05,322,322,13
"73",0.51,0.39,2,1,4,0,101,0.5,0.05,322,322,13
"74",0.51,0.39,2,1,4,0,101,0.5,0.05,322,322,13
"75",0.51,0.39,2,1,4,0,101,0.5,0.05,322,322,13
"76",0.51,0.39,2,1,4,0,101,0.5,0.05,322,322,13
"77",0.51,0.39,2,1,4,0,101,0.5,0.05,322,322,13
"78",0.51,0.39,2,1,4,0,101,0.5,0.05,322,322,13
"79",0.51,0.39,2,1,4,0,101,0.5,0.05,322,322,13
"80",0.51,0.39,2,1,4,0,101,0.5,0.05,322,322,13
"81",0.51,0.39,2,1,4,0,101,0.5,0.05,322,322,13
"82",0.51,0.39,2,1,4,0,101,0.5,0.05,322,322,13
"83",0.51,0.39,2,1,4,0,101,0.5,0.05,322,322,13
"84",0.51,0.39,2,1,4,0,101,0.5,0.05,322,322,13
"85",0.51,0.39,2,1,4,0,101,0.5,0.05,322,322,13
"86",0.51,0.39,2,1,4,0,101,0.5,0.05,322,322,13
"87",0.51,0.39,2,1,4,0,101,0.5,0.05,322,322,13
"88",0.51,0.39,2,1,4,0,101,0.5,0.05,322,322,13
"89",0.51,0.39,2,1,4,0,101,0.5,0.05,322,322,13
"90",0.51,0.39,2,1,4,0,101,0.5,0.05,322,322,13
"91",0.51,0.39,2,1,4,0,101,0.5,0.05,322,322,13
"92",0.51,0.39,2,1,4,0,101,0.5,0.05,322,322,13
"93",0.51,0.39,2,1,4,0,101,0.5,0.05,322,322,13
"94",0.51,0.39,2,1,4,0,101,0.5,0.05,322,322,13
"95",0.51,0.39,2,1,4,0,101,0.5,0.05,322,322,13
