targOutNum,nObs,nOngoing,nFin,nObs0,yObs0,nObs1,yObs1,nFin0,yFin0,nFin1,yFin1
20,21,22,43,6,3,15,9,15,6,28,17
21,21,22,43,6,3,15,9,15,6,28,17
22,22,23,45,6,3,16,10,16,6,29,18
23,24,21,45,7,4,17,10,16,6,29,18
24,24,21,45,7,4,17,10,16,6,29,18
25,25,20,45,8,4,17,10,16,6,29,18
26,26,23,49,8,4,18,11,18,7,31,18
27,27,23,50,9,5,18,11,18,7,32,18
28,28,22,50,9,5,19,12,18,7,32,18
29,29,22,51,10,5,19,12,19,7,32,18
30,30,22,52,10,5,20,13,20,8,32,18
31,31,22,53,10,5,21,14,20,8,33,18
32,32,23,55,10,5,22,15,21,9,34,19
33,33,22,55,10,5,23,15,21,9,34,19
34,34,21,55,11,5,23,15,21,9,34,19
35,35,20,55,11,5,24,16,21,9,34,19
36,36,19,55,11,5,25,16,21,9,34,19
37,37,19,56,11,5,26,16,22,9,34,19
38,38,19,57,12,5,26,16,22,9,35,19
39,39,18,57,12,5,27,17,22,9,35,19
40,40,19,59,12,5,28,17,23,10,36,20
41,41,18,59,13,5,28,17,23,10,36,20
42,42,17,59,13,5,29,17,23,10,36,20
43,44,15,59,14,5,30,18,23,10,36,20
44,44,15,59,14,5,30,18,23,10,36,20
45,45,14,59,14,5,31,19,23,10,36,20
46,46,16,62,15,6,31,19,24,11,38,22
47,47,18,65,16,6,31,19,25,12,40,23
48,48,17,65,16,6,32,19,25,12,40,23
49,49,17,66,17,7,32,19,25,12,41,23
50,52,14,66,19,8,33,19,25,12,41,23
51,52,14,66,19,8,33,19,25,12,41,23
52,52,14,66,19,8,33,19,25,12,41,23
53,53,14,67,20,8,33,19,26,12,41,23
54,54,13,67,20,8,34,19,26,12,41,23
55,55,13,68,21,8,34,19,27,12,41,23
56,56,14,70,21,8,35,20,28,12,42,23
57,57,13,70,22,8,35,20,28,12,42,23
58,58,12,70,23,9,35,20,28,12,42,23
59,59,12,71,24,10,35,20,29,13,42,23
60,60,16,76,24,10,36,20,32,13,44,25
61,61,24,85,25,10,36,20,36,14,49,27
62,62,28,90,26,11,36,20,38,15,52,29
63,63,29,92,27,11,36,20,39,15,53,30
64,64,28,92,28,11,36,20,39,15,53,30
65,65,27,92,28,11,37,21,39,15,53,30
66,66,26,92,28,11,38,21,39,15,53,30
67,68,24,92,29,12,39,22,39,15,53,30
68,68,24,92,29,12,39,22,39,15,53,30
69,69,23,92,29,12,40,23,39,15,53,30
70,70,22,92,30,13,40,23,39,15,53,30
71,71,21,92,30,13,41,23,39,15,53,30
72,72,20,92,31,13,41,23,39,15,53,30
73,73,19,92,32,13,41,23,39,15,53,30
74,74,18,92,32,13,42,23,39,15,53,30
75,75,17,92,32,13,43,24,39,15,53,30
76,76,16,92,33,14,43,24,39,15,53,30
77,77,15,92,34,14,43,24,39,15,53,30
78,80,12,92,35,14,45,26,39,15,53,30
79,80,12,92,35,14,45,26,39,15,53,30
80,80,12,92,35,14,45,26,39,15,53,30
81,81,11,92,35,14,46,27,39,15,53,30
82,82,10,92,36,14,46,27,39,15,53,30
83,86,6,92,38,14,48,28,39,15,53,30
84,86,6,92,38,14,48,28,39,15,53,30
85,86,6,92,38,14,48,28,39,15,53,30
86,86,6,92,38,14,48,28,39,15,53,30
87,87,5,92,38,14,49,28,39,15,53,30
88,88,4,92,38,14,50,28,39,15,53,30
89,89,3,92,38,14,51,28,39,15,53,30
90,90,2,92,38,14,52,29,39,15,53,30
91,92,0,92,39,15,53,30,39,15,53,30
92,92,0,92,39,15,53,30,39,15,53,30
